珍珠母,磁石,酒曲,赭石,牛膝
枣仁,小麦,甘草
朱砂,天竺黄,琥珀,珍珠,防风
辰砂,郁金,黄芩,丹参,山栀仁
琥珀,天麻,丹参,干蝎,乌蛇
枣仁,远志,贝母,黄芩,瓜蒌
茯神,柏子仁,干姜,人参,炙草
茯神,金箔,远志,枣仁,辰砂
茯神,枣仁,琥珀,辰砂,人参
茯神,远志,枣仁,朱砂,琥珀
枣仁,辰砂,人参
菖蒲,安神膏,丹参,五味子
珍珠母,合欢皮,夜交藤,菖蒲,菟丝子
远志,石莲肉,莲须,芡实,人参
茯神,远志,枣仁,琥珀,白芍
茯神,远志,朱砂,麦门冬,天麻
茯神,远志,枣仁,菖蒲,黄耆
茯神,远志,枣仁,牡蛎,芡实
茯神,远志,菖蒲,麦冬,陈皮
菖蒲,龙齿
朱砂,地黄,当归,甘草,黄连
枣仁,天竺黄,琥珀,珍珠,地黄
合欢花,夜交藤,合欢皮,丹参,桑椹子
朱砂,金箔,琥珀,防风,天麻
茯神,菖蒲,全蝎,当归,龙胆草
茯神,枣仁,朱砂,生地,白参
茯神,珍珠母,枣仁,朱砂,琥珀
朱砂,知母,麦冬,天冬,黄连
茯神,远志,铁粉,辰砂,菖蒲
茯神,远志,铁粉,辰砂,菖蒲
茯神,枣仁,朱砂,麝香,乳香
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,菖蒲,黑附子,桂心,牛膝
枣仁,桂枝,牡蛎,人参,黄芩
大龟
茯神,远志,枸杞,白芍,黄耆
枣仁,夜交藤,莲肉,百合,淮小麦
朱砂,天麻,全蝎,僵蚕,当归
朱砂,天竺黄,苍术,丹参,钩藤
白糖,粳米,鲜百合,杏仁
大米,芡实,山药,糯米,莲肉
枣仁,朱砂,麦门冬,人参,生龙脑
枣仁,远志,柏子仁,黄耆,人参
朱砂,枣仁,远志,柏子仁,五味子
茯神,菖蒲,柏子仁,枸杞,麦门冬
柏子仁,粳米,蜂蜜
柏子仁,粳米,蜂蜜
枣仁,柏子仁,牡蛎,五味子,浮小麦
柏子仁,鹿角霜,鹿角胶,菟丝子,地黄
铅,水银
朱砂,白矾,黄丹,半夏
茯神,远志,菖蒲,麦门冬,丹参
枣仁,大米,薏仁,芡实,山药
檀香,枣仁,天竺黄,沉香,红花
檀香,枣仁,天竺黄,沉香,红花
枣仁,石灰华,沉香,乳香,木棉花
枣仁,石灰华,沉香,乳香,木棉花
朱砂,磁石,乳香,代赭石,人中黄
朱砂,巴豆,胆南星,神曲
金箔,腻粉
茯神,天竺黄,远志,琥珀,辰砂
远志,天竺黄,琥珀,防风,贝母
枣仁,覆盆子,柏子仁,巴戟,枸杞
琥珀,辰砂,防风,天麻,天南星
茯神,朱砂,琥珀,天麻,防风
琥珀,马宝,珍珠,丹参,龙涎香
檀香,熊胆,赤小豆,鹤虱,牵牛
远志,巴戟,覆盆子,菖蒲,细辛
茯神,丹皮,生地,益元散,莹白童便150毫升
茯神,黑附子,郁金,龙齿,熟地
茯神,远志,枣仁,熟地,酒炒白芍
茯神,远志,朱砂,菖蒲,人参
蝎梢,丁香,半夏
茯神,远志,枣仁,柏子仁,黄耆
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,人参,全蝎
枣仁,金箔,辰砂,麦门冬,蚌粉
陈曲,肉苁蓉,枸杞,桂,地黄
朱砂,天竺黄,天麻,丹参,人参
茯神,天竺黄,远志,琥珀,菖蒲
菖蒲,麦门冬,贝母,丹参,知母
米酒,丹参
辰砂,菖蒲,琥珀末,青龙齿,丹参
枣仁,生地,麦冬,木通,茯苓
远志,覆盆子,柏子仁,菖蒲,熟地
石灰华,珍珠,麝香等药味加工制成的丸剂,丹参,红花
茯神,远志,菖蒲,麦门冬,地黄
寒水石,桂枝,牡蛎,紫石英,干姜
茯神,远志,枣仁,独活,细辛
米粉,茯苓细粉,白糖等份
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,人参
茯神,远志,辰砂,菖蒲,人参
茯神,远志,枣仁,独活,细辛
茯神,龙齿,麦门冬,防风,人参
茯神,远志,枣仁,独活,细辛
茯神,菖蒲,麦门冬,芍药,石斛
寄生,风仙花全草,五味子,益母草,泽兰
枣仁,小麦,甘草
枣仁,小麦,甘草
枣仁,小麦,甘草
桂枝,牡蛎,龙骨,甘草
枣仁,牡蛎,桂心,芍药,龙骨
朱砂,21克
珍珠母,丹皮,磁石,仙茅酒,地黄
枣仁,枣仁,远志,龙眼肉,党参
颗块朱砂,獖猪心,灯心
茯神,金箔,远志,枣仁,龙齿
茯神,远志,山萸,山药,五味子
远志,菖蒲,龟版,人参,五味子
远志,菖蒲,琥珀末,丹参,旋覆花
朱砂,琥珀,百草霜,白僵蚕,白附子
茯神,枣仁,枸杞,麦门冬,黄耆
牡丹,覆盆子,肉苁蓉,黑附子,黄耆
拣人参,乌犀角,肉苁蓉,石斛,菟丝子
黄精,甘桑椹,枸杞,麦门冬,牛膝
远志,巴戟,菖蒲,肉苁蓉,枸杞
朱砂,芍药,枳壳,麝香,黄芩
朱砂,远志,琥珀,菖蒲,白芍
茯神,远志,枣仁,朱砂,琥珀
檀香,朱砂,天竺黄,琥珀,枳壳
朱砂,天竺黄,琥珀,赤苓,丹参
朱砂,天竺黄,琥珀,珍珠,防风
茯神,远志,菖蒲,人参,天南星
茯神,远志,枣仁,琥珀,辰砂
茯神,远志,人参,真琥珀,羚羊角
茯神,远志,枣仁,朱砂,琥珀
茯神,远志,枣仁,琥珀,辰砂
琥珀,辰砂,麝香,乳香,没药
茯神,金箔,远志,辰砂,黄耆
朱砂,琥珀,珍珠,丹参,麝香
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,蛇黄,铁粉,羌活,山药
茯神,金箔,天竺黄,朱砂,防风
茯神,金箔,天竺黄,远志,朱砂
金箔,辰砂,防风,天麻,羌活
金箔,天竺黄,铁粉,龙齿,丹参
茯神,金箔,远志,朱砂,铁粉
金箔,天竺黄,生白龙脑,辰砂,皂荚仁
金箔,天竺黄,生白龙脑,辰砂,皂荚仁
茯神,金箔,远志,辰砂,菖蒲
茯神,枣仁,合欢花,郁金,白芍
辰砂,明矾,天南星,半夏
茯神,远志,枣仁,朱砂,菖蒲
枣仁,远志,熟地,丹皮,麦门冬
枣仁,远志,熟地,丹皮,生地
朱砂,琥珀,天麻,牵牛,丹参
钱,土鳖虫,熟军,2钱,自然铜
朱砂,雄黄,黄芩,山栀仁,减半
谷蘖,随风子,大腹子,石斛,薏仁
川姜,天麻,干蝎,天南星,白僵蚕
茯神,远志,菖蒲,贝母,丹参
枣仁,远志,地黄,人参,五味子
茯神,远志,枣仁,菖蒲,柏子仁
朱砂,枣仁,远志,菖蒲,柏子仁
茯神,远志,厚朴,紫苏,半夏
茯神,枣仁,琥珀,菖蒲,肉苁蓉
川姜,天麻,干蝎,天南星,白僵蚕
茯神,远志,枣仁,白芍,石斛
茯神,远志,知母,麦冬,犀角
茯神,阳起石,黑附子,巴戟,肉苁蓉
生川连,肉桂心
琥珀,茯苓,香附
檀香,石灰华,洪连,榜嘎,红景天
檀香,石灰华,洪连,榜嘎,红景天
珍珠母,太子参,菟丝子,女贞子,地黄
远志,菖蒲,龟甲,龙骨
茯神,远志,龙齿,麦门冬,桂心
枣仁,远志,琥珀,菖蒲,桂枝
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,丹参
缝定,先将猪肚净洗,石斛,菟丝子,大猪肚
巴戟,肉蔻,阳起石,钟乳,灵砂
辰砂,蝎梢,真麝香1字,人参,白僵蚕
干百合,蜂蜜
茯神,枣仁,人参,五味子,当归
茯神,金箔,远志,枣仁,琥珀
茯神,远志,枣仁,黄耆,莲肉
茯神,天竺黄,贝母,防风,枳壳
羊心,鲜玫瑰花,食盐
茯神,远志,辰砂,人参,山药
茯神,远志,枣仁,朱砂,龙齿
茯神,远志,菖蒲,丹参,丹参
茯神,肉苁蓉,枸杞,芡实,紫石英
珍珠母,枣仁,合欢皮,丹参,钩藤
梅花片,大朱砂,真豆粉,丹参,甘草
珍珠母,猪脱氧胆酸,胆酸,板蓝根,水牛角
枣仁,沉香,枫香脂,丁香,牛心粉
菖蒲,芍药,乌梅肉,地黄,人参
茯神,远志,枣仁,朱砂,牡蛎
枣仁,知母,茯苓,芎藭,甘草
枣仁,粳米
枣仁,夜交藤,生地,丹参,龙骨
光明砂,磁石,神曲
琥珀,辰砂,滴乳,麝香,当归
蛇黄,铁粉,使君子仁,天南星,茯苓
茯神,远志,辰砂,菖蒲,贝母
远志,肉苁蓉,山萸,巴戟天,菟丝子
枣仁,干姜,山药,莲肉,当归
朱砂,琥珀,天南星
朱砂,远志,琥珀,黄耆,白芍
檀香,朱砂,琥珀,降香,天麻
檀香,朱砂,琥珀,郁金,降香
茯神,远志,枣仁,辰砂,柏子仁
檀香,枣仁,石灰华,高山辣根菜,诃子
朱砂,金箔,琥珀,羌活,白僵蚕
茯神,金箔,远志,铁粉,丹参
远志,巴戟,牛膝,菟丝子,地黄
檀香,三,白芷,甘草,川芎
枣仁,远志,柏子仁,麦门冬,地黄
茯神,远志,枣仁,柏子仁,菖蒲
朱砂,远志,枣仁,柏子仁,菖蒲
枣仁,山萸,山药,五味子,益智仁
枣仁,远志,麦门冬,桂心,人参
葱,鸡,酒,乌灵参,姜
朱砂,郁金,丹参,黄芩,栀子
枣仁,柏子仁,丹皮,丹参,莲子心
茯神,犀角屑,龙齿,麦门冬,人参
琥珀,辰砂,青龙齿,枸杞,白芍
茯神,珍珠母,合欢皮,丹参,钩藤
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,真珠,人参,脑,胆南星
天竺黄,菖蒲,煅青礞石,胡连,西丹参
远志,辰砂,牡蛎,肉苁蓉,干姜
茯神,远志,枣仁,柏子仁,白芍
朱砂,人参,钩藤,甘草,茯苓
枣仁,远志,黄耆,麦门冬,地黄
葱,白糖,猪心,玉竹,香油
枣仁,合欢皮,女贞子,浮小麦,何首乌
枣仁,白糖,夜交藤,粳米
远志,黄耆,芍药,桂心,地黄
枣仁,薏仁,山药,麦冬,当归
茯神,枣仁,柏子仁,丹皮,丹参
茯神,远志,枣仁,柏子仁,龙齿
寒水石,丁子香,黄金,磁石,沉香
朱砂,柏子仁,肉苁蓉,紫石英,麝香
茯神,远志,枣仁,地黄,人参
