珍珠母,磁石,赭石,酒曲,酒曲
枣仁,小麦,甘草
朱砂,珍珠,天竺黄,琥珀,防风
辰砂,郁金,黄芩,丹参,山栀仁
琥珀,天麻,乌蛇,龙脑,丹参
枣仁,远志,贝母,黄芩,瓜蒌
茯神,柏子仁,干姜,炙草,益智
茯神,金箔,枣仁,远志,辰砂
茯神,枣仁,辰砂,琥珀,人参
茯神,枣仁,远志,琥珀,朱砂
枣仁,辰砂,人参
菖蒲,安神膏,五味子,丹参
珍珠母,合欢皮,夜交藤,菖蒲,五味子
远志,石莲肉,芡实,麦冬,莲须
茯神,枣仁,远志,琥珀,白芍
茯神,远志,朱砂,麦门冬,天麻
茯神,枣仁,远志,菖蒲,于术
茯神,枣仁,远志,牡蛎,芡实
茯神,远志,菖蒲,麦冬,陈皮
菖蒲,龙齿
朱砂,当归,地黄,黄连,甘草
枣仁,珍珠,天竺黄,琥珀,丹参
合欢皮,夜交藤,合欢花,桑椹子,女贞子
金箔,朱砂,琥珀,防风,天麻
茯神,菖蒲,全蝎,当归,龙胆草
茯神,枣仁,朱砂,生地,白参
茯神,枣仁,珍珠母,琥珀,夜交藤
朱砂,麦冬,知母,天冬,黄连
茯神,远志,铁粉,辰砂,山芋
茯神,远志,铁粉,辰砂,山芋
茯神,枣仁,朱砂,代赭石,麝香
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,菖蒲,黑附子,牛膝,人参
枣仁,桂枝,牡蛎,黄芩,大黄
大龟
茯神,远志,枸杞,熟地,白芍
枣仁,夜交藤,淮小麦,莲肉,百合
朱砂,天麻,当归,大黄,僵蚕
朱砂,天竺黄,苍术,钩藤,天南星
粳米,白糖,鲜百合,杏仁
大米,芡实,糯米,莲肉,山药
枣仁,朱砂,麦门冬,人参,生龙脑
枣仁,远志,柏子仁,五味子,黄耆
枣仁,远志,朱砂,柏子仁,五味子
茯神,菖蒲,柏子仁,枸杞,熟地
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,柏子仁,牡蛎,五味子,麻黄根
鹿角霜,柏子仁,菟丝子,鹿角胶,地黄
铅,水银
朱砂,白矾,黄丹,半夏
茯神,远志,菖蒲,麦门冬,丹参
枣仁,大米,薏仁,芡实,山药
檀香,枣仁,天竺黄,紫檀香,北沙参
檀香,枣仁,天竺黄,紫檀香,北沙参
枣仁,石灰华,乳香,木棉花,诃子
枣仁,石灰华,乳香,木棉花,诃子
朱砂,磁石,人中黄,代赭石,乳香
朱砂,胆南星,巴豆,神曲
金箔,腻粉
茯神,远志,天竺黄,辰砂,琥珀
远志,珍珠,天竺黄,琥珀,防风
枣仁,覆盆子,巴戟,枸杞,柏子仁
辰砂,琥珀,天麻,防风,天南星
茯神,琥珀,朱砂,天麻,防风
珍珠,琥珀,丹参,龙涎香,马宝
檀香,赤小豆,熊胆,鹤虱,黄芩
远志,覆盆子,巴戟,菖蒲,细辛
茯神,丹皮,细木通,益元散,原麦冬
茯神,熟地,郁金,黑附子,龙齿
茯神,枣仁,远志,熟地,酒炒白芍
茯神,远志,菖蒲,朱砂,麦冬
蝎梢,丁香,半夏
茯神,枣仁,远志,柏子仁,五味子
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,全蝎,金银箔
金箔,枣仁,辰砂,银箔,麦门冬
陈曲,枸杞,肉苁蓉,桂,地黄
朱砂,天竺黄,天麻,丹参,麝香
茯神,远志,天竺黄,琥珀,菖蒲
菖蒲,麦门冬,贝母,五味子,天门冬
米酒,丹参
辰砂,菖蒲,青龙齿,琥珀末,丹参
枣仁,生地,麦冬,玄参,木通
远志,覆盆子,菖蒲,柏子仁,枸杞
珍珠,石灰华,麝香等药味加工制成的丸剂,丹参,红花
茯神,远志,菖蒲,麦门冬,天门冬
寒水石,桂枝,牡蛎,干姜,大黄
茯神,枣仁,远志,独活,细辛
米粉,茯苓细粉,白糖等份
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,天南星
茯神,远志,辰砂,菖蒲,天南星
茯神,枣仁,远志,独活,细辛
茯神,麦门冬,龙齿,枳实,防风
茯神,枣仁,远志,独活,细辛
茯神,菖蒲,丹皮,麦门冬,石斛
寄生,风仙花全草,五味子,益母草,泽兰
枣仁,小麦,甘草
枣仁,小麦,甘草
枣仁,小麦,甘草
桂枝,牡蛎,龙骨,甘草
枣仁,牡蛎,芍药,龙骨,桂心
朱砂,21克
珍珠母,丹皮,钩藤,五味子,磁石
远志,枣仁,枣仁,龙眼肉,党参
獖猪心,颗块朱砂,灯心
茯神,金箔,枣仁,远志,龙齿
茯神,远志,五味子,山萸,莲须
远志,菖蒲,五味子,当归,龟版
远志,菖蒲,丹参,琥珀末,茜草
朱砂,琥珀,当归,百草霜,血苗灰
茯神,枣仁,枸杞,麦门冬,芍药
牡丹,覆盆子,黑附子,黄耆,肉苁蓉
乌犀角,拣人参,枸杞,白蒺藜,防风
黄精,甘桑椹,枸杞,麦门冬,天门冬
远志,巴戟,菖蒲,枸杞,肉苁蓉
朱砂,枳壳,芍药,黄芩,蓝叶
远志,朱砂,琥珀,菖蒲,白芍
茯神,枣仁,远志,琥珀,菖蒲
檀香,朱砂,天竺黄,琥珀,枳壳
朱砂,天竺黄,琥珀,赤苓,天南星
朱砂,珍珠,天竺黄,琥珀,防风
茯神,远志,菖蒲,天南星,大辰砂
茯神,枣仁,远志,辰砂,琥珀
茯神,远志,真琥珀,人参,羚羊角
茯神,枣仁,远志,琥珀,朱砂
茯神,枣仁,远志,辰砂,琥珀
辰砂,琥珀,麝香,乳香,没药
茯神,远志,金箔,辰砂,丹参
朱砂,珍珠,琥珀,丹参,薄荷
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,铁粉,蛇黄,羌活,天南星
茯神,金箔,天竺黄,朱砂,胆南星
茯神,远志,金箔,铁粉,天竺黄
金箔,辰砂,防风,天麻,丹参
金箔,铁粉,天竺黄,银箔,虎睛
茯神,金箔,远志,铁粉,朱砂
金箔,天竺黄,辰砂,白矾,二
金箔,天竺黄,辰砂,白矾,生白龙脑
茯神,远志,金箔,辰砂,菖蒲
茯神,枣仁,郁金,白芍,合欢花
辰砂,明矾,天南星,半夏
茯神,枣仁,远志,菖蒲,朱砂
枣仁,远志,丹皮,熟地,枳壳
枣仁,远志,丹皮,熟地,厚朴
朱砂,琥珀,天麻,钩藤,胆南星
土鳖虫,2钱,熟军,钱,自然铜
朱砂,减半,黄芩,黄柏,雄黄
谷蘖,随风子,大腹子,薏仁,石斛
川姜,天麻,天南星,白僵蚕,白附子
茯神,远志,菖蒲,贝母,胆南星
枣仁,远志,五味子,枳实,地黄
茯神,枣仁,远志,菖蒲,柏子仁
枣仁,远志,朱砂,菖蒲,柏子仁
茯神,远志,厚朴,紫苏,茯苓
茯神,枣仁,琥珀,菖蒲,枸杞
川姜,天麻,天南星,白僵蚕,白附子
茯神,枣仁,远志,丹皮,白芍
茯神,远志,麦冬,知母,犀角
茯神,巴戟,阳起石,黑附子,鹿茸
肉桂心,生川连
琥珀,香附,茯苓
檀香,石灰华,红景天,洪连,榜嘎
檀香,石灰华,红景天,洪连,榜嘎
珍珠母,地骨皮,五味子,太子参,女贞子
远志,菖蒲,龟甲,龙骨
茯神,远志,麦门冬,五味子,天门冬
枣仁,远志,琥珀,菖蒲,桂枝
枣仁,粳米,龙眼肉
粳米,红糖,莲子粉
茯神,琥珀,朱砂,郁金,丹参
研为细末,洗去蜜酒令尽,面,入先洗猪肚内,研为膏
金铃子,钟乳,阳起石,巴戟,葫芦芭
辰砂,蝎梢,蜈蚣,真麝香1字,白僵蚕
干百合,蜂蜜
茯神,枣仁,五味子,陈皮,当归
茯神,金箔,枣仁,远志,辰砂
茯神,枣仁,远志,黄耆,罗参
茯神,天竺黄,贝母,胆南星,钩藤
羊心,鲜玫瑰花,食盐
茯神,远志,辰砂,山药,麝香
茯神,枣仁,远志,朱砂,麦门冬
茯神,远志,菖蒲,丹参,丹参
茯神,枸杞,芡实,五味子,肉苁蓉
珍珠母,枣仁,合欢皮,钩藤,丹参
梅花片,大朱砂,真豆粉,丹参,甘草
珍珠母,猪脱氧胆酸,板蓝根,胆酸,水牛角
枣仁,枫香脂,丁香,牛心粉,沉香
菖蒲,芍药,乌梅肉,当归,地黄
茯神,枣仁,远志,朱砂,牡蛎
枣仁,知母,茯苓,芎藭,甘草
枣仁,粳米
枣仁,夜交藤,生地,丹参,炒柏子仁
光明砂,磁石,神曲
辰砂,琥珀,当归,滴乳,麝香
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,辰砂,菖蒲,贝母
远志,巴戟天,五味子,山萸,肉苁蓉
枣仁,干姜,当归,山药,莲肉
朱砂,琥珀,天南星
远志,朱砂,琥珀,白芍,黄耆
檀香,朱砂,琥珀,降香,天麻
檀香,朱砂,琥珀,降香,郁金
茯神,枣仁,远志,辰砂,柏子仁
檀香,枣仁,石灰华,高山辣根菜,紫檀香
金箔,朱砂,琥珀,天南星,真铁粉
茯神,远志,金箔,铁粉,银箔
远志,巴戟,菟丝子,苁蓉,牛膝
檀香,三,白芷,川芎,甘草
枣仁,远志,柏子仁,麦门冬,五味子
茯神,枣仁,远志,菖蒲,柏子仁
枣仁,远志,朱砂,菖蒲,柏子仁
枣仁,山萸,五味子,山药,益智仁
枣仁,远志,麦门冬,黄芩,萆薢
葱,乌灵参,酒,鸡,姜
朱砂,郁金,丹参,黄芩,栀子
枣仁,丹皮,柏子仁,丹参,莲子心
茯神,犀角屑,麦门冬,龙齿,黄芩
辰砂,琥珀,枸杞,青龙齿,白芍
茯神,珍珠母,合欢皮,钩藤,丹参
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,胆南星,真珠,脑,麝
天竺黄,菖蒲,煅青礞石,胡连,西丹参
远志,辰砂,牡蛎,干姜,肉苁蓉
茯神,枣仁,远志,柏子仁,白芍
朱砂,钩藤,人参,白术,茯苓
枣仁,远志,麦门冬,黄耆,胆南星
葱,白糖,花椒,玉竹,猪心
枣仁,合欢皮,女贞子,浮小麦,灵芝
枣仁,夜交藤,白糖,粳米
远志,芍药,黄耆,五味子,茯苓X克
枣仁,薏仁,当归,麦冬,山药
茯神,枣仁,柏子仁,丹皮,丹参
茯神,枣仁,远志,柏子仁,熟地
寒水石,黄金,丁子香,磁石,犀角
朱砂,柏子仁,肉苁蓉,紫石英,龙骨
茯神,枣仁,远志,地黄,人参
