珍珠母,酒曲,磁石,赭石,半夏
枣仁,甘草,小麦
天竺黄,朱砂,琥珀,珍珠,天麻
辰砂,郁金,黄芩,丹参,黄连
琥珀,天麻,乌蛇,白附子,僵蚕
远志,枣仁,贝母,陈皮,黄芩
茯神,干姜,柏子仁,陈皮,当归
茯神,金箔,独活,远志,枣仁
茯神,枣仁,辰砂,琥珀,人参
茯神,远志,枣仁,菖蒲,朱砂
枣仁,辰砂,人参
安神膏,菖蒲,五味子,丹参
珍珠母,菖蒲,夜交藤,合欢皮,菟丝子
远志,石莲肉,芡实,甘草,人参
茯神,远志,黄耆,枣仁,琥珀
茯神,远志,朱砂,茯苓,麦门冬
茯神,黄耆,远志,菖蒲,枣仁
茯神,远志,生地,枣仁,牡蛎
茯神,远志,菖蒲,陈皮,杏仁
菖蒲,龙齿
朱砂,当归,甘草,黄连,地黄
天竺黄,枣仁,琥珀,珍珠,陈皮
合欢花,合欢皮,桑椹子,夜交藤,玄参
金箔,朱砂,琥珀,防风,天麻
茯神,菖蒲,龙胆草,当归,黄连
茯神,枣仁,朱砂,生地,白术
茯神,珍珠母,枣仁,朱砂,琥珀
朱砂,麦冬,黄连,知母,天冬
茯神,细辛,远志,菖蒲,辰砂
茯神,细辛,远志,菖蒲,辰砂
茯神,枣仁,朱砂,麝香,乳香
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,黑附子,菖蒲,桂心,牛膝
枣仁,牡蛎,桂枝,黄芩,大黄
大龟
茯神,远志,黄耆,枸杞,白术
枣仁,夜交藤,甘草,百合,莲肉
朱砂,天麻,当归,大黄,僵蚕
天竺黄,朱砂,苍术,陈皮,木香
白糖,粳米,鲜百合,杏仁
大米,芡实,糯米,莲肉,山药
枣仁,朱砂,麦门冬,茯苓,甘草
远志,枣仁,黄耆,柏子仁,五味子
远志,枣仁,朱砂,柏子仁,茯苓
茯神,菖蒲,熟地,麦门冬,枸杞
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,柏子仁,牡蛎,白术,五味子
鹿角霜,柏子仁,鹿角胶,菟丝子,地黄
铅,水银
朱砂,黄丹,白矾,半夏
茯神,远志,白术,菖蒲,麦门冬
枣仁,大米,薏仁,芡实,百合
檀香,天竺黄,枣仁,肉豆蔻,红花
檀香,天竺黄,枣仁,肉豆蔻,红花
枣仁,石灰华,木香,肉豆蔻,乳香
枣仁,石灰华,木香,肉豆蔻,乳香
朱砂,磁石,乳香,没药,禹余粮
朱砂,胆南星,巴豆,神曲
金箔,腻粉
茯神,天竺黄,远志,陈皮,辰砂
天竺黄,远志,琥珀,珍珠,天麻
枣仁,覆盆子,巴戟,柏子仁,枸杞
辰砂,琥珀,防风,天麻,白附子
茯神,朱砂,防风,琥珀,天麻
琥珀,珍珠,马宝,丹参,龙涎香
檀香,陈皮,黄芩,轻粉,熊胆
远志,覆盆子,细辛,巴戟,菖蒲
茯神,丹皮,生地,原麦冬,细木通
茯神,黑附子,郁金,龙齿,熟地
茯神,远志,枣仁,熟地,当归
茯神,远志,白术,菖蒲,朱砂
蝎梢,丁香,半夏
茯神,远志,黄耆,枣仁,柏子仁
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,白术,木香
金箔,枣仁,辰砂,麦门冬,白术
陈曲,枸杞,桂,肉苁蓉,地黄
天竺黄,朱砂,天麻,茯苓,甘草
茯神,天竺黄,远志,菖蒲,琥珀
菖蒲,麦门冬,陈皮,贝母,白术
米酒,丹参
辰砂,菖蒲,青龙齿,琥珀末,丹参
枣仁,生地,麦冬,茯苓,甘草
远志,覆盆子,菖蒲,熟地,生地
石灰华,珍珠,麝香等药味加工制成的丸剂,肉豆蔻,丁香
茯神,远志,菖蒲,甘草,麦门冬
寒水石,干姜,牡蛎,桂枝,紫石英
茯神,独活,远志,干姜,细辛
米粉,茯苓细粉,白糖等份
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,人参
茯神,远志,菖蒲,辰砂,茯苓
茯神,独活,远志,枣仁,细辛
茯神,麦门冬,防风,龙齿,黄芩
茯神,独活,远志,枣仁,细辛
茯神,菖蒲,麦门冬,丹皮,生地
风仙花全草,寄生,五味子,泽兰,益母草
枣仁,甘草,小麦
枣仁,甘草,小麦
枣仁,甘草,小麦
牡蛎,桂枝,甘草,龙骨
枣仁,牡蛎,桂心,芍药,甘草
朱砂,21克
珍珠母,丹皮,磁石,仙茅酒,泽泻
远志,枣仁,枣仁,白术,龙眼肉
獖猪心,颗块朱砂,灯心
茯神,金箔,远志,当归,枣仁
茯神,远志,黄柏,五味子,山萸
远志,菖蒲,茯苓,当归,五味子
远志,菖蒲,陈皮,杏仁,旋覆花
朱砂,琥珀,当归,白附子,百草霜
茯神,枣仁,麦门冬,枸杞,黄耆
覆盆子,牡丹,黑附子,鹿角胶,黄耆
乌犀角,拣人参,白蒺藜,枸杞,麦门冬
黄精,甘桑椹,枸杞,麦门冬,茯苓
远志,巴戟,菖蒲,枸杞,茴香
朱砂,芍药,枳壳,黄芩,木香
远志,朱砂,琥珀,菖蒲,白芍
茯神,远志,枣仁,菖蒲,朱砂
檀香,天竺黄,朱砂,琥珀,枳壳
天竺黄,朱砂,琥珀,雄黄,全蝎
天竺黄,朱砂,琥珀,珍珠,羌活
茯神,远志,菖蒲,茯苓,人参
茯神,远志,枣仁,辰砂,琥珀
茯神,远志,甘草,人参,羚羊角
茯神,远志,生地,枣仁,朱砂
茯神,黑附子,远志,枣仁,巴戟
辰砂,琥珀,麝香,乳香,没药
茯神,金箔,黄耆,远志,辰砂
朱砂,琥珀,珍珠,麝香,薄荷
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,蛇黄,铁粉,羌活,蜈蚣
茯神,金箔,天竺黄,蝉蜕,朱砂
茯神,金箔,生地,天竺黄,远志
金箔,辰砂,天麻,羌活,防风
金箔,天竺黄,铁粉,黄连,麝香
茯神,金箔,远志,朱砂,铁粉
金箔,天竺黄,辰砂,铅白霜,半夏
金箔,天竺黄,辰砂,铅白霜,半夏
茯神,金箔,皮硝,远志,菖蒲
茯神,枣仁,合欢花,郁金,柴胡
辰砂,明矾,天南星,半夏
茯神,远志,芍药,菖蒲,枣仁
远志,枣仁,丹皮,熟地,生地
远志,枣仁,蝉蜕,丹皮,厚朴
朱砂,琥珀,天麻,大黄,全蝎
土鳖虫,钱,2钱,熟军,当归
朱砂,黄柏,黄芩,减半,雄黄
大腹子,谷蘖,随风子,薏仁,白术
川姜,天麻,白附子,白僵蚕,半夏
茯神,远志,陈皮,菖蒲,贝母
远志,枣仁,陈皮,五味子,枳实
茯神,远志,枣仁,菖蒲,柏子仁
远志,枣仁,朱砂,菖蒲,柏子仁
茯神,远志,厚朴,茯苓,甘草
茯神,熟地,枣仁,菖蒲,琥珀
川姜,天麻,白附子,白僵蚕,半夏
茯神,远志,丹皮,枣仁,生地
茯神,远志,当归,羚羊角,麦冬
茯神,黑附子,干姜,巴戟,阳起石
肉桂心,生川连
琥珀,香附,茯苓
檀香,石灰华,甘草,洪连,红花
檀香,石灰华,甘草,洪连,红花
珍珠母,地骨皮,太子参,当归,菟丝子
远志,菖蒲,龙骨,龟甲
茯神,桂心,远志,麦门冬,天门冬
远志,枣仁,琥珀,芍药,菖蒲
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,青皮
石斛,洗去蜜酒令尽,黄耆,新莲肉,研为细末
肉蔻,黑附子,灵砂,巴戟,钟乳
辰砂,蝎梢,真麝香1字,蜈蚣,甘草
干百合,蜂蜜
茯神,枣仁,陈皮,当归,赤芍
茯神,金箔,生地,远志,枣仁
茯神,远志,黄耆,枣仁,陈皮
茯神,天竺黄,枳壳,贝母,防风
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,木香,桔梗
茯神,远志,枣仁,朱砂,茯苓
茯神,远志,菖蒲,黄芩,黄连
茯神,枸杞,芡实,牛膝,肉苁蓉
珍珠母,枣仁,合欢皮,甘草,夏枯草
梅花片,真豆粉,大朱砂,甘草,丹参
珍珠母,黄芩,水牛角,猪脱氧胆酸,板蓝根
枣仁,木香,牛心粉,肉豆蔻,枫香脂
菖蒲,芍药,乌梅肉,当归,人参
茯神,远志,枣仁,茯苓,朱砂
枣仁,茯苓,甘草,知母,芎藭
枣仁,粳米
枣仁,夜交藤,生地,丹参,龙骨
光明砂,磁石,神曲
