珍珠母,磁石,酒曲,酒曲,赭石,牛膝
枣仁,小麦,甘草
朱砂,天竺黄,珍珠,琥珀,天麻,防风
辰砂,郁金,黄芩,丹参,山栀仁,黄连
琥珀,天麻,乌蛇,丹参,雄黄,麝香
枣仁,远志,贝母,黄芩,陈皮,瓜蒌
茯神,柏子仁,炙草,干姜,陈皮,当归
茯神,金箔,远志,枣仁,珍珠,辰砂
茯神,枣仁,辰砂,琥珀,乳香,人参
茯神,远志,枣仁,朱砂,菖蒲,琥珀
枣仁,辰砂,人参
安神膏,菖蒲,丹参,五味子
珍珠母,夜交藤,菖蒲,合欢皮,菟丝子,女贞子
远志,石莲肉,芡实,麦冬,莲须,人参
茯神,远志,枣仁,琥珀,白芍,黄耆
茯神,远志,朱砂,天麻,麦门冬,莲肉
茯神,远志,枣仁,菖蒲,黄耆,炙草
茯神,远志,枣仁,牡蛎,芡实,知母
茯神,远志,菖蒲,麦冬,陈皮,杏仁
菖蒲,龙齿
朱砂,当归,地黄,甘草,黄连
枣仁,天竺黄,珍珠,琥珀,丹参,陈皮
合欢花,夜交藤,合欢皮,桑椹子,女贞子,丹参
金箔,朱砂,琥珀,天麻,防风,山药
茯神,菖蒲,当归,全蝎,龙胆草,黄连
茯神,枣仁,朱砂,生地,白参,当归
茯神,珍珠母,枣仁,朱砂,合欢花,夜交藤
朱砂,知母,麦冬,天冬,黄连
茯神,远志,铁粉,辰砂,菖蒲,细辛
茯神,远志,铁粉,辰砂,菖蒲,细辛
茯神,枣仁,朱砂,乳香,麝香,代赭石
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,黑附子,菖蒲,牛膝,桂心,人参
枣仁,牡蛎,桂枝,黄芩,大黄,龙骨
大龟
茯神,远志,枸杞,熟地,白芍,黄耆
枣仁,夜交藤,莲肉,百合,淮小麦,甘草
朱砂,天麻,大黄,僵蚕,当归,全蝎
朱砂,天竺黄,苍术,钩藤,丹参,陈皮
白糖,粳米,鲜百合,杏仁
大米,芡实,糯米,莲肉,山药
枣仁,朱砂,麦门冬,人参,生龙脑,茯苓
枣仁,远志,柏子仁,黄耆,五味子,当归
远志,枣仁,朱砂,柏子仁,五味子,党参
茯神,菖蒲,柏子仁,枸杞,熟地,麦门冬
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,柏子仁,牡蛎,五味子,白术,党参
柏子仁,鹿角霜,菟丝子,鹿角胶,地黄
铅,水银
朱砂,黄丹,白矾,半夏
茯神,远志,菖蒲,麦门冬,丹参,白术
枣仁,大米,薏仁,芡实,莲肉,山药
檀香,枣仁,天竺黄,红花,北沙参,紫檀香
檀香,枣仁,天竺黄,红花,北沙参,紫檀香
枣仁,石灰华,乳香,诃子,沉香,木棉花
枣仁,石灰华,乳香,诃子,沉香,木棉花
朱砂,磁石,乳香,代赭石,人中黄,禹余粮
朱砂,胆南星,巴豆,神曲
金箔,腻粉
茯神,珍珠,远志,天竺黄,辰砂,琥珀
远志,天竺黄,珍珠,琥珀,天麻,防风
枣仁,覆盆子,巴戟,柏子仁,肉苁蓉,枸杞
辰砂,琥珀,天麻,防风,麝香,僵蚕
茯神,朱砂,琥珀,天麻,犀角,防风
琥珀,珍珠,龙涎香,丹参,马宝
檀香,牵牛,鹤虱,熊胆,赤小豆,黄芩
远志,覆盆子,巴戟,细辛,菖蒲,肉苁蓉
茯神,丹皮,莲子心30支,益元散,莹白童便150毫升,辰砂染灯心20支
茯神,黑附子,熟地,郁金,龙齿,陈皮
茯神,远志,枣仁,熟地,酒炒白芍,当归
茯神,远志,朱砂,菖蒲,麦冬,人参
蝎梢,丁香,半夏
茯神,远志,枣仁,柏子仁,黄耆,五味子
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,僵蚕,全蝎,白术
金箔,枣仁,辰砂,麦门冬,蚌粉,僵蚕
陈曲,枸杞,肉苁蓉,桂,地黄,甘菊
朱砂,天竺黄,天麻,丹参,铅白霜,麝香
茯神,远志,天竺黄,菖蒲,琥珀,天麻
菖蒲,麦门冬,贝母,丹参,五味子,天门冬
米酒,丹参
辰砂,菖蒲,青龙齿,琥珀末,丹参,紫贝齿
枣仁,生地,麦冬,木通,玄参,甘草
远志,覆盆子,菖蒲,柏子仁,熟地,肉苁蓉
石灰华,珍珠,麝香等药味加工制成的丸剂,丹参,红花,草果
茯神,远志,菖蒲,麦门冬,天门冬,丹参
寒水石,牡蛎,桂枝,干姜,紫石英,大黄
茯神,独活,远志,枣仁,细辛,防风
茯苓细粉,白糖等份,米粉
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,天南星,人参
茯神,远志,辰砂,菖蒲,天南星,人参
茯神,独活,远志,枣仁,细辛,防风
茯神,麦门冬,枳实,防风,龙齿,黄芩
茯神,独活,远志,枣仁,细辛,防风
茯神,菖蒲,丹皮,麦门冬,知母,石斛
风仙花全草,寄生,五味子,益母草,泽兰
枣仁,小麦,甘草
枣仁,小麦,甘草
枣仁,小麦,甘草
牡蛎,桂枝,龙骨,甘草
枣仁,牡蛎,芍药,龙骨,桂心,甘草
朱砂,21克
珍珠母,丹皮,磁石,仙茅酒,钩藤,五味子
远志,枣仁,枣仁,龙眼肉,当归,党参
颗块朱砂,獖猪心,灯心
茯神,金箔,远志,枣仁,龙齿,深红琥珀
茯神,远志,五味子,山药,山萸,莲须
远志,菖蒲,五味子,茱萸,五倍子,当归
远志,菖蒲,丹参,琥珀末,陈皮,茜草
朱砂,琥珀,百草霜,白僵蚕,当归,白附子
茯神,枣仁,枸杞,麦门冬,知母,黄耆
牡丹,覆盆子,黑附子,黄耆,肉苁蓉,牛膝
乌犀角,拣人参,防风,枸杞,肉苁蓉,麦门冬
黄精,甘桑椹,枸杞,麦门冬,牛膝,天门冬
远志,巴戟,菖蒲,肉苁蓉,枸杞,牛膝
朱砂,枳壳,黄芩,芍药,麝香,槟榔
远志,朱砂,琥珀,菖蒲,白芍,丹参
茯神,远志,枣仁,朱砂,菖蒲,琥珀
檀香,朱砂,天竺黄,琥珀,枳实,枳壳
朱砂,天竺黄,琥珀,丹参,赤苓,雄黄
朱砂,天竺黄,珍珠,琥珀,防风,天麻
茯神,远志,菖蒲,天南星,大辰砂,人乳
茯神,远志,枣仁,辰砂,琥珀,犀角
茯神,远志,真琥珀,羚羊角,人参,甘草
茯神,远志,枣仁,朱砂,琥珀,生地
茯神,远志,枣仁,辰砂,菖蒲,琥珀
辰砂,琥珀,乳香,麝香,没药
茯神,金箔,远志,辰砂,黄耆,山药
朱砂,珍珠,琥珀,丹参,龙涎香,薄荷
红糖,合欢花,粳米
鸡蛋,去芯莲子,芡实,山药
朱砂,铁粉,蛇黄,羌活,山药,乳香
茯神,金箔,朱砂,天竺黄,胆南星,防风
茯神,金箔,远志,朱砂,天竺黄,铁粉
金箔,辰砂,天麻,防风,羌活,犀角
金箔,天竺黄,铁粉,龙齿,丹参,银箔
茯神,金箔,远志,朱砂,铁粉,犀角屑
金箔,天竺黄,辰砂,皂荚仁,白矾,二
金箔,天竺黄,辰砂,皂荚仁,白矾,铅白霜
茯神,金箔,远志,辰砂,菖蒲,五味子
茯神,枣仁,合欢花,郁金,白芍,丹参
辰砂,明矾,天南星,半夏
茯神,远志,枣仁,朱砂,菖蒲,芍药
枣仁,远志,丹皮,熟地,麦门冬,枳壳
枣仁,远志,丹皮,熟地,厚朴,枳壳
朱砂,琥珀,天麻,牵牛,钩藤,大黄
土鳖虫,钱,熟军,2钱,自然铜,乳香
朱砂,雄黄,黄芩,减半,山栀仁,黄柏
谷蘖,大腹子,随风子,薏仁,石斛,槟榔
川姜,天麻,白僵蚕,干蝎,天南星,白附子
茯神,远志,菖蒲,贝母,钩藤,胆南星
