珍珠母,磁石,酒曲,赭石,酒曲,半夏
枣仁,甘草,小麦
天竺黄,朱砂,珍珠,琥珀,防风,天麻
辰砂,郁金,黄芩,丹参,山栀仁,黄连
琥珀,天麻,龙脑,丹参,白附子,干蝎
远志,枣仁,贝母,黄芩,陈皮,瓜蒌
茯神,柏子仁,炙草,干姜,人参,当归
茯神,金箔,远志,珍珠,枣仁,辰砂
茯神,枣仁,辰砂,琥珀,人参,乳香
茯神,远志,枣仁,朱砂,菖蒲,琥珀
枣仁,辰砂,人参
菖蒲,安神膏,五味子,丹参
珍珠母,合欢皮,夜交藤,菖蒲,菟丝子,五味子
远志,石莲肉,芡实,人参,麦冬,莲须
茯神,远志,枣仁,琥珀,白芍,黄耆
茯神,远志,朱砂,麦门冬,天麻,白附子
茯神,远志,枣仁,菖蒲,炙草,黄耆
茯神,远志,枣仁,牡蛎,芡实,生地
茯神,远志,菖蒲,麦冬,杏仁,桔梗
菖蒲,龙齿
朱砂,地黄,当归,甘草,黄连
天竺黄,枣仁,珍珠,琥珀,地黄,丹参
合欢皮,合欢花,夜交藤,桑椹子,女贞子,地黄
金箔,朱砂,琥珀,防风,天麻,地黄
茯神,菖蒲,当归,全蝎,龙胆草,黄连
茯神,枣仁,朱砂,生地,当归,白参
茯神,珍珠母,枣仁,朱砂,夜交藤,合欢花
朱砂,知母,麦冬,天冬,黄连
茯神,远志,铁粉,辰砂,菖蒲,麦门冬
茯神,远志,铁粉,辰砂,菖蒲,麦门冬
茯神,枣仁,朱砂,麝香,乳香,代赭石
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,黑附子,菖蒲,桂心,牛膝,人参
枣仁,桂枝,牡蛎,黄芩,人参,大黄
大龟
茯神,远志,枸杞,白芍,熟地,黄耆
枣仁,夜交藤,莲肉,淮小麦,百合,甘草
朱砂,天麻,当归,全蝎,赤金,牙皂
天竺黄,朱砂,苍术,钩藤,丹参,木香
白糖,粳米,鲜百合,杏仁
大米,糯米,芡实,山药,莲肉
枣仁,朱砂,麦门冬,人参,生龙脑,茯苓
远志,枣仁,柏子仁,黄耆,五味子,人参
远志,枣仁,朱砂,柏子仁,五味子,当归
茯神,菖蒲,麦门冬,柏子仁,枸杞,熟地
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,柏子仁,牡蛎,五味子,浮小麦,麻黄根
鹿角霜,柏子仁,鹿角胶,菟丝子,地黄
铅,水银
朱砂,白矾,黄丹,半夏
茯神,远志,菖蒲,麦门冬,丹参,人参
枣仁,大米,薏仁,芡实,山药,莲肉
檀香,天竺黄,枣仁,红花,肉豆蔻,北沙参
檀香,天竺黄,枣仁,红花,肉豆蔻,北沙参
枣仁,石灰华,乳香,木香,沉香,诃子
枣仁,石灰华,乳香,木香,沉香,诃子
朱砂,磁石,乳香,没药,人中黄,代赭石
朱砂,胆南星,巴豆,神曲
金箔,腻粉
茯神,天竺黄,远志,珍珠,辰砂,琥珀
远志,天竺黄,珍珠,琥珀,防风,天麻
枣仁,覆盆子,巴戟,柏子仁,枸杞,肉苁蓉
辰砂,琥珀,防风,天麻,白附子,麝香
茯神,朱砂,琥珀,天麻,防风,犀角
琥珀,珍珠,丹参,马宝,龙涎香
檀香,熊胆,赤小豆,鹤虱,牵牛,轻粉
远志,覆盆子,菖蒲,巴戟,细辛,枸杞
茯神,丹皮,生地,莹白童便150毫升,原麦冬,益元散
茯神,黑附子,郁金,熟地,龙齿,人参
茯神,远志,枣仁,熟地,当归,酒炒白芍
茯神,远志,朱砂,菖蒲,麦冬,人参
蝎梢,丁香,半夏
茯神,远志,枣仁,柏子仁,五味子,黄耆
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,人参,木香,全蝎
金箔,枣仁,辰砂,麦门冬,木香,人参
陈曲,枸杞,肉苁蓉,桂,地黄,甘菊
朱砂,天竺黄,天麻,丹参,人参,麝香
茯神,天竺黄,远志,菖蒲,琥珀,天麻
菖蒲,麦门冬,贝母,天门冬,五味子,当归
米酒,丹参
辰砂,菖蒲,青龙齿,丹参,紫贝齿,琥珀末
枣仁,生地,麦冬,木通,玄参,茯苓
远志,覆盆子,菖蒲,熟地,柏子仁,枸杞
石灰华,珍珠,麝香等药味加工制成的丸剂,丹参,红花,草果
茯神,远志,菖蒲,麦门冬,天门冬,地黄
寒水石,桂枝,牡蛎,干姜,紫石英,白石脂
茯神,远志,枣仁,独活,细辛,防风
茯苓细粉,白糖等份,米粉
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,人参,天南星
茯神,远志,辰砂,菖蒲,人参,天南星
茯神,远志,枣仁,独活,细辛,防风
茯神,麦门冬,龙齿,防风,人参,黄芩
茯神,远志,枣仁,独活,细辛,防风
茯神,菖蒲,麦门冬,丹皮,石斛,芍药
寄生,风仙花全草,五味子,泽兰,益母草
枣仁,甘草,小麦
枣仁,甘草,小麦
枣仁,甘草,小麦
桂枝,牡蛎,龙骨,甘草
枣仁,牡蛎,芍药,桂心,龙骨,生姜
朱砂,21克
珍珠母,丹皮,磁石,仙茅酒,五味子,钩藤
远志,枣仁,枣仁,龙眼肉,木香,当归
獖猪心,颗块朱砂,灯心
茯神,金箔,远志,枣仁,龙齿,当归
茯神,远志,五味子,山萸,山药,黄柏
远志,菖蒲,五味子,茱萸,人参,当归
远志,菖蒲,丹参,旋覆花,琥珀末,杏仁
朱砂,琥珀,白附子,百草霜,当归,白僵蚕
茯神,枣仁,麦门冬,枸杞,黄耆,地黄
牡丹,覆盆子,黑附子,肉苁蓉,黄耆,鹿角胶
乌犀角,拣人参,防风,枸杞,麦门冬,肉苁蓉
黄精,甘桑椹,枸杞,麦门冬,牛膝,天门冬
远志,菖蒲,巴戟,枸杞,肉苁蓉,牛膝
朱砂,芍药,枳壳,黄芩,槟榔,苏枋
远志,朱砂,琥珀,菖蒲,白芍,人参
茯神,远志,枣仁,朱砂,菖蒲,琥珀
檀香,天竺黄,朱砂,琥珀,枳壳,山药
朱砂,天竺黄,琥珀,赤苓,丹参,天南星
天竺黄,朱砂,珍珠,琥珀,防风,天麻
茯神,远志,菖蒲,人参,天南星,人乳
茯神,远志,枣仁,辰砂,琥珀,犀角
茯神,远志,人参,羚羊角,真琥珀,甘草
茯神,远志,枣仁,朱砂,琥珀,生地
茯神,远志,枣仁,巴戟,辰砂,菖蒲
辰砂,琥珀,乳香,麝香,没药
茯神,金箔,远志,辰砂,黄耆,木香
朱砂,琥珀,珍珠,丹参,麝香,羚羊角
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,铁粉,蛇黄,羌活,雄黄,人参
茯神,金箔,天竺黄,朱砂,防风,蝉蜕
茯神,天竺黄,金箔,远志,朱砂,铁粉
金箔,辰砂,防风,天麻,犀角,羌活
金箔,天竺黄,铁粉,龙齿,龙脑,丹参
茯神,金箔,远志,朱砂,铁粉,犀角屑
金箔,天竺黄,辰砂,白矾,皂荚仁,生白龙脑
金箔,天竺黄,辰砂,白矾,皂荚仁,生白龙脑
茯神,金箔,远志,辰砂,菖蒲,五味子
茯神,枣仁,合欢花,郁金,白芍,丹参
辰砂,明矾,天南星,半夏
茯神,远志,枣仁,朱砂,菖蒲,芍药
远志,枣仁,熟地,丹皮,麦门冬,白芍
远志,枣仁,熟地,丹皮,厚朴,枳壳
朱砂,琥珀,天麻,牵牛,钩藤,丹参
钱,土鳖虫,2钱,熟军,乳香,自然铜
朱砂,雄黄,黄芩,黄柏,减半,山栀仁
随风子,大腹子,谷蘖,薏仁,槟榔,石斛
川姜,天麻,白附子,天南星,白僵蚕,干蝎
茯神,远志,菖蒲,钩藤,贝母,丹参
远志,枣仁,五味子,竹茹,地黄,人参
茯神,远志,枣仁,菖蒲,柏子仁,人参
远志,枣仁,朱砂,菖蒲,柏子仁,地黄
茯神,远志,厚朴,紫苏,半夏,茯苓
茯神,枣仁,菖蒲,琥珀,枸杞,肉苁蓉
