珍珠母,酒曲,磁石,赭石,半夏,酒曲,牛膝,薄荷
枣仁,甘草,小麦
天竺黄,朱砂,琥珀,珍珠,天麻,防风,雄黄,甘草
辰砂,郁金,黄芩,丹参,黄连,山栀仁
琥珀,天麻,乌蛇,白附子,僵蚕,龙脑,雄黄,麝香
远志,枣仁,贝母,陈皮,黄芩,茯苓,甘草,半夏
茯神,干姜,柏子仁,陈皮,当归,炙草,川芎,人参
茯神,金箔,独活,远志,枣仁,辰砂,珍珠,郁金
茯神,枣仁,辰砂,琥珀,人参,乳香
茯神,远志,枣仁,菖蒲,朱砂,琥珀,茯苓,当归
枣仁,辰砂,人参
安神膏,菖蒲,五味子,丹参
珍珠母,菖蒲,夜交藤,合欢皮,菟丝子,旱莲草,五味子,女贞子
远志,石莲肉,芡实,甘草,人参,麦冬,莲须
茯神,远志,黄耆,枣仁,琥珀,生地,白芍,甘草
茯神,远志,朱砂,茯苓,麦门冬,天麻,人参,全蝎
茯神,黄耆,远志,菖蒲,枣仁,当归,川芎,炙草
茯神,远志,生地,枣仁,牡蛎,黄柏,芡实,当归
茯神,远志,菖蒲,陈皮,杏仁,桔梗,甘草,麦冬
菖蒲,龙齿
朱砂,当归,甘草,黄连,地黄
天竺黄,枣仁,琥珀,珍珠,陈皮,茯苓,当归,人参
合欢花,合欢皮,桑椹子,夜交藤,玄参,女贞子,丹参,地黄
金箔,朱砂,琥珀,防风,天麻,甘草,人参,僵蚕
茯神,菖蒲,龙胆草,当归,黄连,全蝎
茯神,枣仁,朱砂,生地,白术,当归,甘草,黄连
茯神,珍珠母,枣仁,朱砂,琥珀,合欢花,夏枯草,夜交藤
朱砂,麦冬,黄连,知母,天冬
茯神,细辛,远志,菖蒲,辰砂,铁粉,麦门冬,天麻
茯神,细辛,远志,菖蒲,辰砂,铁粉,麦门冬,天麻
茯神,枣仁,朱砂,麝香,乳香,代赭石
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,黑附子,菖蒲,桂心,牛膝,人参,桔梗,茯苓
枣仁,牡蛎,桂枝,黄芩,大黄,柴胡,茯苓,铅丹
大龟
茯神,远志,黄耆,枸杞,白术,熟地,白芍,木香
枣仁,夜交藤,甘草,百合,莲肉,淮小麦
朱砂,天麻,当归,大黄,僵蚕,全蝎,牙皂,赤金
天竺黄,朱砂,苍术,陈皮,木香,桔梗,茯苓,甘草
白糖,粳米,鲜百合,杏仁
大米,芡实,糯米,莲肉,山药
枣仁,朱砂,麦门冬,茯苓,甘草,人参,生龙脑
远志,枣仁,黄耆,柏子仁,五味子,当归,茯苓,川芎
远志,枣仁,朱砂,柏子仁,茯苓,当归,川芎,甘草
茯神,菖蒲,熟地,麦门冬,枸杞,柏子仁,当归,甘草
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,柏子仁,牡蛎,白术,五味子,党参,麻黄根,半夏
鹿角霜,柏子仁,鹿角胶,菟丝子,地黄
铅,水银
朱砂,黄丹,白矾,半夏
茯神,远志,白术,菖蒲,麦门冬,茯苓,人参,丹参
枣仁,大米,薏仁,芡实,百合,莲肉,山药,扁豆
檀香,天竺黄,枣仁,肉豆蔻,红花,沉香,北沙参,紫檀香
檀香,天竺黄,枣仁,肉豆蔻,红花,沉香,北沙参,紫檀香
枣仁,石灰华,木香,肉豆蔻,乳香,诃子,沉香,木棉花
枣仁,石灰华,木香,肉豆蔻,乳香,诃子,沉香,木棉花
朱砂,磁石,乳香,没药,禹余粮,赤石脂,人中黄,代赭石
朱砂,胆南星,巴豆,神曲
金箔,腻粉
茯神,天竺黄,远志,陈皮,辰砂,珍珠,防风,琥珀
天竺黄,远志,琥珀,珍珠,天麻,羌活,防风,陈皮
枣仁,覆盆子,巴戟,柏子仁,枸杞,破故纸,肉苁蓉,天雄
辰砂,琥珀,防风,天麻,白附子,全蝎,僵蚕,麝香
茯神,朱砂,防风,琥珀,天麻,甘草,人参,全蝎
琥珀,珍珠,马宝,丹参,龙涎香
檀香,陈皮,黄芩,轻粉,熊胆,鹤虱,大黄,赤小豆
远志,覆盆子,细辛,巴戟,菖蒲,枸杞,肉苁蓉,地骨皮
茯神,丹皮,生地,原麦冬,细木通,莲子心30支,辰砂染灯心20支,淡竹叶
茯神,黑附子,郁金,龙齿,熟地,陈皮,当归,人参
茯神,远志,枣仁,熟地,当归,川芎,酒炒白芍
茯神,远志,白术,菖蒲,朱砂,茯苓,人参,麦冬
蝎梢,丁香,半夏
茯神,远志,黄耆,枣仁,柏子仁,五味子,人参,地黄
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,白术,木香,桔梗,僵蚕,茯苓
金箔,枣仁,辰砂,麦门冬,白术,木香,桔梗,茯苓
陈曲,枸杞,桂,肉苁蓉,地黄,甘菊
天竺黄,朱砂,天麻,茯苓,甘草,麝香,人参,铅白霜
茯神,天竺黄,远志,菖蒲,琥珀,麝香,人参,天麻
菖蒲,麦门冬,陈皮,贝母,白术,天门冬,五味子,当归
米酒,丹参
辰砂,菖蒲,青龙齿,琥珀末,丹参,半夏,紫贝齿,灵磁石
枣仁,生地,麦冬,茯苓,甘草,玄参,木通,黄连
远志,覆盆子,菖蒲,熟地,生地,柏子仁,枸杞,麦门冬
石灰华,珍珠,麝香等药味加工制成的丸剂,肉豆蔻,丁香,草果,红花,丹参
茯神,远志,菖蒲,甘草,麦门冬,天门冬,人参,丹砂
寒水石,干姜,牡蛎,桂枝,紫石英,白石脂,滑石,大黄
茯神,独活,远志,干姜,细辛,枣仁,桂,防风
米粉,茯苓细粉,白糖等份
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,人参,半夏,天南星,真铁粉
茯神,远志,菖蒲,辰砂,茯苓,人参,半夏,天南星
茯神,独活,远志,枣仁,细辛,干姜,桂心,防风
茯神,麦门冬,防风,龙齿,黄芩,枳实,甘草,人参
茯神,独活,远志,枣仁,细辛,干姜,桂心,防风
茯神,菖蒲,麦门冬,丹皮,生地,芍药,陈皮,石斛
风仙花全草,寄生,五味子,泽兰,益母草
枣仁,甘草,小麦
枣仁,甘草,小麦
枣仁,甘草,小麦
牡蛎,桂枝,甘草,龙骨
枣仁,牡蛎,桂心,芍药,甘草,龙骨,生姜
朱砂,21克
珍珠母,丹皮,磁石,仙茅酒,泽泻,五味子,茯苓,麦冬
远志,枣仁,枣仁,白术,龙眼肉,木香,当归,茯苓
獖猪心,颗块朱砂,灯心
茯神,金箔,远志,当归,枣仁,龙齿,罗参,颗块大朱砂
茯神,远志,黄柏,五味子,山萸,山药,莲须
远志,菖蒲,茯苓,当归,五味子,螵蛸,茱萸,人参
远志,菖蒲,陈皮,杏仁,旋覆花,茯苓,甘草,丹参
朱砂,琥珀,当归,白附子,百草霜,白僵蚕,麝,血苗灰
茯神,枣仁,麦门冬,枸杞,黄耆,秦艽,鳖甲,芍药
覆盆子,牡丹,黑附子,鹿角胶,黄耆,肉苁蓉,天门冬,牛膝
乌犀角,拣人参,白蒺藜,枸杞,麦门冬,肉苁蓉,防风,石斛
黄精,甘桑椹,枸杞,麦门冬,茯苓,牛膝,天门冬,地黄
远志,巴戟,菖蒲,枸杞,茴香,肉苁蓉,茯苓,牛膝
朱砂,芍药,枳壳,黄芩,木香,槟榔,蓝叶,麝香
远志,朱砂,琥珀,菖蒲,白芍,人参,丹参,煅磁石
茯神,远志,枣仁,菖蒲,朱砂,琥珀,乳香,人参
檀香,天竺黄,朱砂,琥珀,枳壳,茯苓,枳实,甘草
天竺黄,朱砂,琥珀,雄黄,全蝎,麝香,赤苓,僵蚕
天竺黄,朱砂,琥珀,珍珠,羌活,天麻,防风,贝母
茯神,远志,菖蒲,茯苓,人参,天南星,真琥珀,大辰砂
茯神,远志,枣仁,辰砂,琥珀,当归,甘草,玄参
茯神,远志,甘草,人参,羚羊角,真琥珀
茯神,远志,生地,枣仁,朱砂,琥珀,当归,香附
茯神,黑附子,远志,枣仁,巴戟,菖蒲,辰砂,琥珀
辰砂,琥珀,麝香,乳香,没药
茯神,金箔,黄耆,远志,辰砂,木香,桔梗,茯苓
朱砂,琥珀,珍珠,麝香,薄荷,羚羊角,冰片,龙涎香
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,蛇黄,铁粉,羌活,蜈蚣,茯苓,雄黄,川芎
茯神,金箔,天竺黄,蝉蜕,朱砂,防风,雄黄,全蝎
茯神,金箔,生地,天竺黄,远志,朱砂,铁粉,龙胆草
金箔,辰砂,天麻,羌活,防风,茯苓,丹参,甘草
金箔,天竺黄,铁粉,黄连,麝香,龙齿,丹砂,龙脑
茯神,金箔,远志,朱砂,铁粉,防风,地骨皮,枳实
金箔,天竺黄,辰砂,铅白霜,半夏,白矾,二,生白龙脑
金箔,天竺黄,辰砂,铅白霜,半夏,白矾,生白龙脑,皂荚仁
茯神,金箔,皮硝,远志,菖蒲,辰砂,雄黄,乌梅肉
茯神,枣仁,合欢花,郁金,柴胡,当归,白芍,山栀
辰砂,明矾,天南星,半夏
茯神,远志,芍药,菖蒲,枣仁,朱砂,茯苓,当归
远志,枣仁,丹皮,熟地,生地,阿胶,麦门冬,白芍
远志,枣仁,蝉蜕,丹皮,厚朴,熟地,生地,枳壳
朱砂,琥珀,天麻,大黄,全蝎,钩藤,胆南星,僵蚕
土鳖虫,钱,2钱,熟军,当归,乳香,没药,自然铜
朱砂,黄柏,黄芩,减半,雄黄,山栀仁,黄连
大腹子,谷蘖,随风子,薏仁,白术,陈皮,石斛,木香
川姜,天麻,白附子,白僵蚕,半夏,天南星,川乌,干蝎
茯神,远志,陈皮,菖蒲,贝母,玄参,麦冬,钩藤
远志,枣仁,陈皮,五味子,枳实,茯苓,甘草,竹茹
茯神,远志,枣仁,菖蒲,柏子仁,人参
远志,枣仁,朱砂,菖蒲,柏子仁,木香,茯苓,当归
茯神,远志,厚朴,茯苓,甘草,紫苏,半夏
茯神,熟地,枣仁,菖蒲,琥珀,枸杞,肉苁蓉,当归
川姜,天麻,白附子,白僵蚕,半夏,天南星,川乌,干蝎
茯神,远志,丹皮,枣仁,生地,白芍,石斛,麦冬
茯神,远志,当归,羚羊角,麦冬,知母,犀角
茯神,黑附子,干姜,巴戟,阳起石,厚朴,肉苁蓉,破故纸
肉桂心,生川连
琥珀,香附,茯苓
檀香,石灰华,甘草,洪连,红花,榜嘎,红景天,高山辣根菜
