珍珠母,磁石,酒曲,赭石,酒曲,牛膝,半夏,薄荷
枣仁,小麦,甘草
朱砂,天竺黄,珍珠,琥珀,天麻,防风,钩藤,丹参
辰砂,郁金,黄芩,丹参,山栀仁,黄连
琥珀,天麻,乌蛇,丹参,龙脑,雄黄,僵蚕,麝香
枣仁,远志,贝母,陈皮,瓜蒌,茯苓,黄芩,甘草
茯神,干姜,柏子仁,当归,益智,陈皮,人参,炙草
茯神,金箔,枣仁,远志,珍珠,独活,辰砂,天麻
茯神,枣仁,辰砂,琥珀,人参,乳香
茯神,枣仁,朱砂,远志,菖蒲,琥珀,柏子仁,当归
枣仁,辰砂,人参
菖蒲,安神膏,丹参,五味子
珍珠母,菖蒲,夜交藤,菟丝子,合欢皮,丹参,旱莲草,女贞子
远志,石莲肉,芡实,麦冬,人参,莲须,甘草
茯神,枣仁,远志,琥珀,黄耆,白芍,生地,双钩藤
茯神,朱砂,远志,天麻,麦门冬,白附子,人参,全蝎
茯神,枣仁,远志,菖蒲,黄耆,当归,圆肉,杭芍
茯神,枣仁,远志,牡蛎,芡实,金樱,锁阳,当归
茯神,远志,菖蒲,陈皮,麦冬,甘草,杏仁,桔梗
菖蒲,龙齿
朱砂,当归,地黄,甘草,黄连
枣仁,天竺黄,琥珀,珍珠,当归,陈皮,丹参,人参
合欢花,夜交藤,桑椹子,合欢皮,丹参,女贞子,地黄,玄参
金箔,朱砂,琥珀,天麻,防风,山药,人参,全蝎
茯神,菖蒲,当归,全蝎,龙胆草,黄连
茯神,枣仁,朱砂,当归,生地,白参,寸冬,白术
茯神,珍珠母,枣仁,朱砂,合欢花,夜交藤,琥珀,白芍
朱砂,麦冬,知母,天冬,黄连
茯神,远志,菖蒲,辰砂,细辛,铁粉,天麻,山芋
茯神,远志,菖蒲,辰砂,细辛,铁粉,天麻,山芋
茯神,枣仁,朱砂,代赭石,乳香,麝香
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,菖蒲,黑附子,桂心,牛膝,人参,茯苓,桔梗
枣仁,牡蛎,桂枝,大黄,龙骨,黄芩,人参,铅丹
大龟
茯神,远志,黄耆,白芍,熟地,枸杞,牛膝,当归
枣仁,夜交藤,莲肉,百合,淮小麦,甘草
朱砂,天麻,当归,大黄,全蝎,僵蚕,黄土,赤金
朱砂,天竺黄,苍术,钩藤,陈皮,丹参,薄荷,麦芽
白糖,粳米,鲜百合,杏仁
大米,芡实,糯米,莲肉,山药
枣仁,朱砂,麦门冬,人参,生龙脑,茯苓,甘草
枣仁,远志,柏子仁,黄耆,当归,人参,五味子,肉桂
枣仁,远志,朱砂,柏子仁,当归,五味子,肉桂,黄芪
茯神,菖蒲,柏子仁,麦门冬,熟地,枸杞,当归,元参
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,牡蛎,柏子仁,浮小麦,麻黄根,五味子,党参,白术
鹿角霜,柏子仁,菟丝子,鹿角胶,地黄
铅,水银
朱砂,黄丹,白矾,半夏
茯神,远志,菖蒲,麦门冬,人参,丹参,茯苓,白术
枣仁,大米,薏仁,芡实,山药,莲肉,百合,扁豆
檀香,枣仁,天竺黄,红花,北沙参,紫檀香,沉香,肉豆蔻
檀香,枣仁,天竺黄,红花,北沙参,紫檀香,沉香,肉豆蔻
枣仁,石灰华,乳香,木棉花,诃子,沉香,木香,肉豆蔻
枣仁,石灰华,乳香,木棉花,诃子,沉香,木香,肉豆蔻
朱砂,磁石,乳香,人中黄,代赭石,禹余粮,赤石脂,没药
朱砂,胆南星,巴豆,神曲
金箔,腻粉
茯神,远志,天竺黄,珍珠,辰砂,琥珀,天麻,防风
远志,天竺黄,琥珀,珍珠,防风,天麻,贝母,钩藤
枣仁,覆盆子,巴戟,柏子仁,肉苁蓉,枸杞,天门冬,破故纸
辰砂,琥珀,防风,天麻,全蝎,僵蚕,白附子,天南星
茯神,朱砂,琥珀,天麻,防风,麝1字,人参,全蝎
琥珀,珍珠,丹参,龙涎香,马宝
檀香,赤小豆,熊胆,鹤虱,牵牛,大黄,三棱,陈皮
远志,覆盆子,菖蒲,细辛,巴戟,枸杞,肉苁蓉,地骨皮
茯神,丹皮,辰砂染灯心20支,原麦冬,莲子心30支,细木通,莹白童便150毫升,益元散
茯神,黑附子,郁金,熟地,龙齿,当归,陈皮,人参
茯神,枣仁,远志,熟地,酒炒白芍,当归,川芎
茯神,朱砂,远志,菖蒲,人参,麦冬,茯苓,白术
蝎梢,丁香,半夏
茯神,枣仁,远志,黄耆,柏子仁,人参,地黄,五味子
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,全蝎,人参,金银箔,僵蚕,大赭石
金箔,枣仁,辰砂,麦门冬,蚌粉,人参,银箔,全蝎
陈曲,枸杞,肉苁蓉,桂,地黄,甘菊
朱砂,天竺黄,天麻,丹参,人参,铅白霜,生龙脑,茯苓
茯神,远志,天竺黄,菖蒲,琥珀,天麻,真珠末,水银沙子
菖蒲,贝母,麦门冬,当归,天门冬,丹参,知母,陈皮
米酒,丹参
辰砂,菖蒲,青龙齿,丹参,紫贝齿,琥珀末,灵磁石,半夏
枣仁,生地,麦冬,茯苓,玄参,木通,甘草,黄连
远志,覆盆子,菖蒲,柏子仁,熟地,生地,枸杞,肉苁蓉
石灰华,珍珠,麝香等药味加工制成的丸剂,红花,丹参,草果,肉豆蔻,丁香
