半夏,白芥子,白术,薏仁,芡实
黄芪,党参,水牛角浓缩粉,郁金,珍珠
天南星,银箔,金箔,川甜消,朱砂
天竺黄,天南星,生龙脑,金箔,雄黄
银箔,金箔,牙消,龙脑,朱砂
天竺黄,天南星,僵蚕,朱砂,雄黄
天竺黄,升麻,朱砂,真珠,龙脑
百部,桔梗,元参,陈皮,麦冬
贝母,半夏,远志,陈皮,瓜蒌
半夏,天南星,僵蚕,远志,金箔
半夏,紫菀,葶苈,杏仁,桔梗
半夏,缩砂仁,杏仁,桔梗,陈皮
半夏,杏仁,桔梗,陈皮,紫苏
紫菀,桔梗,牛膝,款冬花,麦冬
半夏,杏仁,远志,桔梗,陈皮
银箔,金箔,远志,朱砂,白僵蚕
天南星,黑附子,白术,白附子,茯苓
贝母,金银花,枇杷叶,薄荷,小木通
贝母,半夏,芍药,桔梗,枳实
粳米,陈茶叶
半夏,丁香,全蝎,术香,砂仁
半夏,天南星,山芋,远志,辰砂
天南星,辰砂,天麻,白附子,二
天南星,辰砂,天麻,白附子,麝香
半夏,天南星,辰砂,白矾
半夏,天南星,皂角,陈皮,神曲
半夏,天南星,辰砂,白矾
半夏,天南星,辰砂,白附子,白矾
缩砂仁,桔梗,草果仁,生姜,茯苓
粳米,白糖,茶叶
半夏,茱萸,陈皮,苍术,神曲
半夏,茱萸,陈皮,苍术,黄连
山芋,牛膝,陈皮,柏子仁,肉苁蓉
灵脂,牙皂,二丑,香附,沉香
半夏,柴胡,陈皮,生姜,甘草
贝母,半夏,芍药,柴胡,桔梗
半夏,柴胡,薄荷,山栀,苏叶
贝母,葶苈,蜂蜜,麻黄,桑白皮
贝母,杏仁,桔梗,白糖,枇杷叶
贝母,桔梗,枇杷叶,薄荷
贝母,杏仁,蜂蜜
半夏,牛膝,薏仁,白蔻,钩藤
桔梗,龙脑,三十,七十五,两细辛
09千克,780克,150克,12千克,1
桔梗,龙脑,薄荷,细辛,川芎
苏合香,白檀香,吃力伽,熏陆香,脑香
贝母,青礞石,硼砂,猪脱氧胆酸,人工竺黄
贝母,粳米,冰糖
贝母,粳米,砂糖
贝母,桔梗,陈皮,花粉,瓜蒌
贝母,紫菀,杏仁,百部,五味子
贝母,杏仁,款冬花,五味子,知母
贝母,柴胡,杏仁,百合,石膏
贝母,紫菀,杏仁,桔梗,甘草
紫菀,五味子,黄耆,地黄,桑白皮
半夏,胆南星,远志,黄芪,当归
半夏,紫菀,杏仁,桔梗,黄芪
盐,缩砂仁,白檀,栝楼,薄荷
缩砂仁,桔梗,四,三,薄荷
缩砂仁,桔梗,薄荷,川芎,防风
缩砂仁,桔梗,薄荷,川芎,防风
