半夏,白芥子,薏仁,白术,益智
水牛角浓缩粉,党参,黄芪,甘松,薄荷
天南星,银箔,川甜消,金箔,朱砂
天竺黄,天南星,生龙脑,金箔,雄黄
银箔,牙消,金箔,朱砂,龙脑
天竺黄,天南星,僵蚕,朱砂,琥珀
天竺黄,真珠,朱砂,龙脑,升麻
百部,桔梗,元参,陈皮,花粉
贝母,半夏,远志,陈皮,瓜蒌
半夏,天南星,远志,僵蚕,金箔
半夏,紫菀,葶苈,杏仁,桔梗
半夏,缩砂仁,杏仁,桔梗,紫苏
半夏,杏仁,桔梗,紫苏,陈皮
紫菀,款冬花,牛膝,桔梗,天冬
半夏,远志,杏仁,桔梗,陈皮
银箔,远志,金箔,朱砂,花蛇肉
天南星,黑附子,白术,白附子,茯苓
贝母,金银花,葛根,小木通,枇杷叶
贝母,半夏,芍药,桔梗,枳实
粳米,陈茶叶
半夏,丁香,全蝎,术香,肉豆蔻
半夏,天南星,山芋,远志,辰砂
天南星,辰砂,天麻,二,白附子
天南星,辰砂,天麻,白附子,麝香
半夏,天南星,辰砂,白矾
半夏,天南星,皂角,陈皮,神曲
半夏,天南星,辰砂,白矾
半夏,天南星,辰砂,白附子,白矾
缩砂仁,桔梗,草果仁,茯苓,生姜
粳米,白糖,茶叶
半夏,茱萸,陈皮,神曲,苍术
半夏,茱萸,陈皮,苍术,茯苓
山芋,柏子仁,沉香,牛膝,五味子
半夏,柴胡,陈皮,生姜,甘草
贝母,半夏,柴胡,芍药,桔梗
半夏,柴胡,红花,赤芍,山栀
贝母,葶苈,蜂蜜,桑白皮,麻黄
贝母,杏仁,桔梗,白糖,苯甲酸
贝母,桔梗,枇杷叶,薄荷
贝母,蜂蜜,杏仁
半夏,牛膝,白蔻,薏仁,赤芍
三十,两细辛,七十五,桔梗,二十
09千克,780克,12千克,1,150克
苏合香,丁子香,诃梨勒皮,熏陆香,吃力伽
贝母,青礞石,硼砂,猪脱氧胆酸,人工竺黄
贝母,冰糖,粳米
贝母,粳米,砂糖
贝母,桔梗,陈皮,花粉,瓜蒌
贝母,紫菀,百部,杏仁,五味子
贝母,杏仁,款冬花,五味子,知母
贝母,柴胡,杏仁,百合,石膏
贝母,紫菀,杏仁,桔梗,甘草
紫菀,五味子,地黄,黄耆,桑白皮
半夏,胆南星,远志,黄芪,当归
半夏,紫菀,杏仁,黄芪,桔梗
缩砂仁,盐,栝楼,白檀,薄荷
缩砂仁,桔梗,四,薄荷,三
缩砂仁,桔梗,薄荷,川芎,防风
缩砂仁,桔梗,薄荷,川芎,防风
鸡苏叶,缩砂仁,盐,瓜蒌根十,荆芥
鸡苏叶,缩砂仁,盐,瓜蒌根,荆芥
鸡苏叶,缩砂仁,盐,瓜蒌根,荆芥
百部,杏仁,麻黄
朱砂,熊胆,梅片,丹参5厘,麝香5厘
紫菀,葶苈,杏仁,清夏,五爪红
贝母,柴胡,辰砂,巴豆,上肉桂
贝母,桔梗,当归,元参,麦冬
贝母,桔梗,当归,麦冬,白芍
牵牛,雷丸末,甘遂末,龙脑,粉霜
贝母,板蓝根,麦冬,蝉蜕,连翘
生龙脑,朱砂,茯苓,麦门冬,枣仁
贝母,诃黎勒皮,玄参,地黄,知母
半夏,白术,干姜,人参,甘草
天南星,白僵蚕,全蝎,地龙干,五灵脂
天南星,远志,辰砂,天麻,麝1字
天竺黄,檀香,天南星,辰砂,枳实
天竺黄,胆南星,僵蚕,辰砂,全蝎
天竺黄,郁金,雄黄,白矾
半夏,杏仁,枳实,茶叶,瓜蒌霜
贝母,天南星,杏仁,桔梗,紫苏
甜杏,白冰
天南星,半复,黄芩
半夏,黑附子,生姜
半夏,苍术,厚朴,茯苓,广皮
贝母,半夏,桔梗,瓜萎仁,枳亮
半夏,杏仁
半夏,芍药,旋复花,桔梗,陈皮
半夏,柴胡,升麻,藁本,神曲
半夏,黄柏,泽泻,天麻,陈皮
半夏,天麻,白术
半夏,天麻,陈皮,白术,蔓荆子
半夏,黄柏,泽泻,天麻,陈皮
半夏,秫米
半夏,麦芽,陈皮,香附,神曲
半夏,紫苏,诃黎勒皮,厚朴,茯苓
半夏,昆布,杏仁,桔梗,射干
半夏,干苏叶,厚朴,茯苓,生姜
贝母,天南星,半夏,白术,白附子
半夏,防风
半夏,朱砂,黄丹,白矾
半夏,白矾
半夏,瓜蒌子
半夏,朴消,茯苓,枳壳
半夏,陈皮,木香,郁李仁,槟榔
半夏,破故纸,沉香,猪苓
半夏,天南星,香附,石膏,栀子
雪梨,白砂糖,北杏
檀香,白葡萄干,拳参,北沙参,丁香
檀香,白葡萄干,拳参,北沙参,丁香
片脑,硼砂,桂花,霍香叶,紫苏
