红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,孩儿参,赤芍,生地
红花,刘寄奴,姜黄,灵仙,路通,芥子
虎杖,茜草,蚤休,生鳖甲,郁金,全瓜蒌
地龙,荆芥,全蝎,川芎,细辛,防风
没药,乳香,紫荆皮,甘草,白芷
桃仁,虫,石苇,牡丹,乌扇,赤消
没药,自然铜,乳香,土鳖
黑豆,三七,鸡血藤膏,血琥珀,骨碎补,川续断
桃仁,红花,栝楼,当归尾,薤白,柴胡
香油,没药,三七,血竭,乳香,东丹
没药,乳香,全蜈蚣,天花粉,山甲,皂刺
丹参,杜仲,芎藭
桃仁,红花,泽兰,白芍药,丹皮,元胡索
红花,三七,乳香,苏木,血竭,琥珀
桃仁,虫,杏仁,蛴螬,虻虫,水蛭
地龙,自然铜,没药,丹皮,乳香,肉桂
丹参,泽兰,玄胡,黑豆,焦艾,楂炭
桃仁,丹参,没药,苏木,乳香,泽兰叶
红花,鸡血藤,黄耆,炼蜜,胆草,当归
桃仁,红花,三棱,皂角刺,莪术,赤芍
玄胡,没药,丹皮,乳香,赤芍,金银花
桃仁,红花,玄胡,小茴香,桂枝,川楝
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,瓜蒌根,柴胡,穿山甲,甘草
全虫,虫,川山甲,蜈蚣
桃仁,红花,五灵脂,玄胡,丹皮,香附
桃仁,红花,玄胡,丹皮,灵脂,香附
丹参,郁金,川楝,乌药,柴胡,百合
桃仁,桂枝,牡丹,芍药,茯苓
桃仁,丹皮,桂枝,芍药,茯苓
桃仁,红花,泽兰,归尾,玄胡,牛膝
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,芍药,当归,熟干地黄
没药,元胡,丹皮,乳香,红藤,紫花地丁
红花,75,酒精
丹参,辰砂,琥珀,豆豉,荆芥,参三七
紫苏,何首乌,肉桂,香附,赤芍,乌药
红花,紫苏,乳香,黄连,苏木,三棱
归尾,姜黄,伸筋草,松节,海桐皮,落得打
香油,没药,乳香,红粉,蛇蜕,蜂蜡
桃仁,红花,当归尾,蝉衣,荆芥,赤芍
桃仁,归尾,玄胡,赤芍,防风,黄芩
蝙蝠,骨碎补,补骨脂,当归,大黄,桂
丹参,泽兰,金钱草,泽泻,黄芪,茯苓皮
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,酒归尾,赤芍,防风,木香
刘寄奴,酒生地,血竭,苏木,赤芍,川芎
红花,蟾酥,珍珠,灵芝,熊胆,冰片等
没药,白术,乳香,熟地,肉桂,黄芪
桃仁,红花,红花,黑豆,玄胡,五灵脂
丹参,红花,虫,灵仙,桂枝,血通
桃仁,丹参,三棱,莪术,赤芍,穿山甲
桃仁,丹参,三棱,莪术,赤芍,穿山甲
