红花,山楂,三七,葛根,川芎
红花,山楂,三七,葛根,川芎
桃仁,红花,丹参,生地,白芍,赤芍,孩儿参,川芎
红花,刘寄奴,姜黄,芥子,桑枝,川芎,胆星,灵仙
虎杖,茜草,郁金,全瓜蒌,白芍,生鳖甲,蚤休,赤芍
地龙,荆芥,全蝎,川芎,细辛,防风
没药,乳香,紫荆皮,白芷,甘草
桃仁,虫,石苇,瞿麦,葶苈,乌扇,蜂窠,紫葳
自然铜,没药,乳香,土鳖
黑豆,三七,鸡血藤膏,血琥珀,骨碎补,麒麟竭,川续断,破故纸
桃仁,红花,栝楼,薤白,川芎,当归尾,牛膝,柴胡
香油,三七,没药,血竭,乳香,樟脑,东丹,冰片
没药,山甲,全蜈蚣,皂刺,乳香,天花粉,知母
丹参,杜仲,芎藭
桃仁,红花,泽兰,白芍药,丹皮,元胡索,香附,熟地黄
红花,三七,血竭,苏木,生地,乳香,赤芍,淮牛膝
桃仁,虫,干地黄,杏仁,蛴螬,芍药,虻虫,干漆
自然铜,地龙,没药,肉桂,丹皮,乳香,无名异,木鳖子
丹参,泽兰,黑豆,玄胡,赤芍,香附,焦艾,楂炭
桃仁,丹参,没药,苏木,乳香,荆芥,泽兰叶,蔓荆子
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,三棱,赤芍,夏枯草,莪术,穿山甲,皂角刺
玄胡,没药,丹皮,红藤,乳香,金银花,赤芍,紫花地丁
桃仁,红花,玄胡,红藤,川楝,炮姜,赤芍,香附
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,穿山甲,瓜蒌根,当归,大黄,柴胡,甘草
全虫,虫,蜈蚣,川山甲
桃仁,红花,五灵脂,玄胡,丹皮,乌药,赤芍,香附
桃仁,红花,玄胡,灵脂,丹皮,乌药,赤芍,香附
丹参,郁金,乌药,川楝,百合,柴胡,黄芩
桃仁,桂枝,芍药,牡丹,茯苓
桃仁,丹皮,芍药,桂枝,茯苓
桃仁,归尾,红花,泽兰,玄胡,牛膝
桃仁,丹参,三棱,赤芍,莪术
桃仁,丹参,三棱,赤芍,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,肉桂,蒲黄,芍药,当归,熟干地黄,干姜,甘草
元胡,没药,丹皮,红藤,乳香,银花,紫花地丁,连翘
红花,酒精,75
丹参,荆芥,石菖蒲,丁香,辰砂,参三七,天麻,龙齿
紫苏,肉桂,何首乌,乌药,赤芍,香附,川芎,当归
红花,紫苏,苏木,乳香,三棱,黄连,黄柏,香附
归尾,伸筋草,松节,海桐皮,活,姜黄,落得打,羌
香油,没药,血竭面,蜂蜡,乳香,儿茶面,麝香,红粉
桃仁,红花,白蒺藜,荆芥,赤芍,蝉衣,当归尾,甘草
桃仁,归尾,玄胡,赤芍,川芎,半夏,防风,黄芩
蝙蝠,骨碎补,补骨脂,大黄,当归,桂
丹参,泽兰,金钱草,黄芪,山药,炮甲,泽泻,茯苓皮
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,赤芍,酒归尾,防风,木香
刘寄奴,酒生地,血竭,苏木,赤芍,川芎,当归,枳壳
红花,蟾酥,珍珠,灵芝,熊胆,冰片等,牛黄,麝香
没药,肉桂,乳香,炮姜,白术,黄芪,熟地,党参
桃仁,红花,红花,黑豆,玄胡,益母草,五灵脂,没药
红花,丹参,虫,秦艽,细辛,虻虫,水蛭,血通
桃仁,丹参,三棱,赤芍,莪术,穿山甲,川芎,当归
桃仁,丹参,三棱,赤芍,莪术,穿山甲,川芎,当归
丹参,茜草,三七,赤芍,降香
丹参,益母草,三七,香附,川芎,党参,当归
桃仁,红花,五灵脂,没药,姜黄,苏木,当归尾,杏仁
茜草,香油,刘寄奴,松节,伸筋草,紫草根,昆布,透骨草
鸡血藤,双花,元参,土茯苓,乳香,甘草
桃仁,玄胡,丹皮,赤芍,银藤,生石膏,虻虫,水蛭
丹参,泽兰,鸡血藤,玄胡,没药,元参,血竭,郁金
蒲公英,犀黄丸,川军,冬瓜子,土贝母,赤小豆,败酱草,丹皮
香油,章丹
红花,丹参,赤芍,降香,川芎
自然铜,鸡子,孩儿牙齿,朱砂
桃仁,红花,益母草,黑豆,玄胡,苏木,苍术,泽兰叶
自然铜,熟军,没药,土鳖虫,血竭,乳香,猴姜,2钱
桃仁,红花,党参,白术,附子,干姜,甘草
红花,乌药,穿山甲,川芎,牛膝,泽泻,茯苓,枳壳
桃仁,益母草,炮姜,芥穗,川芎,炙草,当归
没药,乳香,荔核,橘核,瓜蒌,当归,甘草
桃仁,归尾,红花,炮山甲,板蓝根,白芍,制首乌,赤芍
桃仁,红花,白芍药,熟地黄,川芎,当归
茅根,丹皮,蒲黄,栀子,川芎,芍药,生地黄,当归
丹参,茜草,元参,土贝母,生地,白芍,夏枯草,赤芍
酒黄芩,秦皮,丹皮,生地,木通,赤芍,栀子,青黛
茅根,茜草,鸡血藤,仙鹤草,丹皮,旱莲草,三七粉,山栀
红花,黄耆,赤芍,白术1,人参1,地锦草,川芎,茯苓
红花,丹参,鸡血藤,丹皮,枸杞,女贞子,黄精,玉竹
桃仁,红花,丹参,生地,赤芍,田七,川芎,当归
自然铜,没药,土鳖虫,乳香,马前子,麻黄
醋,半夏
桃仁,红花,海藻,昆布,白芍,海金砂,鸡内金,枳实
泽兰,郁金,山栀,枳实,香附,川楝,柴胡
丹参,沙参,赤芍,枳实,制半夏,川芎,麦冬,五味子
没药,凌霄花,赤芍,当归,木香,桂心
红花,五灵脂,生地,赤芍,川芎,生姜,赤茯苓,当归
炉甘石,珍珠,牛黄,麝香,冰片,硼砂
丹参,芍药,麦门冬,薏苡仁,牡丹,生地黄,败酱,生姜
归尾,草决,白芍,蒺藜,荆芥,生地,黄连,蔓荆子
玄胡,肉桂,槟榔,苍术,三棱,莪术,缩砂,青皮
丹参,茜草,王不留行,黄柏,木瓜,薏米仁,地鳖,清风藤
地龙,玄胡,没药,赤小豆,血竭,乳香,麝香,儿茶
红花,归尾,刘寄奴,益母草,酒生地,赤芍,川芎
桃仁,泽兰,郁金,赤芍,苏梗,瓦楞子,新绛,青皮
桃仁,红花,泽兰,蒲公英,丹参,没药,败酱草,王不留行
地龙,仙灵脾,盐黄柏,盐知母,肉桂,木通,莪术,穿山甲
丹参,牡蛎,郁金,白芍,白花蛇舌草,三棱,夏枯草,香附
丹参,地龙,王不留行,川楝,皂角刺,橘叶
丹参,海藻,牡蛎,昆布,三棱,夏枯草,天门冬,莪术
红花,三七,樟脑,麝香,冰片,薄荷脑,龙血竭,地黄
桃仁,红花,地龙,没药,灵脂,秦艽,香附,川芎
红花,蒲黄,三棱,川芎,黄芪,党参,当归
桃仁,生地,当归,大黄,鳖甲,人参,黄芩,甘草
玄胡,白芍,乳香,枳实,广郁金,香附,柴胡,甘草
桃仁,红花,泽兰,香附,当归尾,酒丹参,牛膝
桃仁,川芎,黑姜,炙草,当归
红花,干葛,香附,川芎,细辛,苏叶,半夏,升麻
元胡,灵脂,没药,香附
五灵脂,玄胡,没药,蒲黄,赤芍,官桂,川芎,小茴香
五灵脂,蒲黄
茅根,半枝莲,石苇,郁金,金钱草,海金砂,木通,三棱
桃仁,黄连,吴萸,半夏,陈皮
生甘草,干葛,山楂,僵蚕,当归,蝉蜕,升麻
玄胡,蓬术,丹皮,北芍药,川芎,当归,甘草
元胡,灵脂,熟军,藏红花,丹皮,生地,三棱,赤芍
桃仁,红花,元胡,苍术,防己,黄柏,威灵仙,制南星
红花,山楂,乌药,香附,青皮,当归尾,泽泻,木香
桃仁,归尾,红花,丹参,乳香,蕺莱,牛膝
桃仁,干漆,芍药,当归,芎藭,桂心,甘草
桃仁,蒲黄,大枣,消石,大黄,甘草
桃仁,赤芍,三棱,诃黎勒皮,白术,当归,鳖甲,陈橘皮
桃仁,红花,丹皮,郁金,山栀,赤芍,泽兰叶,赤曲
莪茂,丹皮,川芎,芍药,人参,牛膝,当归,桂心
红花,自然铜,没药,血竭,苏木,乳香,马钱子,丁香
没药,芥子,肉桂,丹皮,骨碎补,五加皮,乳香,黄柏
丹参,地龙,鸡血藤,蜈蚣,全蝎,忍冬藤,络石藤,钩藤
桃仁,红花,路路通,生地,赤芍,丝瓜络,石菖蒲,川芎
丹参,没药,血竭,乳香,金银花,青皮,公英,瓜蒌
桃仁,红花,生地,赤芍,川芎,当归,牛膝,柴胡
玄胡,苦楝,川芎,芍药,地黄,当归
玄胡,当归
桃仁,白芍,荆芥,木通,赤芍,桑白皮,枸杞子,制香附
