没药,乳香,白莴苣子,乌梅,白粟米
片松香,铜绿,蓖麻仁,杏仁
鹅不食草,踯躅花,羌活,薄荷,蔓荆子
草乌,威灵仙,紫荆皮,藁本,红花
芙蓉叶,赤小豆,五倍子,赤芍,甘草
三七,威灵仙,玄胡,蒲黄,红花
破故纸,乳香,丁公藤,猪牙皂,黄精
海金沙,关木通,石韦,白芍,栀子
破故纸,没药,乳香,丁公藤,猪牙皂
草乌,萆薢,红花,川乌,白芷
三七,没药,乳香,鸡血藤,炙马钱子
草乌,萆薢,红花,川乌,白芷
草乌,没药,樟脑,乳香,木瓜
威灵仙,白僵蚕,地龙,漏芦,白芷
三七,樟脑,红花,水杨酸甲酯,颠茄流浸膏
没药,乳香,蜈蚣,黄米,菖蒲
没药,乳香,红花,川断,白芍
樟脑,甘松,辣椒,干羌,冰片
三七,没药,血竭,透骨草,乳香
三七,没药,芍药,乳香,红花
没药,乳香,红花,川断,桃仁
没药,乳香,赤芍,丹皮,白芷
三七,红花,夏枯草,寸冬,赤芍
芍药
银花,槐角,槐花,黄芩,柴胡
草乌,芍药,军姜,肉桂,白芷
血竭,乳香,自然铜,当归,土鳖虫
没药,乳香,桃仁,归尾,赤芍
草乌,红花,半夏,桃仁,羌活
玄胡,金铃子
银花,没药,乳香,红花,地丁
威灵仙,红花,生姜,白芍,桂枝
没药,乳香,白芍,栀子,贯众
没药,乳香,白占,黄占,炉甘石
三七,没药,乳香,落得打,陈皮
没药,乳香,马钱子,麻黄
透骨草,铁屑,防风,当归,川芎
老鹳草
血竭,没药,红花,朴消,羌活
草乌,羌活,天麻,独活,石斛
乳香,木瓜,白芍,杜仲,牛膝
没药,乳香,冰片,轻粉
元胡,甘松,白芨,鹿角胶,白芍
红花,闹羊花,蒲黄,白芷,当归
乳香,珠子沥青,白黄蜡
草乌,威灵仙,乳香,五灵脂,川楝
草乌,威灵仙,萆薢,乳香,五灵脂
没药,乳香,川乌,当归,丁香
元胡,蔻仁,生白芍,片姜黄,陈皮
血竭,没药,乳香,地龙,自然铜
破故纸,延胡索,杜仲,牛膝,当归
没药,芍药,乳香,花粉,金银花
没药,乳香,木瓜,马钱子,羌活
血竭,轻粉,密陀僧,干胭脂
红花,生姜,桃仁,玄胡素,杜仲
郁李仁,白芥子,白芍,柴胡,白芷
元参,金银花,甘草,当归
樟脑,水杨酸甲酯,芸香浸膏,伤湿止痛流浸膏,颠茄流浸膏
元胡,紫草,细木通,大青叶,紫参
酒,虎骨,败龟,乌蛇,茄子根
萆薢,羌活,天麻,独活,地黄
银花,没药,乳香,花粉,归尾
玄胡索,破故纸,牛膝,当归
玄胡索,朴消
玄胡索,白芍,熟地,当归,川芎
没药,乳香,犀黄,黄米饭,麝香
银花,乳没4,桃仁,薏仁,败酱草
藁本,苦丁茶,荷叶,桑叶,白茅根
三七,北沙参,麦冬,赤芍
三七,没药,乳香,川断,骨碎补
