没药,乳香,白粟米,白莴苣子,乌梅
铜绿,片松香,蓖麻仁,杏仁
踯躅花,鹅不食草,羌活,防风,蔓荆子,荆芥
草乌,紫荆皮,威灵仙,藁本,红花,半夏
芙蓉叶,赤小豆,甘草,五倍子,贝母,白芷
三七,威灵仙,玄胡,归尾,红花,郁金
破故纸,乳香,白术,羌活,陈皮,桂枝
石韦,海金沙,关木通,白芍,栀子,甘草
没药,破故纸,乳香,白术,陈皮,羌活
草乌,萆薢,红花,川乌,白芷,当归
三七,没药,乳香,骨碎补,炙马钱子,鸡血藤
草乌,萆薢,红花,川乌,白芷,当归
草乌,没药,樟脑,乳香,独活,冰片
威灵仙,白僵蚕,地龙,漏芦,桂心,芎藭
三七,樟脑,红花,颠茄流浸膏,水杨酸甲酯,冰片
没药,乳香,黄米,蜈蚣,雄黄,菖蒲
没药,红花,乳香,白芍,羌活,陈皮
樟脑,甘松,干羌,辣椒,独活,冰片
三七,没药,血竭,透骨草,乳香,红花
三七,没药,芍药,乳香,红花,陈皮
没药,乳香,红花,独活,桃仁,羌活
没药,乳香,丹皮,白芷,赤芍,地黄
三七,红花,甘草,寸冬,夏枯草,黄柏
芍药
银花,槐角,槐花,黄芩,甘草,生地
草乌,芍药,肉桂,白芷,军姜,天南星
血竭,乳香,自然铜,当归,土鳖虫
没药,乳香,归尾,桃仁,陈皮,苏木
草乌,红花,半夏,独活,桃仁,羌活
玄胡,金铃子
没药,银花,乳香,红花,地丁,蒲公英
威灵仙,红花,生姜,白芍,桂枝,麻黄
没药,乳香,白芍,栀子,贯众,甘草
没药,乳香,轻粉,白占,黄占,猪油
三七,没药,乳香,陈皮,苏木末,落得打
没药,乳香,麻黄,马钱子
透骨草,铁屑,防风,当归,川芎
老鹳草
没药,血竭,红花,朴消,羌活,丹皮
草乌,独活,天麻,羌活,川乌,何首乌
乳香,白芍,杜仲,木瓜,茴香,续断
没药,乳香,冰片,轻粉
元胡,甘松,白芨,鹿角胶,白芍,黄芪
红花,蒲黄,白芷,当归,闹羊花
乳香,白黄蜡,珠子沥青
草乌,威灵仙,乳香,川楝,牵牛子,五灵脂
草乌,萆薢,威灵仙,乳香,川楝,牵牛子
没药,乳香,川乌,丁香,苍术,川芎
元胡,陈皮,蔻仁,片姜黄,生白芍,川楝
没药,血竭,乳香,地龙,自然铜,无名异
破故纸,延胡索,杜仲,牛膝,当归
没药,芍药,乳香,金银花,陈皮,防风
没药,乳香,独活,羌活,桂枝,防风
血竭,轻粉,密陀僧,干胭脂
红花,桃仁,生姜,甘草,杜仲,乌药
白芥子,郁李仁,白芍,甘草,白芷,柴胡
元参,金银花,甘草,当归
樟脑,颠茄流浸膏,芸香浸膏,伤湿止痛流浸膏,水杨酸甲酯,冰片
元胡,紫草,大青叶,紫参,细木通,茯苓皮
恶实根,松节,乌蛇,晚蚕沙,虎骨,酒
萆薢,独活,天麻,羌活,杜仲,地黄
没药,银花,乳香,归尾,牛蒡,花粉
玄胡索,破故纸,牛膝,当归
玄胡索,朴消
玄胡索,白芍,熟地,当归,川芎
没药,乳香,犀黄,黄米饭,麝香
银花,桃仁,薏仁,乳没4,红藤,败酱草
藁本,荷叶,白茅根,桑叶,苦丁茶,黄芩
三七,北沙参,麦冬,赤芍
三七,没药,乳香,骨碎补,川断,地鳖虫
