没药,乳香,白粟米,白莴苣子,乌梅
片松香,蓖麻仁,铜绿,杏仁
踯躅花,鹅不食草,羌活,蔓荆子,白芷,黄连
草乌,威灵仙,紫荆皮,藁本,红花,半夏
芙蓉叶,赤小豆,五倍子,赤芍,贝母,白芷
三七,威灵仙,玄胡,五灵脂,红花,蒲黄
破故纸,乳香,五灵脂,羌活,陈皮,白术
石韦,关木通,海金沙,白芍,地黄,栀子
破故纸,没药,五灵脂,乳香,羌活,陈皮
草乌,萆薢,红花,川乌,白芷,当归
三七,没药,乳香,骨碎补,炙马钱子,鸡血藤
草乌,萆薢,红花,川乌,白芷,当归
草乌,樟脑,没药,乳香,木瓜,独活
威灵仙,白僵蚕,地龙,漏芦,白芷,桂心
三七,樟脑,红花,颠茄流浸膏,水杨酸甲酯,冰片
没药,乳香,蜈蚣,黄米,雄黄,菖蒲
没药,红花,乳香,白芍,羌活,苏木
樟脑,甘松,干羌,辣椒,独活,冰片
三七,没药,血竭,透骨草,红花,乳香
三七,没药,芍药,红花,乳香,紫荆藤
没药,红花,乳香,独活,桃仁,羌活
没药,乳香,赤芍,丹皮,白芷,地黄
三七,红花,夏枯草,赤芍,黄柏,寸冬
芍药
银花,槐花,槐角,滑石,黄柏,黄芩
草乌,芍药,军姜,白芷,天南星,肉桂
血竭,乳香,自然铜,当归,土鳖虫
没药,乳香,桃仁,归尾,苏木,赤芍
草乌,红花,桃仁,独活,半夏,羌活
玄胡,金铃子
银花,没药,红花,乳香,地丁,蒲公英
威灵仙,红花,生姜,白芍,穿山龙,桂枝
没药,乳香,白芍,栀子,贯众,柴胡
没药,乳香,轻粉,黄占,洋樟,白占
三七,没药,乳香,落得打,苏木末,陈皮
没药,乳香,麻黄,马钱子
铁屑,透骨草,防风,当归,川芎
老鹳草
血竭,没药,红花,朴消,羌活,赤芍
草乌,独活,羌活,天麻,川乌,石斛
乳香,白芍,木瓜,黑木耳,杜仲,牛膝
没药,乳香,冰片,轻粉
元胡,甘松,鹿角胶,白芨,白芍,黄芪
红花,闹羊花,蒲黄,白芷,当归
乳香,白黄蜡,珠子沥青
草乌,威灵仙,五灵脂,乳香,川楝,牵牛子
草乌,威灵仙,萆薢,五灵脂,乳香,川楝
没药,乳香,川乌,当归,川芎,丁香
元胡,片姜黄,生白芍,蔻仁,陈皮,川楝
血竭,没药,乳香,地龙,木鳖子,无名异
破故纸,延胡索,杜仲,牛膝,当归
没药,芍药,乳香,金银花,陈皮,贝母
没药,乳香,独活,羌活,木瓜,桂枝
血竭,轻粉,密陀僧,干胭脂
红花,生姜,桃仁,玄胡素,乌药,甘草
白芥子,郁李仁,白芍,白芷,柴胡,甘草
元参,金银花,甘草,当归
樟脑,颠茄流浸膏,芸香浸膏,伤湿止痛流浸膏,水杨酸甲酯,冰片
元胡,紫参,大青叶,茯苓皮,紫草,细木通
白花蛇,晚蚕沙,恶实根,酒,乌蛇,茄子根
萆薢,独活,羌活,天麻,地黄,杜仲
银花,没药,乳香,归尾,花粉,贝母
玄胡索,破故纸,牛膝,当归
玄胡索,朴消
玄胡索,白芍,熟地,当归,川芎
没药,乳香,黄米饭,犀黄,麝香
银花,乳没4,败酱草,红藤,薏仁,桃仁
苦丁茶,白茅根,藁本,桑叶,荷叶,夏枯草
三七,麦冬,北沙参,赤芍
三七,没药,乳香,骨碎补,地鳖虫,五加皮
