没药,乳香,白莴苣子,乌梅,白粟米
片松香,铜绿,蓖麻仁,杏仁
鹅不食草,踯躅花,羌活,薄荷,蔓荆子,青黛
草乌,威灵仙,紫荆皮,藁本,红花,半夏
芙蓉叶,赤小豆,五倍子,赤芍,甘草,贝母
三七,威灵仙,玄胡,蒲黄,红花,五灵脂
破故纸,乳香,丁公藤,猪牙皂,黄精,五灵脂
海金沙,关木通,石韦,白芍,栀子,地黄
破故纸,没药,乳香,丁公藤,猪牙皂,黄精
草乌,萆薢,红花,川乌,白芷,细辛
三七,没药,乳香,鸡血藤,炙马钱子,骨碎补
草乌,萆薢,红花,川乌,白芷,细辛
草乌,没药,樟脑,乳香,木瓜,羌活
威灵仙,白僵蚕,地龙,漏芦,白芷,桂心
三七,樟脑,红花,水杨酸甲酯,颠茄流浸膏,冰片
没药,乳香,蜈蚣,黄米,菖蒲,雄黄
没药,乳香,红花,川断,白芍,羌活
樟脑,甘松,辣椒,干羌,冰片,川乌
三七,没药,血竭,透骨草,乳香,红花
三七,没药,芍药,乳香,红花,落得打
没药,乳香,红花,川断,桃仁,羌活
没药,乳香,赤芍,丹皮,白芷,地黄
三七,红花,夏枯草,寸冬,赤芍,黄柏
芍药
银花,槐角,槐花,黄芩,柴胡,甘草
草乌,芍药,军姜,肉桂,白芷,天南星
血竭,乳香,自然铜,当归,土鳖虫
没药,乳香,桃仁,归尾,赤芍,陈皮
草乌,红花,半夏,桃仁,羌活,独活
玄胡,金铃子
银花,没药,乳香,红花,地丁,蒲公英
威灵仙,红花,生姜,白芍,桂枝,麻黄
没药,乳香,白芍,栀子,贯众,甘草
没药,乳香,白占,黄占,炉甘石,轻粉
三七,没药,乳香,落得打,陈皮,苏木末
没药,乳香,马钱子,麻黄
透骨草,铁屑,防风,当归,川芎
老鹳草
血竭,没药,红花,朴消,羌活,赤芍
草乌,羌活,天麻,独活,石斛,川乌
乳香,木瓜,白芍,杜仲,牛膝,茯苓
没药,乳香,冰片,轻粉
元胡,甘松,白芨,鹿角胶,白芍,黄芪
红花,闹羊花,蒲黄,白芷,当归
乳香,珠子沥青,白黄蜡
草乌,威灵仙,乳香,五灵脂,川楝,牵牛子
草乌,威灵仙,萆薢,乳香,五灵脂,川楝
没药,乳香,川乌,当归,丁香,川芎
元胡,蔻仁,生白芍,片姜黄,陈皮,川楝
血竭,没药,乳香,地龙,自然铜,木鳖子
破故纸,延胡索,杜仲,牛膝,当归
没药,芍药,乳香,花粉,金银花,陈皮
没药,乳香,木瓜,马钱子,羌活,独活
血竭,轻粉,密陀僧,干胭脂
红花,生姜,桃仁,玄胡素,杜仲,柴胡
郁李仁,白芥子,白芍,柴胡,白芷,甘草
元参,金银花,甘草,当归
樟脑,水杨酸甲酯,芸香浸膏,伤湿止痛流浸膏,颠茄流浸膏,冰片
元胡,紫草,细木通,大青叶,紫参,茯苓皮
酒,虎骨,败龟,乌蛇,茄子根,大麻仁
萆薢,羌活,天麻,独活,地黄,杜仲
银花,没药,乳香,花粉,归尾,牛蒡
玄胡索,破故纸,牛膝,当归
玄胡索,朴消
玄胡索,白芍,熟地,当归,川芎
没药,乳香,犀黄,黄米饭,麝香
银花,乳没4,桃仁,薏仁,败酱草,红藤
藁本,苦丁茶,荷叶,桑叶,白茅根,黄芩
三七,北沙参,麦冬,赤芍
三七,没药,乳香,川断,骨碎补,苏木末
