没药,乳香,乌梅,白粟米,白莴苣子
蓖麻仁,铜绿,片松香,杏仁
踯躅花,鹅不食草,羌活,石膏,蔓荆子,青黛,白芷
草乌,威灵仙,紫荆皮,藁本,半夏,杏仁,藿香
芙蓉叶,赤小豆,五倍子,贝母,白芷,大黄,甘草
三七,威灵仙,玄胡,五灵脂,蒲黄,陈皮,红花
破故纸,乳香,五灵脂,陈皮,麻黄,羌活,白术
石韦,关木通,海金沙,白芍,滑石,地黄,甘草
破故纸,没药,乳香,五灵脂,陈皮,杏仁,白术
草乌,萆薢,红花,当归,白芷,细辛,川乌
三七,没药,乳香,骨碎补,肉苁蓉,地黄,炙马钱子
草乌,萆薢,红花,当归,白芷,细辛,川乌
草乌,乳香,樟脑,没药,木瓜,冰片,蛇床子
威灵仙,地龙,白僵蚕,桂心,白芷,芎藭,当归
三七,樟脑,水杨酸甲酯,颠茄流浸膏,红花,冰片,土鳖虫
没药,乳香,菖蒲,雄黄,黄米,蜈蚣
没药,乳香,川断,红花,白芍,陈皮,羌活
樟脑,甘松,冰片,独活,辣椒,干羌,丁香
三七,没药,乳香,血竭,透骨草,红花,归尾
三七,没药,乳香,落得打,芍药,苏木末,红花
没药,乳香,川断,红花,独活,桃仁,陈皮
没药,乳香,白芷,地黄,丹皮,川芎,甘草
三七,红花,生地,赤芍,知母,白蒺藜,甘草
银花,槐花,槐角,滑石,生地,柴胡,黄芩
草乌,芍药,肉桂,天南星,白芷,军姜
血竭,乳香,自然铜,土鳖虫,当归
没药,乳香,归尾,桃仁,陈皮,续断,川芎
草乌,红花,独活,半夏,桃仁,山甲,大黄
玄胡,金铃子
银花,乳香,没药,地丁,红花,蒲公英,甘草
威灵仙,生姜,红花,白芍,麻黄,甘草,枣仁
没药,乳香,白芍,柴胡,栀子,甘草,苍术
没药,乳香,轻粉,白占,黄占,猪油,炉甘石
三七,没药,乳香,落得打,苏木末,陈皮,刘寄奴
没药,乳香,马钱子,麻黄
透骨草,铁屑,防风,川芎,当归
老鹳草
没药,血竭,红花,朴消,羌活,车前,大黄
草乌,天麻,独活,羌活,何首乌,防风,石斛
乳香,木瓜,龟甲,白芍,茯苓,茯苓,黑木耳
没药,乳香,冰片,轻粉
元胡,甘松,白芍,白芨,鹿角胶,甘草,黄芪
蒲黄,红花,闹羊花,白芷,当归
乳香,珠子沥青,白黄蜡
草乌,乳香,威灵仙,五灵脂,陈皮,防风,茴香
草乌,乳香,威灵仙,萆薢,五灵脂,陈皮,防风
没药,乳香,川乌,川芎,苍术,当归,丁香
元胡,生白芍,陈皮,蔻仁,茯苓,片姜黄,砂仁
没药,血竭,乳香,自然铜,地龙,无名异,木鳖子
破故纸,延胡索,杜仲,当归,牛膝
没药,乳香,芍药,花粉,陈皮,金银花,归梢
没药,乳香,自然铜,木瓜,独活,马钱子,羌活
血竭,轻粉,密陀僧,干胭脂
生姜,红花,桃仁,玄胡素,杜仲,甘草,乌药
郁李仁,白芥子,白芍,柴胡,甘草,白芷,川芎
元参,金银花,甘草,当归
樟脑,颠茄流浸膏,水杨酸甲酯,伤湿止痛流浸膏,芸香浸膏,冰片,薄荷
元胡,茯苓皮,紫参,紫草,地丁,大青叶,细木通
酒,茄子根,晚蚕沙,恶实根,大麻仁,松节,白花蛇
萆薢,天麻,独活,羌活,地黄,杜仲,当归
银花,乳香,没药,花粉,归尾,贝母,防风
玄胡索,破故纸,当归,牛膝
玄胡索,朴消
玄胡索,白芍,熟地,川芎,当归
没药,乳香,黄米饭,麝香,犀黄
银花,乳没4,薏仁,红藤,败酱草,桃仁,延胡索
藁本,桑叶,荷叶,白茅根,苦丁茶,黄芩,菊花
三七,麦冬,北沙参,赤芍
三七,没药,乳香,落得打,苏木末,川断,刘寄奴
