没药,乳香,白粟米,白莴苣子,乌梅
片松香,蓖麻仁,铜绿,杏仁
踯躅花,鹅不食草,羌活,蔓荆子,白芷,黄连,防风,荆芥
草乌,威灵仙,紫荆皮,藁本,红花,半夏,紫丁皮,僵蚕
芙蓉叶,赤小豆,五倍子,赤芍,贝母,白芷,黄柏,大黄
三七,威灵仙,玄胡,五灵脂,红花,蒲黄,郁金,白及
破故纸,乳香,五灵脂,羌活,陈皮,白术,桂枝,菟丝子
石韦,关木通,海金沙,白芍,地黄,栀子,滑石,黄连
破故纸,没药,五灵脂,乳香,羌活,陈皮,桂枝,白术
草乌,萆薢,红花,川乌,白芷,当归,细辛
三七,没药,乳香,骨碎补,炙马钱子,鸡血藤,地黄,川芎
草乌,萆薢,红花,川乌,白芷,当归,细辛
草乌,樟脑,没药,乳香,木瓜,独活,冰片,羌活
威灵仙,白僵蚕,地龙,漏芦,白芷,桂心,芎藭,当归
三七,樟脑,红花,颠茄流浸膏,水杨酸甲酯,冰片,硫酸软骨素,盐酸苯海拉明
没药,乳香,蜈蚣,黄米,雄黄,菖蒲
没药,红花,乳香,白芍,羌活,苏木,陈皮,枳实
樟脑,甘松,干羌,辣椒,独活,冰片,川乌,丁香
三七,没药,血竭,透骨草,红花,乳香,骨碎补,归尾
三七,没药,芍药,红花,乳香,紫荆藤,地鳖虫,陈皮
没药,红花,乳香,独活,桃仁,羌活,苏木,乌药
没药,乳香,赤芍,丹皮,白芷,地黄,当归,甘草
三七,红花,夏枯草,赤芍,黄柏,寸冬,黄连,生地
芍药
银花,槐花,槐角,滑石,黄柏,黄芩,生地,柴胡
草乌,芍药,军姜,白芷,天南星,肉桂
血竭,乳香,自然铜,当归,土鳖虫
没药,乳香,桃仁,归尾,苏木,赤芍,乌药,陈皮
草乌,红花,桃仁,独活,半夏,羌活,川乌,松香
玄胡,金铃子
银花,没药,红花,乳香,地丁,蒲公英,甘草,丹参
威灵仙,红花,生姜,白芍,穿山龙,桂枝,麻黄,甘草
没药,乳香,白芍,栀子,贯众,柴胡,甘草,苍术
没药,乳香,轻粉,黄占,洋樟,白占,猪油,炉甘石
三七,没药,乳香,落得打,苏木末,陈皮,刘寄奴,萹蓄
没药,乳香,麻黄,马钱子
铁屑,透骨草,防风,当归,川芎
老鹳草
血竭,没药,红花,朴消,羌活,赤芍,丹皮,车前
草乌,独活,羌活,天麻,川乌,石斛,何首乌,白芷
乳香,白芍,木瓜,黑木耳,杜仲,牛膝,龟甲,茯苓
没药,乳香,冰片,轻粉
元胡,甘松,鹿角胶,白芨,白芍,黄芪,螵蛸,甘草
红花,闹羊花,蒲黄,白芷,当归
乳香,白黄蜡,珠子沥青
草乌,威灵仙,五灵脂,乳香,川楝,牵牛子,乌药,陈皮
草乌,威灵仙,萆薢,五灵脂,乳香,川楝,牵牛子,乌药
没药,乳香,川乌,当归,川芎,丁香,苍术
元胡,片姜黄,生白芍,蔻仁,陈皮,川楝,茯苓,砂仁
血竭,没药,乳香,地龙,木鳖子,无名异,自然铜
破故纸,延胡索,杜仲,牛膝,当归
没药,芍药,乳香,金银花,陈皮,贝母,花粉,角刺
没药,乳香,独活,羌活,木瓜,桂枝,杜仲,千年健
血竭,轻粉,密陀僧,干胭脂
红花,生姜,桃仁,玄胡素,乌药,甘草,柴胡,杜仲
白芥子,郁李仁,白芍,白芷,柴胡,甘草,川芎,香附
元参,金银花,甘草,当归
樟脑,颠茄流浸膏,芸香浸膏,伤湿止痛流浸膏,水杨酸甲酯,冰片,薄荷
元胡,紫参,大青叶,茯苓皮,紫草,细木通,地丁,甘草
白花蛇,晚蚕沙,恶实根,酒,乌蛇,茄子根,大麻仁,虎骨
萆薢,独活,羌活,天麻,地黄,杜仲,牛膝,当归
银花,没药,乳香,归尾,花粉,贝母,牛蒡,白芷
玄胡索,破故纸,牛膝,当归
玄胡索,朴消
玄胡索,白芍,熟地,当归,川芎
没药,乳香,黄米饭,犀黄,麝香
银花,乳没4,败酱草,红藤,薏仁,桃仁,川楝,延胡索
苦丁茶,白茅根,藁本,桑叶,荷叶,夏枯草,黄芩,连翘
三七,麦冬,北沙参,赤芍
三七,没药,乳香,骨碎补,地鳖虫,五加皮,落得打,苏木末
