山药,胡椒末,糯米,白糖
山药,白术,薏仁,芡实,肉豆蔻
白术,茯苓皮,砂仁未,天仙藤,冬葵子
白术,地黄,陈皮,杜仲,条芩
神曲,缩砂,陈皮,麦曲,香附
白术,茯苓,干葛,甘草
苍术,厚朴,陈皮,藿香,半夏
砂仁,肉豆蔻,全蝎,术香,枳壳
扁豆,知母,芡实,枸杞,茯苓
巴戟,蚕蛾,韭子,鸽子蛋,鹿茄茸
山药,巴戟,牛膝,木香,枸杞
葱,赤小豆,活鲤鱼1尾,辣椒,鸡汤
白术,黄芩,地黄,芍药,去皮
赤小豆
白术,草豆蔻,陈皮,柴胡,人参
缩砂仁,草果仁,茯苓,桔梗,生姜
苍术,白芷,芍药,陈皮,茯苓
苍术,地榆
苍术,芍药,厚朴,茴香,云苓
苍术,茯芩
苍术,茯苓
苍术
精羊肉,粳米2茎,生姜,肉苁蓉
精羊肉,肉苁蓉
白术,党参,诃子,肉豆蔻,米壳
山药,扁豆,党参,苍术,诃子
白术,肉豆蔻,陈皮,茯苓,生姜
使君子
山药,神曲,苍术,砂仁,良姜
仙灵脾,韭子,葫芦巴,麝香,蛇床子
白术,黄芩,泽泻,茯苓,柴胡
白术,山楂,白豆蔻,陈皮,茯苓
薏仁,山楂,淡竹叶,九肋鳖甲,知母
白术,大黄,木香,鳖甲,黑附子
陈曲,大麦芽,茯苓,桂心,钟乳
斑猫,肉豆蔻,延胡素,川苦楝子,荆三棱
山药,白术,黄芪,牛膝,黄柏
山药,白术,木香,陈皮,莲肉
白术,茯苓,女贞子,鹿角霜,菟丝子
党参,陈皮,川断,菟丝子,杜仲
白术,党参,砂仁,枸杞,杜仲
白术,枸杞,陈皮,茯苓,生地
白术,枸杞,陈皮,茯苓,生地
山药,白术,苍术,巴戟,牛膝
大黑豆,青盐,茯苓,何首乌,甘草
山药,白术,神曲,党参,砂仁
白术,党参,苍术,黄芪,桔梗
白术,苍术,厚朴,陈皮,木瓜
山药,神曲,苍术,麦芽,芡实
小白菜,苡米
山药,白术,薏仁,牛膝,芡实
干柿不拘多少
上好片术
白术,绵白糖
白术,槟榔,生姜
白术,荆芥,茯苓,橘络,甘草
白术,茯苓,人参,甘草
白术,芎藭,牡蛎,川椒
白术,木香,茯苓,葛根,藿香
白术,陈皮,茯苓,生姜,大腹皮
白术,厚朴,人参,干姜
扁豆,粳米
扁豆,粳米,人参
白术,砂仁,苍术,归尾,白豆蔻
苍术,厚朴,茯苓,广皮,半夏
草豆蔻,红豆蔻,陈皮,陈皮,黑附子
白术,防风,桂心,陈皮,茯苓
白术,天麻,半夏
白术,茯苓,贝母,白附子,白矾
山药,扁豆,薏仁,芡实,茯苓
山药,扁豆,党参,芡实,茯苓
山药,扁豆,砂仁,使君子,芡实
山药,扁豆,粳米,茯苓,南芡实
山药,扁豆,薏仁,芡实,大米
扁豆,山药,白术,麦芽,薏仁
玫瑰花,韭子,菟丝子,杜仲,胡桃仁
白术,神曲,苍术,黄芩,山楂
7钱半,肉豆蔻,1两半,1两半,川白姜
椒子,白盐,削术,甘草
红糖,肉豆蔻,面粉,生姜
白术,草豆蔻,木香,陈皮,白豆蔻
白术,大豆,厚朴,木香,茯苓
白术,神曲,砂仁,诃子,薏仁
蜂王浆
橘子,盐,生姜,甘草
山药,芡实,麦冬,人参,五味子
白术,芍药,泽泻,川芎,茯苓
白术,芍药,泽泻,茯苓,芎
白术,黄芩,芍药,芎藭,当归
白术,陈皮,木香,茯苓,桑白皮
苍术,厚朴,陈皮,甘草
苍术,厚朴,陈皮,桑白皮,甘草
苍术,厚朴,陈皮,甘草
羊肉1脚子,良姜,草果
白术,芍药,川芎,陈皮,木通
白术,地黄,地黄,芍药,紫菀
白术,谷芽,山楂,豆蔻,陈皮
白术,神曲,诃子,肉豆蔻,胡椒
扁豆,山药,白术,神曲,缩砂仁
白术,谷芽,山楂,白豆蔻,陈皮
白术,谷芽,山楂,陈皮,木香
扁豆,丹皮,冬瓜皮,干姜皮,槿皮
扁豆,丹皮,冬瓜皮,白藓皮,茯苓
白术,黄芪,赤小豆,防风,何首乌
粳米,薏仁,冬麻子
党参,桂圆肉,升麻,生地,紫河车
白术,麦门冬
党参,绵黄耆,于潜术,桂园肉
白术,栀子,茯苓,丹皮,柴胡
山药,白术,党参,黄芪,薏仁
白术,苍术,薏仁,茯苓皮,牛膝
白术,神曲,苍术,厚朴,广皮
酒白芍,元参,旱莲草,熟地,麦门冬
飞廉草,凤尾草,匾蓄,茯苓,菟丝子
白术,党参,黑附子,干姜,甘草
柿饼,栗子,胡桃,枣仁
白术,苍术,防风,麻黄
白术,防己,黄耆,甘草
米粉,白糖等份,茯苓细粉
粳米,白糖,茯苓粉,车前子
粳米,茯苓粉,枣仁
粳米,茯苓
鸡肝,茯苓
白术,茯苓
白术,茯苓,桂枝,甘草
白术,茯苓,戎盐
粳米,白糖,茯苓粉,枣仁
扁豆,白术,砂仁,苍术,黄芩
苍术,地肤子,佩兰,陈皮,茯苓
山药,白术,麦芽,黄精,茯苓
扁豆,山药,白术,党参,麦芽
神曲,鸡内金,大黄,苦楝根皮,花椒
扁豆,山药,白术,粳米,党参
神曲,使君子,肉豆蔻,麦蘖,黄连
白术,神曲,麦芽,使君子,山植肉
扁豆,白术,神曲,麦芽,山楂
白术,神曲,麦芽,山楂,肉豆蔻
山药,扁豆,神曲,山楂,芡实
白术,芜荑,炒麦芽,木香,炒白芍
神曲,肉豆蔻,使君子仁,木香,黄连
白术,神曲,山楂,厚朴,连翘
山药,白术,神曲,使君子,缩砂仁
白术,生黄耆,山萸,生白芍,枸杞
白术,黄芩,莱菔,陈皮,茯苓
苍术,厚朴,陈皮,缩砂,竹茹
草豆蔻,晋州绛矾,丁皮,生姜,半夏
白术,草豆蔻,芍药,益智仁,陈皮
冬青,巴戟,山萸,蛇床子,巨胜子
白术,党参,砂仁,茯苓,归身
白术,党参,砂仁,苍术,使君子
蓍草,七叶一枝花,木香,高良姜,肉桂
党参,麦芽,陈皮,胎盘粉,黄耆
黄芪,红参,扶芳藤
扁豆,山药,白术,苍术,薏仁
扁豆,山药,白术,苍术,薏仁
党参,太子参,泽泻,茯苓,猪苓
佛手柑
白术,谷芽,白蔻,厚朴,木香
神曲,砂仁,山楂,莲肉,鸡肫皮
神曲,麦芽,缩砂,陈皮,香附
白术,神曲,砂仁,干生姜,白豆蔻
白术,神曲,缩砂仁,干生姜,白豆蔻
山药,防风,细辛,茯苓,柴胡
苍术,茵陈,焦三仙,佩兰,厚朴
真芦荟,芜荑,陈皮,厚朴,百草霜
白术,草豆蔻,砂仁,诃子,厚朴
白术,党参,泽泻,黑附子,茯苓
白术,黑附子,炒干姜,肉桂,人参
白术,党参,附片,肉桂,干姜
苍术,肉豆蔻,阿魏,厚朴,陈皮
白术,干生姜,泽泻,茯苓,拣桂
白术,缩砂仁,肉豆蔻,荜茇,陈皮
白术,苍术,黄芪,陈皮,柴胡
白术,党参,黄芪,木香,龙眼肉
白术,茯神,木香,龙眼肉,枣仁
白术,木香,茯苓,龙眼肉,枣仁
白术,党参,黄芪,木香,茯苓
山药,白术,芡实,茯神,熟地
白术,神曲,山楂,厚朴,连翘
白术,白芷,何首乌,岗稔根,菟丝子
白术,茯苓,归身,柴胡,白芍
红糖,大蒜,黑豆
马料豆,白蒺藜
苍术,地黄,夏,春,川姜冬
炒白芥子,黑丑,茯苓,陈皮,木香
芫荽,黄豆
黄芪,赤小豆,薏仁,金橘饼,糯米
黄芪,冬瓜皮,白糖,生姜皮,茯苓皮
赤小豆,昆布,黄耆
白术,黄芩,地黄,黑附子,灶中黄土
白术,黄芩,地黄,黑附子,灶中黄土
马钱子,黑附子,穿山甲
麦芽,陈皮,木香,厚朴,藿香
薏仁,白蔻,茯苓,厚朴,藿香
冬瓜皮,葫芦壳,西瓜皮,枣仁
粳米,新鲜胡萝卜
胡萝卜,玉米渣
扁豆,山药,白术,芍药,陈皮
粳米,白糖,新鲜红薯
山药,砂仁,益智仁,木香,花粉
神曲,黄芩,海粉,青黛
山药,黄芪,茯苓皮,泽泻,丹参
白术,神曲,山楂,陈皮,茯苓
槐角米,白于术
猪胆粉,绿豆,板蓝根,茵陈,柴胡
白术,黄芩,防风,地黄,地黄
神曲,片姜黄,全瓜蒌,郁金,甘草
白术,芍药,草果仁,陈皮,砂糖
干生姜,木瓜,陈皮,人参,甘草
扁豆,神曲,神曲,砂仁,山楂
神曲,萝卜子,陈皮,皂角,麦蘖
神曲,麦芽,厚朴,陈皮,香附
白术,神曲,鸡内金,炒麦芽,连翘
鸡内金
粳米,鲜韭菜,食盐
山药,白术,麝香,山楂,木香
白术,神曲,麦芽,苍术,山楂
砂仁,莲肉,陈皮,白豆蔻,香附
白术,神曲,肉豆蔻,陈皮,木香
白术,砂仁,栀子,茯苓,白芍
白术,薏仁,柞木枝,金银花,茯苓
山药,白术,苍术,匾蓄,黄柏
白术,泽泻,茯苓
山楂,菊花
白术,黄芩,栀子,川芎,黄连
白术,黄芩,陈皮,茯苓,白姜蚕
山药,白术,神曲,党参,麦芽
白术,陈皮,茯苓,知母,地骨皮
山药,白术,薏仁,芡实,茯苓
草豆蔻,诃子,石榴子,五灵脂膏,肉豆蔻
草豆蔻,诃子,石榴子,五灵脂膏,肉豆蔻
巴戟,盐花,丹参,黑附子,硇砂
神曲,诃子,缩砂仁,肉豆蔻,大麦糵
汉椒,青盐,厚朴,茴香
扁豆,苍术,防风,佛手,茯苓
白术,神曲,肉豆蔻,厚朴,小麦蘖
牛奶,韭菜,生姜
神曲,食糖,生姜
白术,神曲,薏仁,缩砂仁,白豆蔻
白术,芍药,饴糖10毫升,官桂,枣仁
白术,木香,茯苓,柴胡,枳壳
白术,芍药,山栀,茯苓,丹皮
白术,茯苓,桅子,丹皮,柴胡
山药,白术,党参,砂仁,黄芪
山药,白术,党参,生黄耆,砂仁
白术,生鸡内金,山栀,茯神,白豆蔻
白术,苍术,黄芩,泽泻,茯苓
白术,苍术,黄芩,泽泻,茯苓
白术,党参,干姜炭,茯苓,三七
白术,白藓皮,黄芩,防风,秦艽
白术,黄芩,防风,秦艽,丹皮
山药,川芎,当归,干姜,甘草
山药,白术,生黄耆,麻黄,木香
芡实,莲须,萆,益智仁,菟丝子
白术,缩砂仁,陈皮,青皮,人参
白术,辣桂,陈皮,木香,茯苓
白术,神曲,麦芽,山楂,茵陈
白术,神曲,麦芽,山楂,陈皮
白术,神曲,苍术,草蔻,泽泻
建莲肉,蜜半杯,大梨,枇杷叶50,枣仁
白术,肉豆蔻,木香,黑附子,甘草
白术,川芎,升麻,生地
白术,黄芪,山栀,木香,茯苓
白术,砂仁,谷芽,山楂,陈皮
白术,党参,茯苓,蕲艾,乌鲗骨
神曲,麦芽,生料平胃散
白术,香薷,泽泻,茯苓,人参减半
黄芪,白果,地肤子,肉桂,熟地
山药,扁豆,薏仁,地黄,茯苓
白术,党参,牛膝,茯苓,莪术
白术,黄柏,川芎,陈皮,泽兰叶
白术,党参,益智仁,莲须,金樱子
白术,神曲,山楂,芍药,陈皮
白术,苍术,山楂,川芎
白术,党参,陈皮,蔓荆子,黄耆
白术,苍术,黄柏,厚朴,泽泻
白术,厚朴,黑附子,茯苓,干姜
白术,罂粟壳,龙骨,豆蔻,五倍子
白术,黄芩,秦艽,木通,茯苓
白术,砂仁,黄芩,陈皮,木香
白术,薏仁,茯神,泽泻,川芎
苍术,地黄,芍药,陈皮,茯苓
苍术,地黄,芍药,陈皮,茯苓
扁豆,党参,砂仁,于术,薏仁
山药,党参,砂仁,于术,丹皮
苍术,厚朴,陈皮,茯苓,人参
山药,白术,党参,苍术,白芷
白术,砂仁,黄芩,地黄,白芷
扁豆,白术,砂仁,泡参,淮药
白术,神曲,麦芽,山楂,厚朴
白术,党参,川芎,制附块,茯苓
山药,白术,地黄,川芎,茯苓
白术,川芎,木香,茯苓,枣仁
党参,苍术,草豆蔻,于术,三仙
诃子,肉豆蔻,良姜,益智仁,厚朴
扁豆,山药,白术,芡实,黄柏
白术,黄芩,茯苓皮,山栀,茵陈
扁豆,山药,白术,芡实,萆薢
扁豆,山药,白术,芡实,黄柏
山药,扁豆,神曲,党参,薏仁
白术,山楂,芍药,陈皮,贝母
白术,党参,厚朴,茯苓,香附
山药,白术,神曲,党参,麦芽
山药,神曲,麦芽,谷芽,薏仁
扁豆,山药,白术,神曲,麦芽
苍术,防风,陈皮,枣仁,茯苓
白术,党参,谷芽,鸡内金,茯苓
白术,生黄耆,生姜皮,茯苓皮,防己
白术,党参,陈皮,茯苓,丹参
白术,党参,陈皮,茯苓,瓦楞子
白术,芡实,建莲,南豆,饭党
神曲,麦芽,苍术,山楂,厚朴
白术,川芎,陈皮,黑姜,人参
白术,黄芩,陈皮,鳖甲,茯苓
白术,神曲,苍术,黄芩,山楂
山药,白术,党参,薏仁,鸡内金
扁豆,山药,白术,党参,肉豆蔻
白术,党参,麦芽,山楂,陈皮
山药,白术,神曲,麦芽,砂仁
白术,麦芽,山楂,陈皮,枳实
白术,神曲,山楂,芍药,陈皮
白术,神曲,山楂,炒麦芽,陈皮
山药,白术,神曲,麦芽,建莲肉
山药,白术,砂仁,薏仁,山楂
扁豆,山药,白术,苍术,芡实
白术,神曲,白豆蔻,陈皮,楂肉
山药,扁豆,白糖,薏仁,大麦芽
白术,党参,木香,厚朴,椿皮
蒸饼
神曲,砂仁,苍术,黄芩,莱菔
白术,神曲,砂仁,山楂,草果仁
白术,山楂,白豆蔻,茯苓,柴胡
山药,扁豆,麦芽,砂仁,山楂
白术,厚朴,陈皮,枳实
白术,神曲,草豆蔻,干生姜,陈皮
白术,草豆蔻,苍术,薏仁,山楂
粳米,龙眼肉,枣仁
白术,龙骨,茯苓,附片,生姜
山药,白术,党参,黄芪,龙骨
粳米,香子,鹿头肉,蔓荆子,高良姜
粳米,冰糖,落花生
扁豆,山药,白术,神曲,薏仁
粳米,嫩莲实
山药,扁豆,神曲,麦芽,肉豆蔻
苍术,山楂,肉豆蔻,草果仁,益智仁
或加肉桂,熟地,当归,干姜,甘草
山药,白术,神曲,砂仁,山楂
山药,白术,神曲,山楂,木香
白术,茯苓,苏子,人参,半夏
白术,人参,干姜,甘草
白术,茯苓,人参,半夏,干姜
白术,人参,干姜,甘草
神曲,麦芽,山楂,大黄,厚朴
仙灵脾,黄酒,黑豆皮,陈皮,生姜
柿饼,栗子肉
白术,黄芪,白芨,木香,三七
片子姜黄,肉豆蔻,荜澄茄,木香,百草霜
片子姜黄,肉豆蔻,荜澄茄,木香,百草霜
诃子,碱花,山柰,大黄,木香
诃子,碱花,山柰,大黄,木香
白术,陈皮,茯苓,人参,半夏
白术,党参,陈皮,茯苓,炙草
白术,陈皮,茯苓,人参,半夏
香茹,檀香,木瓜,茯苓,厚朴
白术,陈皮,茯苓,小麦,人参
白术,麦芽,白糖,陈皮,神曲60克米粉
山药,白术,芡实,茯苓,金楔子
白术,茯苓,麻黄根,牡蛎,黄耆
白术,芜荑,肉豆蔻,厚朴,木香
