山药,糯米,胡椒末,白糖
山药,白术,人参,肉豆蔻,半夏
白术,人参,茯苓皮,天仙藤,紫苏
白术,地黄,当归,续断,杜仲
神曲,人参,枳壳,三棱,陈皮
白术,甘草,茯苓,干葛
苍术,厚朴,甘草,半夏,陈皮
砂仁,肉豆蔻,全蝎,半夏,枳壳
扁豆,牛膝,青盐,黑脂麻,知母
巴戟,韭子,葱子,当归,哺退鸡蛋
山药,牛膝,巴戟,菖蒲,山萸
葱,赤小豆,草果,活鲤鱼1尾,辣椒
白术,黄芩,地黄,芍药,去皮
赤小豆
白术,草豆蔻,柴胡,人参,甘草
苍术,白芷,芍药,川芎,升麻
苍术,地榆
苍术,芍药,厚朴,茴香,云苓
苍术,茯芩
苍术,茯苓
苍术
精羊肉,粳米2茎,肉苁蓉,生姜
精羊肉,肉苁蓉
白术,党参,诃子,甘草,肉豆蔻
扁豆,山药,党参,甘草,苍术
白术,肉豆蔻,人参,黄耆,甘草
使君子
山药,神曲,苍术,人参,砂仁
仙灵脾,韭子,麝香,葫芦巴,蛇床子
白术,黄芩,茯苓,泽泻,猪苓
白术,山楂,人参,甘草,茯苓
薏仁,山楂,九肋鳖甲,淡竹叶,柴胡
白术,大黄,桂,黑附子,诃黎勒
大麦芽,陈曲,桂心,钟乳,黄连
肉豆蔻,延胡素,斑猫,川苦楝子,黑附子
山药,白术,黄芪,川芎,当归
山药,白术,人参,甘草,干姜
白术,当归,续断,茯苓,菟丝子
党参,甘草,阿胶,杜仲,陈皮
白术,党参,当归,砂仁,续断
白术,人参,麦门冬,生地,枸杞
白术,人参,麦门冬,生地,枸杞
山药,白术,黑附子,苍术,肉豆蔻
大黑豆,青盐,甘草,何首乌,茯苓
山药,白术,神曲,党参,甘草
白术,党参,当归,苍术,黄芪
白术,苍术,人参,木通,厚朴
山药,神曲,麦芽,甘草,苍术
小白菜,苡米
山药,白术,牛膝,花粉,芡实
干柿不拘多少
上好片术
白术,绵白糖
白术,槟榔,生姜
白术,荆芥,茯苓,甘草,橘络
白术,人参,甘草,茯苓
白术,芎藭,牡蛎,川椒
白术,人参,甘草,茯苓,葛根
白术,茯苓,陈皮,生姜,大腹皮
白术,人参,厚朴,干姜
扁豆,粳米
扁豆,粳米,人参
白术,川芎,苍术,砂仁,人参
苍术,厚朴,甘草,半夏,茯苓
草豆蔻,红豆蔻,黑附子,枣仁,陈皮
白术,桂心,防风,宿姜,茯苓
白术,半夏,天麻
白术,白矾,人参,天南星,茯苓
扁豆,山药,人参,甘草,芡实
扁豆,山药,党参,米仁,芡实
扁豆,山药,砂仁,使君子,芡实
扁豆,山药,粳米,米仁,茯苓
扁豆,山药,百合,芡实,薏仁
扁豆,山药,麦芽,黄连,白术
玫瑰花,韭子,杜仲,破故纸,菟丝子
白术,神曲,黄芩,苍术,山楂
肉豆蔻,7钱半,1两半,1两半,厚朴
削术,椒子,白盐,甘草
红糖,肉豆蔻,面粉,生姜
白术,草豆蔻,人参,甘草,高良姜
白术,厚朴,茯苓,枳实,姜滓
白术,神曲,砂仁,诃子,炙草
蜂王浆
橘子,盐,甘草,生姜
山药,人参,芡实,麦冬,五味子
白术,川芎,芍药,当归,茯苓
白术,芎,芍药,当归,茯苓
白术,黄芩,芍药,当归,芎藭
白术,茯苓,陈皮,桑白皮,木香
苍术,甘草,厚朴,陈皮
苍术,厚朴,甘草,陈皮,桑白皮
苍术,甘草,厚朴,陈皮
羊肉1脚子,良姜,草果
白术,川芎,芍药,人参,茯苓
白术,地黄,地黄,芍药,当归
白术,当归,山楂,人参,谷芽
白术,神曲,黑附子,诃子,肉豆蔻
扁豆,神曲,山药,桂,白术
白术,黄连,山楂,谷芽,人参
白术,黄连,山楂,谷芽,人参
扁豆,冬瓜皮,地骨皮,桑白皮,丹皮
扁豆,冬瓜皮,地骨皮,桑白皮,白藓皮
白术,防风,黄芪,赤小豆,黑附子
粳米,薏仁,冬麻子
党参,当归,升麻,桂圆肉,黄耆
白术,麦门冬
党参,桂园肉,绵黄耆,于潜术
白术,当归,栀子,薄荷,柴胡
山药,白术,党参,黄芪,山楂
白术,苍术,牛膝,金银花,薏仁
白术,神曲,茱萸,苍术,厚朴
酒白芍,当归,旱莲草,人参,元参
飞廉草,凤尾草,匾蓄,茯苓,菟丝子
白术,党参,黑附子,甘草,干姜
柿饼,栗子,胡桃,枣仁
白术,防风,苍术,麻黄
白术,黄耆,甘草,防己
白糖等份,米粉,茯苓细粉
粳米,白糖,茯苓粉,车前子
粳米,枣仁,茯苓粉
粳米,茯苓
鸡肝,茯苓
白术,茯苓
白术,甘草,茯苓,桂枝
白术,茯苓,戎盐
粳米,白糖,枣仁,茯苓粉
扁豆,白术,黄芩,防风,肉豆蔻
苍术,地肤子,陈皮,白鲜皮,茯苓
山药,白术,麦芽,茱萸,黄精
扁豆,山药,党参,白术,麦芽
神曲,大黄,鸡内金,乌梅肉,花椒
扁豆,山药,党参,白术,粳米
神曲,黄连,肉豆蔻,使君子,麦蘖
白术,神曲,麦芽,黄连,黄连
扁豆,神曲,白术,黄连,麦芽
白术,神曲,黄连,麦芽,山楂
扁豆,神曲,山药,黄连,山楂
白术,石斛,槟榔,洋榧肉,芜荑
神曲,黄连,肉豆蔻,麦糵,使君子仁
白术,神曲,黄连,山楂,厚朴
山药,白术,神曲,人参,山楂
白术,当归,生黄耆,山萸,人参
白术,黄芩,黄连,茯苓,陈皮
苍术,菖蒲,厚朴,缩砂,陈皮
草豆蔻,晋州绛矾,丁皮,半夏,生姜
白术,芍药,草豆蔻,黑附子,陈皮
巴戟,冬青,山萸,蛇床子,巨胜子
白术,党参,薄荷,砂仁,地骨皮
白术,党参,黄芩,苍术,白芷
七叶一枝花,蓍草,高良姜,肉桂,枯矾
党参,麦芽,黄耆,陈皮,胎盘粉
黄芪,扶芳藤,红参
扁豆,山药,白术,赤芍,苍术
扁豆,山药,白术,苍术,陈皮
党参,泽泻,车前子,猪苓,太子参
佛手柑
白术,当归,白蔻,厚朴,谷芽
神曲,砂仁,山楂,莲肉,锅焦
神曲,麦芽,人参,枳壳,莪术
白术,神曲,人参,砂仁,干生姜
白术,神曲,人参,缩砂仁,干生姜
山药,防风,细辛,茯苓,杞子
苍术,厚朴,枳壳,陈皮,茵陈
真芦荟,芜荑,厚朴,甘草,陈皮
白术,砂仁,诃子,草豆蔻,甘草
白术,党参,当归,黑附子,茯苓
白术,黑附子,人参,甘草,炒干姜
白术,党参,甘草,干姜,附片
苍术,肉豆蔻,桂心,阿魏,厚朴
白术,干生姜,半夏,茯苓,拣桂
白术,肉豆蔻,人参,缩砂仁,甘草
白术,黄芪,当归,苍术,柴胡
白术,党参,当归,黄芪,甘草
白术,人参,黄耆,甘草,枣仁
白术,当归,人参,枣仁,茯苓
白术,党参,当归,黄芪,甘草
山药,白术,当归,芡实,人参
白术,神曲,黄连,山楂,厚朴
白术,白芷,何首乌,菟丝子,岗稔根
白术,柴胡,归身,甘草,茯苓
红糖,大蒜,黑豆
马料豆,白蒺藜
苍术,地黄,夏,川姜冬,春
炒白芥子,黑丑,甘草,半夏,陈皮
芫荽,黄豆
黄芪,薏仁,赤小豆,金橘饼,糯米
黄芪,冬瓜皮,生姜皮,白糖,茯苓皮
赤小豆,昆布,黄耆
白术,黄芩,地黄,灶中黄土,阿胶
白术,黄芩,地黄,灶中黄土,阿胶
马钱子,黑附子,穿山甲
麦芽,甘草,厚朴,半夏,陈皮
薏仁,白蔻,厚朴,半夏,茯苓
冬瓜皮,西瓜皮,葫芦壳,枣仁
粳米,新鲜胡萝卜
玉米渣,胡萝卜
扁豆,山药,芍药,白术,人参
粳米,白糖,新鲜红薯
山药,桔梗,砂仁,人参,黄耆
神曲,黄芩,青黛,海粉
山药,黄芪,泽兰,大腹皮,茯苓皮
白术,神曲,当归,山楂,柴胡
白于术,槐角米
板蓝根,猪胆粉,绿豆,柴胡,茵陈
白术,黄芩,防风,地黄,地黄
神曲,甘草,片姜黄,郁金,全瓜蒌
白术,芍药,茯苓,陈皮,草果仁
扁豆,黄连,神曲,神曲,山楂
神曲,白矾,天南星,萝卜子,半夏
神曲,麦芽,甘草,枳壳,厚朴
白术,神曲,桔梗,连翘,厚朴
粳米,鲜韭菜,食盐
山药,白术,麝香,山楂,朱砂
白术,神曲,防风,麦芽,苍术
砂仁,川芎,莲肉,陈皮,白豆蔻
白术,神曲,人参,肉豆蔻,半夏
白术,砂仁,当归,栀子,薄荷
白术,黄连,薏仁,柞木枝,茯苓
山药,白术,黄连,苍术,茯苓
白术,茯苓,泽泻
山楂,菊花
白术,黄芩,黄连,川芎,栀子
白术,黄芩,枣仁,茯苓,陈皮
山药,白术,神曲,党参,麦芽
白术,当归,薄荷,柴胡,茯苓
山药,白术,芡实,薏仁,茯苓
草豆蔻,诃子,肉豆蔻,石灰华,五灵脂膏
草豆蔻,诃子,肉豆蔻,石灰华,五灵脂膏
巴戟,盐花,黑附子,白蒺藜,丹参
神曲,黑附子,诃子,肉豆蔻,缩砂仁
汉椒,青盐,厚朴,茴香
扁豆,防风,苍术,厚朴,车前
白术,神曲,茱萸,肉豆蔻,人参
韭菜,牛奶,生姜
神曲,食糖,生姜
白术,神曲,人参,半夏,缩砂仁
白术,芍药,当归,人参,枣仁
白术,柴胡,人参,甘草,茯苓
白术,芍药,当归,柴胡,茯苓
白术,当归,薄荷,柴胡,茯苓
山药,白术,党参,当归,黄芪
山药,白术,党参,当归,砂仁
白术,人参,天南星,枣仁,茯神
白术,黄芩,苍术,茯苓,当归
白术,黄芩,苍术,茯苓,川归
白术,党参,甘草,半夏,牡蛎
白术,黄芩,防风,白藓皮,茯苓
白术,黄芩,防风,云苓,丹皮
山药,川芎,当归,甘草,干姜
山药,白术,当归,黑附子,茱萸
芡实,莲须,菖蒲,萆,益智仁
白术,缩砂仁,人参,甘草,陈皮
白术,甘草,半夏,辣桂,茯苓
白术,神曲,麦芽,连翘,山楂
白术,神曲,麦芽,山楂,半夏
白术,神曲,黄连,苍术,半夏
建莲肉,大梨,枇杷叶50,蜜半杯,枣仁
白术,肉豆蔻,黑附子,甘草,木香
白术,川芎,升麻,生地
白术,黄芪,当归,柴胡,人参
白术,砂仁,山楂,人参,甘草
白术,党参,甘草,续断,茯苓
神曲,麦芽,生料平胃散
白术,香薷,石莲肉,茯苓,麦冬
黄芪,白果,当归,地肤子,阿胶
扁豆,山药,川芎,地黄,当归
白术,党参,牛膝,甘草,莪术
白术,川芎,当归,陈皮,黄柏
白术,党参,甘草,莲须,茯苓
白术,神曲,黄连,川芎,山楂
白术,川芎,苍术,山楂
白术,党参,黄耆,甘草,蔓荆子
白术,苍术,甘草,厚朴,黄柏
白术,黑附子,厚朴,茯苓,干姜
白术,龙骨,罂粟壳,五倍子,竹叶
白术,黄芩,黄连,茯苓,灯草
