金钱草,滑石,车前子,木通,青皮,琥珀末
银花,泽泻,茯苓,川连,范制面,条岑
金银花,槐花,夏枯草,连翘,红花,甘草
茵陈,猪苓,泽泻,知母,青皮,苍术
赤小豆,当归
檀香,生军,苍术,麝香,沉香,雄黄
大豆,薏仁,木瓜,吴萸,焦山栀,0
蒲公英,金银花,薏仁,败酱草,京赤药,冬瓜子
扁豆,诃子,莲子,白术炭,党参,茯苓
浮萍,皂刺,苦参,茯苓,荆芥,何首乌
龟版,椿根白皮,芍药,侧柏叶,香附,升麻
猪苓,泽泻,柴胡,茯苓,肉桂,白术
猪苓,泽泻,柴胡,茯苓,黄芩,白术
车前子,莲子心,萆薢,茯苓,菖蒲,黄柏
川萆解,益智仁,菖蒲,乌药
车前子,莲子心,茯苓,川萆,菖蒲,黄柏
鹿角霜,木通,椿皮,杜仲炭,故纸,生白芍
茜草,檀香,乌梅肉,益智仁,龟版胶,巴戟肉
茵陈,葶苈,黄芩,龙胆草,山栀仁
赤小豆,滑石,冬葵子,八角金盘,益母草,芦根
扁豆,使君子,砂仁,糯米,白米,茯苓
滑石,车前子,泽泻,木通,赤苓,淡竹叶
茵陈,玉米须,郁金,黄芩,虎杖,川楝
益智,巴豆,蓬术,青皮,三棱,桂心
泽泻,茯苓,芍药,当归,芎,白术
茵陈,猪苓,泽泻,苦参,知母,苍术
干地龙,小木通,香独活,桂枝,酒杭芍,木瓜
大豆,泽泻,黑附子,茯苓,枳实,水
白糖,萆薢,冬葵子
滑石,茯苓,川芎,枳实,半夏,陈皮
凤尾草,匾蓄,飞廉草,菟丝子,茯苓,熟地
猪苓,薏仁,茯苓皮,通草,淡竹叶,大腹皮
桂枝,茯苓,白术,甘草
戎盐,茯苓,白术
滑石,地黄,关木通,海金沙,白芍,川芎
茵陈,猪苓,泽泻,木通,茯苓,枳壳
猪苓,滑石,泽泻,车前子,木通,知母
茵陈,地黄,地黄,枇杷叶,石斛,黄芩
茵陈,地黄,地黄,枇杷叶,石斛,黄芩
茵陈,滑石,薄荷,木通,菖蒲,白蔻
赤小豆,黑豆,绿豆,甘草
旱莲草,蜂蜜10毫升,苋菜,甘草
滑石,泽泻,寒水石,人参,茯苓,石膏
泽泻,茯苓,芍药,青皮,枳壳,当归
白糖,冬瓜皮,茯苓皮,生姜皮,黄芪,枣仁
猪苓,滑石,茯苓皮,通草,大腹皮,黄芩
赤小豆,昆布,黄耆
茵陈,大豆,金银花,板蓝根,赤芍,败酱草
茵陈,蒲公英,板蓝根,虎杖,陈皮
陈广皮,青蒿脑4,碧玉散,青子芩4,茯苓,竹茹
冬瓜皮,葫芦壳,西瓜皮,枣仁
冰糖,新鲜荷叶,粳米
滑石,砂仁,益智仁,远志,白梅花,人参
滑石,知母,生杭芍,黄柏
白石脂,菟丝子,寒水石,栝楼,知母,桂心
茵陈,猪苓,薏仁,泽泻,木通,苍术
金银花,苦参,木通,苍术,荆芥,何首乌
金钱草,滑石,石苇,冬葵子,海金砂,鸡内金
扁豆,猪苓,泽泻,木瓜,苍术,香薷
蒲公英,金银花,冬瓜子,大活血,木香,大黄
薏仁,金钱草,木通,萆薢,海金沙,冬葵子
麦冬,干葛,茯苓,人参,石膏,半夏
猪苓,匾蓄,苍术,茯苓,白芍,秦皮
银花,赤豆卷,银花叶,茯苓,山萸,肉苁蓉
金银花,滑石,车前子,泽泻,赤芍,连翘
猪苓,泽泻,知母,茯苓,半夏,肉桂
白附,苍术,荆芥,草乌,白芷,白蒺藜
猪苓,泽泻,砂仁,茯苓,人参,陈皮
猪苓,泽泻,苍术,柴胡,茯苓,生草
猪苓,泽泻,苍术,柴胡,茯苓,生草
桂枝,干姜炭,三七,牡蛎,茯苓,党参
猪苓,滑石,泽泻,桂枝,云苓,寒水石
金银花,六一散,泽泻,大青叶,木通,龙胆草
旱莲草,槐花,菜苋,仙鹤草,胡麻仁,侧柏叶
茵陈,泽泻,麦芽,茯苓,山楂,枳实
猪苓,麦冬,泽泻,茯苓,香薷,人参减半
