金钱草,滑石,车前子,木通,茯苓,琥珀末,海金砂
泽泻,银花,茯苓,生地炭,绵耆,范制面,条岑
金银花,槐花,夏枯草,连翘,红花,甘草
茵陈,猪苓,泽泻,茯苓,防己,苍术,青皮
赤小豆,当归
檀香,生军,苍术,麝香,沉香,木香,雄黄
薏仁,大豆,木瓜,吴萸,通草,焦山栀,晚蚕沙
蒲公英,薏仁,金银花,败酱草,大黄,连翘,京赤药
扁豆,茯苓,党参,莲子,白术炭,苍术炭,诃子
浮萍,皂刺,苦参,茯苓,何首乌,荆芥,桔梗
龟版,椿根白皮,侧柏叶,香附,芍药,升麻
猪苓,泽泻,柴胡,茯苓,肉桂,白术
猪苓,泽泻,柴胡,茯苓,黄芩,白术
车前子,莲子心,茯苓,萆薢,菖蒲,黄柏,丹参
川萆解,益智仁,菖蒲,乌药
车前子,莲子心,茯苓,川萆,菖蒲,黄柏,丹参
鹿角霜,木通,生白芍,茯苓,党参,螵蛸,当归
茜草,檀香,乌梅肉,益智仁,杞子,茯苓,巴戟肉
茵陈,龙胆草,葶苈,山栀仁,黄芩
赤小豆,滑石,冬葵子,益母草,八角金盘,芦根,琥珀
扁豆,砂仁,使君子,茯苓,糯米,生米仁,白米
滑石,车前子,泽泻,木通,赤苓,淡竹叶,瞿麦
茵陈,郁金,虎杖,木香,玉米须,黄芩,川楝
益智,蓬术,巴豆,青皮,三棱,桂心
泽泻,当归,茯苓,芍药,芎,白术
茵陈,猪苓,泽泻,苦参,党参,苍术,知母
干地龙,酒杭芍,桂枝,小木通,香独活,防己,川断
大豆,泽泻,黑附子,茯苓,枳实,水,米酒
白糖,冬葵子,萆薢
滑石,茯苓,当归,川芎,枳实,陈皮,香附
凤尾草,匾蓄,飞廉草,菟丝子,茯苓,熟地
薏仁,猪苓,茯苓皮,淡竹叶,大腹皮,通草
桂枝,茯苓,甘草,白术
戎盐,茯苓,白术
滑石,地黄,关木通,海金沙,白芍,当归,川芎
茵陈,猪苓,泽泻,木通,茯苓,枳壳,栀子
猪苓,滑石,泽泻,车前子,木通,茯苓,大黄
茵陈,地黄,地黄,石斛,枇杷叶,天门冬,黄芩
茵陈,地黄,地黄,石斛,枇杷叶,天门冬,黄芩
茵陈,滑石,木通,贝母,菖蒲,淡芩,白蔻
赤小豆,黑豆,绿豆,甘草
旱莲草,苋菜,蜂蜜10毫升,甘草
滑石,泽泻,寒水石,人参,茯苓,石膏,官桂
泽泻,当归,茯苓,青皮,枳壳,芍药,木香
白糖,冬瓜皮,茯苓皮,生姜皮,黄芪,枣仁
猪苓,滑石,茯苓皮,大腹皮,白蔻仁,通草,黄芩
赤小豆,昆布,黄耆
茵陈,大豆,金银花,板蓝根,赤芍,柴胡,白芍
茵陈,蒲公英,板蓝根,虎杖,陈皮
青子芩4,陈广皮,青蒿脑4,碧玉散,茯苓,枳壳,竹茹
冬瓜皮,葫芦壳,西瓜皮,枣仁
粳米,新鲜荷叶,冰糖
滑石,砂仁,益智仁,远志,黄耆,人参,茯苓
滑石,生杭芍,知母,黄柏
白石脂,栝楼,寒水石,菟丝子,知母,桂心
茵陈,猪苓,薏仁,泽泻,木通,茯苓,苍术
金银花,木通,苦参,苍术,何首乌,连翘,荆芥
金钱草,滑石,石苇,冬葵子,海金砂,鸡内金,鱼脑石
扁豆,猪苓,泽泻,茯苓,苍术,木瓜,香薷
蒲公英,金银花,大黄,大活血,冬瓜子,木香
金钱草,薏仁,木通,海金沙,冬葵子,萆薢,琥珀末
麦冬,茯苓,人参,干葛,石膏,半夏,白术
猪苓,匾蓄,茯苓,苍术,白芍,秦皮,白头翁
银花,赤豆卷,银花叶,茯苓,肉苁蓉,山萸,香附
金银花,滑石,泽泻,车前子,赤芍,连翘,花粉
猪苓,泽泻,茯苓,知母,肉桂,石膏,半夏
白附,苍术,荆芥,白芷,白蒺藜,草乌
猪苓,泽泻,砂仁,茯苓,人参,木香,葛根
猪苓,泽泻,柴胡,生草,茯苓,苍术,白芍
猪苓,泽泻,生草,柴胡,茯苓,苍术,白芍
干姜炭,三七,桂枝,牡蛎,党参,茯苓,枳实
