金钱草,滑石,车前子,木通,青皮,琥珀末,茯苓,海金砂
银花,泽泻,茯苓,范制面,生地炭,条岑,川连,归身炭
金银花,槐花,连翘,夏枯草,红花,甘草
茵陈,猪苓,泽泻,防己,青皮,苍术,茯苓,黄连
赤小豆,当归
檀香,生军,苍术,麝香,雄黄,沉香,丁香,木香
薏仁,大豆,木瓜,吴萸,通草,0,焦山栀,晚蚕沙
蒲公英,薏仁,金银花,冬瓜子,大黄,枳壳,败酱草,连翘
扁豆,诃子,苍术炭,党参,茯苓,白术炭,莲子,通草
浮萍,皂刺,苦参,何首乌,茯苓,荆芥,防风,白芷
椿根白皮,龟版,侧柏叶,香附,芍药,升麻
猪苓,泽泻,柴胡,茯苓,肉桂,白术
猪苓,泽泻,柴胡,茯苓,黄芩,白术
车前子,莲子心,萆薢,茯苓,黄柏,丹参,菖蒲,白术
川萆解,益智仁,乌药,菖蒲
车前子,莲子心,川萆,茯苓,黄柏,丹参,菖蒲,白术
鹿角霜,杜仲炭,椿皮,生白芍,故纸,木通,螵蛸,茯苓
茜草,檀香,乌梅肉,鳖甲胶,白木耳,巴戟肉,益智仁,玫瑰花
茵陈,葶苈,龙胆草,山栀仁,黄芩
赤小豆,滑石,冬葵子,益母草,琥珀,陈皮,八角金盘,芦根
扁豆,砂仁,茯苓,使君子,芡实,糯米,生米仁,白米
滑石,泽泻,车前子,木通,赤苓,淡竹叶,瞿麦,山栀
茵陈,玉米须,郁金,虎杖,木香,黄芩,川楝
益智,蓬术,巴豆,青皮,三棱,桂心
泽泻,茯苓,芍药,当归,芎,白术
茵陈,猪苓,泽泻,苦参,苍术,党参,防风,羌活
干地龙,香独活,桂枝,小木通,酒杭芍,川断,防己,木瓜
泽泻,大豆,黑附子,防风,茯苓,水,枳实,米酒
白糖,萆薢,冬葵子
滑石,茯苓,川芎,陈皮,香附,当归,半夏,枳实
凤尾草,匾蓄,飞廉草,菟丝子,茯苓,熟地
薏仁,猪苓,茯苓皮,淡竹叶,大腹皮,通草
桂枝,茯苓,白术,甘草
戎盐,茯苓,白术
滑石,地黄,关木通,川芎,海金沙,白芍,当归,石韦
茵陈,猪苓,泽泻,木通,茯苓,枳壳,栀子
猪苓,泽泻,滑石,车前子,木通,茯苓,瞿麦,大黄
茵陈,地黄,地黄,石斛,枇杷叶,天门冬,枳壳,黄芩
茵陈,地黄,地黄,石斛,枇杷叶,天门冬,枳壳,黄芩
茵陈,滑石,木通,贝母,连翘,淡芩,白蔻,藿香
赤小豆,黑豆,绿豆,甘草
旱莲草,苋菜,蜂蜜10毫升,甘草
滑石,泽泻,寒水石,人参,茯苓,石膏,官桂,木香
泽泻,青皮,茯苓,枳壳,芍药,木香,当归,黄连
白糖,冬瓜皮,茯苓皮,生姜皮,黄芪,枣仁
滑石,猪苓,茯苓皮,大腹皮,通草,黄芩,白蔻仁
赤小豆,昆布,黄耆
茵陈,板蓝根,金银花,大豆,赤芍,苏梗,柴胡,败酱草
茵陈,蒲公英,板蓝根,虎杖,陈皮
青蒿脑4,碧玉散,陈广皮,青子芩4,茯苓,枳壳,竹茹,半夏
冬瓜皮,西瓜皮,葫芦壳,枣仁
粳米,冰糖,新鲜荷叶
滑石,砂仁,远志,益智仁,莪术,人参,茯苓,黄耆
滑石,知母,黄柏,生杭芍
白石脂,菟丝子,寒水石,栝楼,知母,桂心
茵陈,猪苓,薏仁,泽泻,木通,苍术,茯苓,栀子
金银花,苦参,木通,苍术,何首乌,荆芥,防风,连翘
金钱草,滑石,石苇,冬葵子,鸡内金,海金砂,降香,鱼脑石
扁豆,猪苓,泽泻,香薷,苍术,茯苓,大腹皮,木瓜
蒲公英,金银花,大活血,冬瓜子,大黄,木香
金钱草,薏仁,木通,萆薢,冬葵子,琥珀末,海金沙,鸡内金
麦冬,干葛,人参,茯苓,石膏,半夏,白术
猪苓,匾蓄,苍术,茯苓,白芍,白头翁,秦皮,黄连
银花,赤豆卷,银花叶,茯苓,山萸,肉苁蓉,香附,当归
金银花,滑石,泽泻,车前子,赤芍,连翘,花粉,甘草
猪苓,泽泻,茯苓,肉桂,石膏,半夏,白术,知母
白附,苍术,荆芥,白蒺藜,白芷,草乌
猪苓,泽泻,砂仁,人参,茯苓,陈皮,葛根,神曲
猪苓,泽泻,柴胡,苍术,茯苓,肉桂,白芍,生草
猪苓,泽泻,柴胡,苍术,茯苓,肉桂,白芍,生草
干姜炭,桂枝,三七,牡蛎,党参,茯苓,半夏,枳实
猪苓,泽泻,滑石,桂枝,寒水石,云苓,石膏,琥珀
金银花,泽泻,六一散,木通,龙胆草,连翘,丹皮,大青叶
旱莲草,槐花,胡麻仁,菜苋,仙鹤草,侧柏叶,枳壳,地榆
茵陈,泽泻,麦芽,茯苓,山楂,连翘,荷叶,枳实
麦冬,猪苓,泽泻,香薷,茯苓,石莲肉,人参减半,白术
猪苓,泽泻,茯苓,羌活,白术
银花,车前子,地丁,京赤芍,连翘,大黄,四季青,生地
茜草,赤芍,白芍,元参,贝母,紫草,生地,夏枯草
金银花,滑石,板蓝根,赤芍,连翘,生地,白藓皮,大青叶
金银花,滑石,赤芍,连翘,生地,大青叶,板兰根,生栀仁
蒲公英,地丁,金银花,赤芍,石膏,生地,大青叶,黄柏
蒲公英,地丁,金银花,赤芍,石膏,生地,大青叶,黄柏
薏仁,六一散,杏仁,僵蚕,竹叶,菊花,豆豉,葱白3寸
薏仁,六一散,杏仁,僵蚕,3寸,葱白,白蔻,竹叶
泽泻,车前子,龙胆草,生地,丹皮,苦木通,青连翘,黄芩
薏仁,泽泻,五加皮,钩藤,川芎,羚羊角,木香,葛根
茵陈,滑石,木通,枳壳,白蔻,藿香,菖蒲,黄芩
扁豆,薏仁,砂仁,党参,茯苓,石斛,白芍,灶心土
路路通,地肤子,地龙,白芨,何首乌,荆芥,川芎,白芍
桂枝,干姜,白芍,半夏,细辛,黄芩,栀子,麻黄
茵陈,桑枝,茯苓皮,防己,苍术,大腹皮,五加皮,菖蒲
泽泻,萸肉,淮药,茯苓,附片,熟地,肉桂
扁豆,大豆,萆藓,芡实,茯苓,生薏米,枳壳,山药
黑豆,山楂,麦芽,苍术,陈皮,神曲,甘草,厚朴
扁豆,猪苓,麦冬,泽泻,车前子,党参,茯苓,五味子
石榴皮,砂仁,油朴,紫蔻,清夏,血琥珀,麦芽,苍术
白花蛇舌草,泽泻,党参,山萸,淫羊藿,益母草,黄芪,苡米根
茜草,独活,玉竹,海风藤,白酒,伸筋草,威灵仙,地黄
食盐,葵菜叶,淀粉,味精
泽泻,葵子,茯苓,石韦,白术
滑石,猪苓,车前子,葵子,木通,茯苓,瞿麦,枳实
苦参,地黄
滑石,柴胡,昆布,冬葵,鸡内金,海金砂,海藻,白芍
茵陈,白花蛇舌草,柴胡,茯苓,白芍,虎杖,当归,白术
薏仁,白花蛇舌草,板蓝根,牡蛎,赤芍,木贼草,茯芩,紫草
泽泻,柴胡,车前子,地黄,龙胆,关木通,当归,黄芩
鹿角霜,茯苓,秋石
粳米,香子,鹿头肉,高良姜,蔓荆子
石榴皮,乌梅炭,谷芽,椿根皮,槟榔
莱菔,苡米,赤芍,地榆,大黄,黄芩,木香,枳实
仙灵脾,黄酒,黑豆皮,生姜,肉桂,葱白,陈皮,豉
茵陈,银花,苡米,车前子,淮山,白茅根,竹叶,灯芯4扎
茵陈,板蓝根,败酱草,金银草,玉米须,郁金,栀子
茵陈,金钱草,皮硝,大黄,郁金,枳实,黄芩,木香
纯苏叶,木通,鸡心,砂仁,赤芍,青皮,苍术,茯苓
六一散,泽泻,车前子,木通,赤苓,生地,黄芩
麦冬,沙参,赤芍,茯苓,五味子,川芎,半夏,枳实
五物香薷饮加木瓜
滑石,甘草
赤小豆,杏仁,连轺,生梓白皮,生姜,枣仁,甘草,麻黄
薏仁,杏仁,麻黄,甘草
蒲公英,地丁,银花,赤芍,元参,竹叶,菊花,生地
白糖,鲜菠萝汁,白茅根
茵陈,地肤子,白茅根,枇杷叶,大力子,杭菊花,天门冬,丹皮
车前子,牡蛎,莲花须,莲子肉,茯苓,芡实,山药,黄柏
牡蛎,大黄
泽泻,木通,赤芍,萆薢,瞿麦,丹皮,车前,花粉
滑石,蒲灰
金钱草,柴胡,青皮,姜黄,山楂,枳壳,白芍,大黄
猪苓,泽泻,玄参,车前子,木通,赤苓,萆薢,米仁
薏仁,防己,茯苓,白术
茜草,王不留行,地鳖,清风藤,薏米仁,茯苓,木瓜,黄柏
茵陈,柴胡,秦艽,茯苓,大黄,犀角屑,黄芩,麦门冬
薏仁,板蓝根,连翘,香附,木贼
滑石,瞿麦,萹蓄,甘草
蒲公英,地丁,金银花,匾蓄,车前子,赤芍,冬瓜子,瞿麦
薏仁,萆,防己,鱼腥草,防风,石膏,盐柏,羌活
滑石,郁金,珍珠母,生苡米,半夏,白蔻仁,厚朴,甘草
蒲公英,地丁,车前子,木通,柴胡,赤芍,决明子,黄精
车前子,人参,茯苓,黄耆,地骨皮,黄芩,麦门冬,甘草
薏仁,黑附子,刘寄奴,玄胡,白芍,败酱草,小茴,瞿麦
麦冬,泽泻,砂仁,香薷,人参,茯苓,生姜,竹茹
砂仁,菟丝子,螵蛸,何首乌,熟地,藿香,狗脊,枸杞
茵陈,白花蛇舌草,三七,柴胡,赤芍,山楂,全蝎,黄芪
片子姜黄,海桐皮,羌活,芍药,当归,白术,甘草
赤小豆,薏仁,独活,萆薢,杏仁,大腹皮,木瓜,五加皮
猪苓,泽泻,苍术,茯苓,羌活,肉桂,防风,白术
泽泻,玄参,旋复花,茯苓,菊花,地骨皮,桔梗,桑白皮
木通,防己,葶苈,人参,茯苓,木香,槟榔
金钱草,滑石,川萆解,车前子,鸡内金,海金砂,瞿麦,酒军
金钱草,滑石,石苇,木通,白茅根,鸡内金,海金砂,三棱
薏仁,苍术,黄柏,牛膝
板蓝根,元胡,龙胆草,当归
茵陈,泽泻,菟丝子,党参,白茅根,茯苓,生地,知母
酒,白石英,云苓,磁石,石斛,羚羊角,羌活,杜仲
积雪草,金沙藤,羊开口,金樱根,菝葜
车前子,地丁,茯苓皮,元胡,紫草,细木通,紫参,大青叶
银花,滑石,杏仁,石膏,竹茹,通草,金汁30毫升
薏仁,滑石,杏仁,通草,竹叶,白蔻仁,半夏,厚朴
茵陈,何首乌,蝉衣,乌豆衣,乌梅,丹皮,生地,当归
滑石,匾蓄,玄参,青皮,山楂,生山栀,马鞭草,苏叶
茵陈,猪苓,泽泻,车前子,木通,茯苓,瞿麦,白术
车前草,木通,淡竹叶,茯苓,麦门冬
干地龙,大豆,桑枝,白茄根,归须,防己,萆薢,赤芍
金银花,匾蓄,白花蛇舌草,车前草,鱼腥草,小蓟,黄柏
白花蛇舌草,石苇,萆,全虫,马勃,贝母,黄柏,菖蒲
猪苓,泽泻,车前子,赤芍,苍术,葶苈,茯苓,川芎
滑石,匾蓄,苦参,茯苓,元胡,夏枯草,萆解,虎杖
猪脊骨,茯苓
猪苓,泽泻,茯苓,肉桂,白术
茵陈,滑石,木通,淡竹叶,茯苓,山栀仁,芍药,甘草
扁豆,香薷,厚朴
僵虫,苍术,茯苓,荆芥,川芎,防风,丹皮,白蒺藜
干莲肉,菟丝子,五味子,茯苓
薏仁,赤芍,荆芥,茯苓,石膏,双花,紫草,生地
滑石,杏仁,陈皮,郁金,通草,半夏,黄芩,黄连
凤尾草,过路黄,白茅根,山楂
六一散,瓜蒌壳,佩兰,竹茹,天竺黄,郁金,菖蒲,半夏
金银花,白花蛇舌草,石苇,地肤子,车前草,苦参,鱼腥草,海金沙
蒲公英,45,双花,香附,丹参
蒲公英,金银花,六一散,香附,丹参
茵陈,蒲公英,地丁,金银花,椿根皮,琥珀末,生鳖甲,红藤
水银,杏仁,雄黄
薏仁,滑石,连翘,通草,竹叶,茯苓块,白蔻仁
薏仁,粳米
茵陈,赤小豆,薏仁,泽泻,佩兰,苦参,木通,防己
茵陈,大黄,栀子
茵陈,白糖,粳米
金钱草,滑石,泽泻,石苇,车前子,王不留行,冬葵子,肉苁蓉
茵陈,王不留行,牡蛎,苍术,党参,山楂,白芍,泽兰
滑石,朱砂,甘草
滑石,甘草
木通,杭菊,辛荑花,北芪,螵蛸,五味子,苍耳子,防风
赤芍,归尾,苍术,僵蚕,荆芥,防风,红花,薄荷
猪苓,泽泻,茱萸,干姜,乌药,陈皮,甘草,厚朴
猪苓,泽泻,滑石,川木通,车前子,葶苈,茴香,茯苓
金钱草,海金沙藤,琥珀末,鸡内金,白芍,生地,木香,甘草
鲜竹笋,粳米
泽泻,白术
泽泻,苍术,茯苓,使君子,樗根皮,山药,乌梅,黄柏
泽泻,茯苓,大黄,枳实,黄芩,黄连,神曲,白术
猪苓,泽泻,砂仁,人参,姜黄,茯苓,干姜,黄连
