菟丝子,川椒,破故纸,茱萸,苍术
枸杞,巴戟,金樱子,何首乌,锁阳
何首乌,仙茅,苍术,牛膝,茯苓
枸杞,覆盆子,黄精,菟丝子,青盐
车前子,青粱米
粳米,车前子
粳米,车前子叶,葱白
菟丝子,车前子,决明子,防风,羚羊角
菊花,车前子,地黄,麦门冬
粳米,鲜车前叶,葱白
石决明,芍药,十,十,苍术
石决明,芍药,苍术,甘草,白蒺藜
石决明,芍药,蛇退,苍术,甘草
青盐,菊花,蕤仁,花椒,白矾
青盐,菊花,椒,刮皮术
菟丝子,桂心,肉苁蓉,远志,蛇床子
山药,苍术,川椒,甘草,茴香
苍术
苍术,茯苓
苍术,川椒,茴香,茯苓
苍术
枸杞,巴戟,菊花,苁蓉
枸杞,巴戟,菊花,苁蓉
枸杞,巴戟,菊花,苁蓉,川楝
黄踯躅,磁石,芍药,十,一
黄踯躅,磁石,芍药,黑牵牛,牛膝
枸杞,菊花,磁石,白术,当归
磁石,硇砂
菟丝子,黑附子,苁蓉,地黄,鹿茸
枸杞,黄精,菟丝子,陈皮,韭子
楮实,桂心,牛膝,干姜
青盐,百药煎,没石子,细辛,破故纸
钟乳粉不拘多少
蔓菁花
胡桃瓤,破故纸
雄雀儿粪,破故纸,安息香,地黄,木香
黑桑椹,大豆
芜菁子
白瓜子
地肤子1斗,地黄
覆盆子,蔓荆子,石斛,山药,黄耆
菟丝子,青葙子,车前子,决明子,桂心
青盐,陈皮,陈皮,川椒,破故纸
枸杞,巴戟,山药,茱萸,苍术
菟丝子,白术,山药,陈皮,芡实
地龙,知母春秋,冬,冬,茴香
菟丝子,山药,破故纸,茱萸,全蝎
马牙消
菟丝子,石斛,陈皮,苁蓉,炼成白石英
白硼砂,柿霜,玄明粉,白粉霜,河南真绿豆粉
枸杞,菟丝子,川椒,何首乌,何首乌
石决明,炉甘石,熊胆,珍珠,冰片
夜明砂,柏叶
菊花,蔓荆子,蒙花,木贼,甘草
炉甘石,黄连
熊胆,甘石,冰片,麝香
甘石,菊花,蒙花,木贼,甘草
枸杞,菊花,川椒,黑附子,巴戟天
枸杞,菟丝子,白蒺藜,山药,当归
炉甘石,熊胆,珍珠,煅珊瑚,冰片
炉甘石,琥珀,珠子,梅片,麝香
磁石,代赭石,人中黄,朱砂,乳香
菊花,椒红,决明子,芎,苍术
椒,辰砂
石决明,青葙子,木贼,犀角,草决明
何首乌,苍术,地骨皮
鹰眼睛
菊花,苍术,黄耆,川芎,荆芥
枸杞,覆盆子,菟丝子,白术,陈皮
片脑,何首乌,芍药,败龟板,地龙
片脑,何首乌,芍药,地龙,白术
菟丝子,巴戟,云母粉,芍药,细辛
蔓荆子,车前子,全蝎,细辛,琥珀
糯米1石,大麻子1斗,上曲,1石2斗,杏仁1斗
覆盆子,菟丝子,枳壳,白蒺藜,甘草
枸杞,菊花,木贼,苍术,荆芥
菊花,决明子,桂心,黄连,地黄
金钗,石斛,枳壳,牛膝,地黄
覆盆子,青葙子,菟丝子,车前子,决明子
枸杞,地骨皮,天精草,长生草
覆盆子,木鳖子,何首乌,地龙,黄耆
粳米,姜,盐,油,葱
老冬瓜仁
枸杞,黄耆,薏仁,鼠粘根,干葛
春蜜,秋蜜,朱砂
石决明,青葙子,熊胆,菊花,决明子
枸杞,炉甘石,青葙子,熊胆,菊花
山药,麋角,鹿角,沙苑疾藜,黑附子
菊花,甘草,川芎,白芷,防风
枸杞,覆盆子,远志,地肤子,柏子仁
覆盆子,肉苁蓉,远志,牛膝,续断
松子仁,松脂,柏子仁,茯苓
枸杞,川椒,苍术,地黄,茯苓
菊
不拘多少,桑叶
枸杞,巴戟,何首乌,破故纸,桑叶
枸杞,菊花,青葙子,当归,珍珠母
枸杞,菊花,肉苁蓉,巴戟天
珍珠,通天柱杖,昆山雪,先登,阴飞郎
青盐,木鳖子,白盐,酸榴皮,细辛
枸杞,菊花,山药,地黄
炉甘石,熊胆,冰片,麝香
炉甘石,熊胆,珍珠,琥珀,梅片
曾青,故铧铁,生油,塞水石,马牙消
枸杞
枸杞,粳米
枸杞
枸杞,白沙蜜,黄蜡,茯苓
