冰片,牛黄,雄黄,大黄,桔梗
牛黄,郁金,山栀仁,辰砂,黄芩
冰片,胆南星,朱砂,牛黄,全蝎
黄酒,牛蒡根,蝉蜕
绿豆粉,乳香
连翘,木香,桔梗,山栀子,当归
白酒,炒杏仁,鲜仙人掌,羌活
地龙,黄柏,乳香,黄芩,黄连
珍珠,水牛角浓缩粉,冰片,朱砂,郁金
珍珠,水牛角浓缩粉,冰片,朱砂,郁金
犀角,朱砂,梅片,真珠,牛黄
板蓝根,大青叶,赤芍,牡蛎粉,败酱草
金银花,连翘,丹皮,土茯苓,山栀子
冰片,胡黄连,软石膏,辰砂
枯矾,朱砂,雄黄,乳香,蜗牛
地丁草,松节油,天花粉,大黄,独活
板蓝根,连翘,白花蛇舌草,射干,浙贝
牛蒡子,连翘,干葛,天花粉,桔梗
三颗针,野菊花,紫地丁,法半夏,郁金
西瓜霜,濂珠,西月石,飞青黛,老式大泥冰
山豆根,冰片,青黛,硼砂,明矾牛黄
侧耳根,矮茶风,墨旱莲,女贞子,破故纸
连翘,野菊花,细辛,桔梗,黄柏
辛荑,芥穗,龙胆草,细辛,桔梗
大青叶,贯众,珠兰茶,上朱砂,南薄荷
牛蒡子,陈枳壳,连翘,紫草茸,桔梗
金银花,连翘,牛蒡子,知母,薄荷
青黛,马牙消,寒水石,消石,朴消
鲜马齿苋,白蜜
板蓝根,金银花,生石膏,桑叶,连翘
板蓝根,金银花,山豆根,连翘,玄参
三颗针,白英,白花蛇舌草,白头翁,野菊花
白英,蛇莓,龙葵,猕猴桃根,半枝莲
板蓝根,山豆根,忍冬藤,土茯苓,威灵仙
秦皮,白头翁,黄柏,黄连
玄参,地龙,白盐梅,乌嘴白雄鸭,蜗牛
板蓝根,菠萝香精油,糖粉,淀粉
白糖,板槛根,夏枯草
冰片,山甲,射干,泽泻,细辛
一点红,九里明,射干,甘草
冰片,白矾,黄柏,玄明粉,鹿角霜
冰片,朱砂,硼砂,玄明粉
冰片,朱砂,硼砂,玄明粉
冬葵子,八角金盘,陈皮,滑石,琥珀
金银花,当归尾,玄参,黄柏,大黄
金银花,山豆根,牛蒡子,玄参,土牛膝
连翘,人中黄,牛蒡,紫草茸,丹皮
山甲,全蜈蚣,皂刺,天花粉,乳香
芒硝,胆南星,滑石粉,关木通,大黄
白酒,地龙,乌芋
大黄粉,麻油50毫升,生地榆粉
蒲公英,金银花,连翘,半枝莲,野菊花
山豆根,牛蒡子,连翘,人中黄,苦参
板蓝根,山豆根,玄参,桔梗,白蔹
金银花,白术,川牛膝,苍术,薏苡仁
珍珠,毛诃子,朱砂,鸭嘴花,余甘子
胡连,蜂房,刺猬皮,马钱子,苦参
芒硝,连翘,白术,大黄,桔梗
牛蒡子,连翘,玄参,人参,桔梗
芙蓉叶,冰片,泽兰叶,大黄,黄柏
金银花,连翘,川贝母,化橘红,桔梗
金银花,鱼腥草,半枝莲,虎杖,桔梗
牛蒡子,生石膏,川贝母,鱼腥草,炒杏仁
蒲公英,金银花,连翘,野菊花,当归
板蓝根,金银花,连翘,鱼腥草,黄芩
蒲公英,马齿苋,白矾,如意草
马齿苋,大青叶,蜂房,生苡仁
蒲公英,大青叶,丹皮,赤芍,甘草
金银花,红藤,连翘,丹皮,乳香
金银花,三颗针,芒硝,薏仁,红藤
板蓝根,连翘,木贼,苡仁,香附
蒲公英,生大黄,川楝子,木香,白芍药
辣蓼,地锦草,车前草
马齿苋,铁苋菜,仙鹤草,地榆
金银花,人参,牛膝,金钗石斛,当归
板蓝根,玄参,郁金,茵陈,赤芍
金银花,乳香,青皮,没药,当归
萝卜,橄榄
山豆根,西瓜霜,冰片,青黛,射干
金银花,连翘,牛蒡子,皂刺,花粉
牛蒡子,甘草金银花,栝楼,生姜
双花,连翘,苦参,黄柏,大葱
板蓝根,大青叶,连翘,拳参
岗梅,山芝麻,毛冬青,金钱风,土牛膝
冰片,滑石粉,雄黄,甘草粉,朱砂面
黑乌蛇,雄黄,大黄,白花蛇
连翘,玄参,丹皮,桔梗,白僵蚕
金银花,牛蒡子,黄柏,大黄,赤芍
西瓜霜,硝苯汞,月石,硫酸黄连素,蒸馏水
五倍子,黄连
金银花,甘草节,连翘,归尾,桔梗
连翘,玄参,姜黄,天花粉,大黄
枯矾,五倍子,朱砂,百部,陈米醋
板蓝根,虎杖,丹皮,赤芍,蝉蜕
冰片,虎杖,红药子,麻油
板蓝根,蒲公英,虎杖,茵陈,陈皮
蓝叶,川朴消,苏枋,朱砂,川升麻
金银花,红藤,连翘,丹皮,乳香
青黛,滑石,琥珀,甘草
冰片面,獾油
板蓝根,金银花,玄参,何首乌,赤芍
蒲公英,玄参,土茯苓,川芎,路路通
姜黄,天花粉,白芷,赤芍药
陈枳壳,粉滑石,厚川柏,杭川芎,锦庄黄
金银花,槐花,黄柏,滑石,槐角
黄酒,山慈菇,核桃肉
金银花,土茯苓,木瓜,白鲜皮,皂角刺
蒲公英,金银花,京赤芍,丹皮,木香
祛湿药膏,化毒散
牛蒡子,连翘,人中黄,玄参,赤芍
川黄连,生石膏,肥知母,青连翘,干生地
双花,玄参,鸡血藤,乳香,土茯苓
蒲公英,红藤,生大黄,厚朴
谷精草,急性子,金果榄,黄精,炙甘草
金银花
金银花
金银花,生石膏,连翘,牛蒡子,青黛
海金沙,雄黄,大黄,当归,川牛膝
生石膏,连翘,丹皮,大黄,栀子
珍珠,真琥珀,人参三七,嫩滑石,甘草
金银花,秦皮,归尾,车前子,赤芍
蒲公英,大青叶,野菊花,花粉,赤芍
冰片,连翘,南星,松香,汽油
连翘,赤芍,当归,红花,桃仁
蒲公英,金银花,玄参,制没药,红花
金银花,连翘,天花粉,赤芍,荆芥
金银花,玄参,郁金,泽兰,玄胡
蒲公英,山豆根,生石膏,连翘,丹皮
板蓝根,连翘,川楝子,陈皮,薄荷
蒲公英,金银花,连翘,天花粉,赤芍
金银花,连翘,天花粉,赤芍,白芷
蒲公英,金银花,连翘,黄柏,桔梗
绿豆,山慈菇,连翘,天花粉,雄黄
牛蒡子,犀角,生地黄,紫草茸,归尾
蒲公英,金银花,甘草节,连翘,丹皮
蒲公英,双花,黑玄参,干生地,耳环石斛
板蓝根,青黛,贯众,甘草
蒲公英,鱼腥草,虎杖,败酱草,鸭跖草
金银花,秦皮,白头翁,仙鹤草,大黄
犀角,白芍,贝母,地骨皮,川芎
牛蒡子,连翘,玄参,人参,桔梗
金银花,连翘,山栀,芍药,甘草
板蓝根,金银花,连翘,京赤芍,射干
冰片,牛黄,雄黄,麝香,火消
水牛角浓缩粉,冰片,朱砂,牛黄,雄黄
冰片,熊胆,牛黄,乳香,黄柏
薄荷叶,鸡内金,栀子,升麻,黄连
粳米,君达莱
川黄连,槐枝,生草,乳香,黄柏
板蓝根,金银花,山豆根,大青叶,连翘
蒲公英,蜂房,玄参,郁金,赤芍
蒲公英,金银花,连翘,赤芍,炒山甲
蒲公英,金银花,连翘,赤芍,炒山甲
