冰片,大黄,牛黄,雄黄,桔梗,甘草,黄芩
郁金,牛黄,山栀仁,辰砂,黄芩,黄连
冰片,朱砂,胆南星,牛黄,全蝎,天麻,僵蚕
黄酒,牛蒡根,蝉蜕
绿豆粉,乳香
连翘,山栀子,木香,桔梗,当归,芍药,甘草
白酒,炒杏仁,鲜仙人掌,羌活
地龙,黄柏,乳香,川大黄,黄芩,黄连
珍珠,冰片,水牛角浓缩粉,朱砂,郁金,栀子,牛黄
珍珠,冰片,水牛角浓缩粉,朱砂,郁金,栀子,牛黄
犀角,朱砂,梅片,真珠,郁金,牛黄,山栀
板蓝根,大青叶,败酱草,赤芍,夏枯草,苡仁,牡蛎粉
金银花,连翘,山栀子,生苡米,滑石块,大豆黄卷,土茯苓
冰片,胡黄连,软石膏,辰砂
枯矾,朱砂,蜗牛,寒水石,雄黄,轻扮,铜绿
地丁草,松节油,独活,大黄,天花粉,南星,川乌
板蓝根,白花蛇舌草,连翘,射干,浙贝,荆芥,葛根
牛蒡子,连翘,干葛,天花粉,桔梗,甘草,升麻
三颗针,野菊花,郁金,法半夏,紫地丁,大黄,白芍
西瓜霜,濂珠,飞青黛,老式大泥冰,西牛黄,西月石
山豆根,冰片,青黛,硼砂,明矾牛黄,芒消
墨旱莲,矮茶风,侧耳根,女贞子,破故纸,五味子
连翘,野菊花,细辛,桔梗,黄柏,知母,甘草
芥穗,辛荑,细辛,龙胆草,桔梗,川芎,牛角
大青叶,贯众,南薄荷,明雄黄,上朱砂,上梅冰片,珠兰茶
牛蒡子,陈枳壳,连翘,麦门冬,桔梗,紫草茸,蝉蜕
金银花,牛蒡子,连翘,知母,鲜竹叶,绿豆衣,薄荷
青黛,寒水石,马牙消,消石,甘草,朴消,芒消
鲜马齿苋,白蜜
金银花,板蓝根,生石膏,桑叶,牛蒡子,连翘,麦冬
金银花,板蓝根,山豆根,连翘,玄参,知母,麦冬
三颗针,白花蛇舌草,野菊花,白英,白头翁,苦参,七叶一枝花
白英,猕猴桃根,蛇莓,半枝莲,龙葵
板蓝根,山豆根,忍冬藤,草河车,土茯苓,威灵仙,白鲜皮
秦皮,白头翁,黄柏,黄连
玄参,地龙,古文钱,白盐梅,乌嘴白雄鸭,蜗牛,生地
板蓝根,糖粉,菠萝香精油,淀粉
白糖,板槛根,夏枯草
