藁本,当归,川芎,防风,地黄
蝎梢,天麻,天南星,白僵蚕,川芎
威灵仙,刘寄奴,红花,白芥子,羌活
地龙,五灵脂,桃仁,红花,牛膝
橘核,煨三棱,山萸,荔枝核,煨莪术
王不留行,黄耆,当归,通草,川芎
75,酒精,破故纸
地龙,桃仁,归尾,赤芍,红花
鹿角霜,党参,川断,伸筋草,山楂
桂枝,粳米,石膏,知母,甘草
樟丹,枯矾,冰片,龙骨,麝香
蜈蚣,山甲,皂刺,没药,乳香
木瓜,桂枝,蜈蚣,防己,干地龙
桂枝,当归,通草,枣仁,生姜
白酒,大豆,麻子仁,乌蛇
地龙,白酒,乌芋
地龙,桃仁,元胡,川断,当归
蜈蚣,淡干姜,熟地,川乌,生地
地龙,没药,木鳖子,丹皮,乳香
江米酒,丹参,川芎,杜仲
鸡血藤,橘核,白芥子,丹参,丝瓜络
鸡血藤,蒲公英,石斛,川断,苍术
鸡血藤,党参,黄芪,丹皮,生地
红花,红花,诃子,草乌,龙骨
木瓜,红花,草乌,川乌,麻黄
芎劳,防己,独活,秦艽,防风
桂枝,防己,甘草
赤芍,蜈蚣,白芍,钩藤,丹参
鸡血藤,赤小豆,赤芍,防己,牛膝
桃仁,瓜蒌根,红花,穿山甲,当归
威灵仙,桂枝,没药,荆芥,五加皮
刘寄奴,王不留行,钩藤,金银花藤,宽筋藤
鸡血藤,金银花,五月红,白毛草,乌麻根
桂枝,防风,麻黄,生姜,芍药
桂枝,归尾,赤芍,红花,防风
桂枝,赤芍,当归,枣仁,生姜
桂枝,赤芍,当归,枣仁,生姜
地龙,威灵仙,当归,白僵蚕,桂心
茜草,五灵脂,远志,丹参,山楂
赤芍,红花,丹参,川芎,降香
桂枝,党参,白芍,寄生,牛膝
桂枝,片姜黄,白芍,寄生,当归
白芍,黄芪,当归,川芎,地黄
白凤仙花,明矾,陈米醋,蛇床子,丹参
红花,当归,樟脑,干姜,肉桂
赤芍,益母草,丹参,黄芪,苍术
木瓜,桂枝,丹参,干地龙,当归
赤芍,路路通,伸筋草,片姜黄,归尾
赤芍,红花,没药,酒归尾,乳香
透骨草,红花,归尾,三七,防己
地龙,桃仁,蜈蚣,川断,山甲
刘寄奴,红花,钩藤,当归,没药
丹参,没药,当归,乳香
丹参,没药,当归,乳香
地龙,天南星,没药,草乌,川乌
赤芍,红花,酒归尾,防风,丹皮
刘寄奴,赤芍,当归,川芎,生地
威灵仙,桃仁,伸筋草,红花,寄生
刘寄奴,茜草,透骨草,伸筋草,松节
桂枝,当归,桔梗,防风,矾石
桃仁,赤芍,当归,枣仁,桔梗
木瓜,桔梗,槟榔,生姜,紫苏
白芍,元胡,煅瓦楞,金铃子,香缘皮
威灵仙,桃仁,牛膝,白芍,天麻
透骨草,橘络,白芥子,片姜黄,丹参
天麻,官桂,羌活,枣仁,防风
天麻,天南星,当归,羌活,川芎
茜草,丹参,艾叶,两头尖,凌霄花
桂枝,丹参,干姜,阿胶,何首乌
白芍,当归,柴胡,桔梗,黄芩
蜈蚣,杭白芍,全蝎,黄连,金银花
桃仁,益母草,当归,炙草,川芎
党参,牛膝,莪术,三棱,白术
威灵仙,山楂,吊子风,豹皮樟,布渣叶
鹿角霜,桃仁,赤芍,白芥子,麻黄
鸡血藤,蜈蚣,天麻,钩藤,寄生
地龙,威灵仙,五灵脂,木瓜,赤小豆
红花,白芍,丹参,牛膝,旱莲
木瓜,锁阳,牛膝,羌活,当归
木瓜,锁阳,白芍,牛膝,当归
瓜蒌根,防己,羌活,川乌,防风
威灵仙,牛膝,当归,续断,海桐皮
赤芍,黄精,党参,黄耆,丹参
地龙,乌梢蛇,全虫,蜂房,白花蛇
地龙,五灵脂,草乌,木鳖子,枫香脂
鹿角霜,木瓜,牛膝,当归,羌活
桃仁,当归,乌药,青皮,陈皮
赤芍,红花,丹参,黄连,玫瑰花
木瓜,白芍,续断,当归,牛膝
茜草,王不留行,木瓜,丹参,牛膝
白芍,大力子,当归,川芎,羌活
地龙,玉米须,牛膝,川芎,地骨皮
鹿角霜,甲珠,水蛭,牛膝,天丁
党参,白芍,丹参,当归,何首乌
乌头,天南星,木香,黑附子
桂枝,蜈蚣,乌梢蛇,全蝎,草乌
威灵仙,桂枝,白芍,丹参,当归
威灵仙,白芍,当归,秦艽,川芎
党参,枣仁,干姜,茱萸,半夏
威灵仙,鸡血藤,桂枝,橘络,蜈蚣
威灵仙,五灵脂,木瓜,天麻,牛膝
乌药,当归,川芎,羌活,防风
桃仁,红花,白芍,当归,黄连
桃仁,桂枝,赤芍,路路通,穿山甲
桃仁,赤芍,红花,白芍,当归
桃仁,红花,穿山甲,牛膝,乌药
桃仁,牛子,白芥子,赤芍,红花
木瓜,蜈蚣,赤芍,全蝎,川芎
真辽人参,柿霜饼,麝香,防风,僵蚕
野芋头等量,天南星,草乌,川乌,半夏
党参,牛膝,莪术,三棱,白术
赤芍,白酒,路路通,红花,天南星
蒲公英,赤芍,红花,薄荷,蝉蜕
蜈蚣,党参,白芍,当归,黄芪
鸡血藤,木瓜,白酒,寄生,五加皮
