藁本,川芎,当归,防风,芍药,地黄
蝎梢,天南星,天麻,白僵蚕,川芎,防风
威灵仙,刘寄奴,红花,当归,羌活,白芥子
地龙,五灵脂,桃仁,红花,当归,羌活
山萸,酒炒破故纸,荔枝核,煨三棱,煨莪术,橘核
王不留行,黄耆,川芎,当归,通草,熟地
酒精,75,破故纸
地龙,归尾,赤芍,桃仁,红花,川芎
鹿角霜,党参,伸筋草,川断,当归,羌活
桂枝,粳米,石膏,知母,甘草
樟丹,枯矾,龙骨,冰片,麝香
蜈蚣,山甲,没药,皂刺,乳香,花粉
桂枝,蜈蚣,木瓜,防己,川断,当归
桂枝,当归,通草,芍药,枣仁,生姜
白酒,麻子仁,大豆,乌蛇
地龙,白酒,乌芋
地龙,桃仁,元胡,川断,当归,乌药
蜈蚣,熟地,淡干姜,生地,川乌,细辛
地龙,没药,木鳖子,肉桂,乳香,丹皮
江米酒,川芎,丹参,杜仲
鸡血藤,橘核,丝瓜络,丹参,金银花藤,白芥子
鸡血藤,蒲公英,川断,石斛,苍术,黄柏
鸡血藤,党参,黄芪,紫草,生地,丹皮
红花,红花,诃子,朱砂,草乌,龙骨
木瓜,红花,草乌,麻黄,川乌,乌梅
芎劳,防己,防风,独活,秦艽,干姜
桂枝,防己,甘草
蜈蚣,赤芍,白芍,钩藤,丹参,当归
鸡血藤,赤芍,赤小豆,防己,当归,牛膝
桃仁,瓜蒌根,红花,当归,穿山甲,柴胡
威灵仙,桂枝,没药,荆芥,防风,五加皮
王不留行,刘寄奴,钩藤,宽筋藤,金银花藤,荆芥
鸡血藤,白木槿,白毛草,苏木子,比茎藤,金银花
桂枝,防风,芍药,麻黄,生姜,知母
桂枝,归尾,赤芍,红花,防风,生地
桂枝,赤芍,当归,枣仁,生姜,甘草
桂枝,赤芍,当归,枣仁,生姜,甘草
威灵仙,地龙,当归,白僵蚕,漏芦,芎藭
茜草,五灵脂,远志,丹参,干地龙,山楂
赤芍,红花,川芎,丹参,降香
桂枝,党参,白芍,黄耆,牛膝,熟地
桂枝,白芍,片姜黄,当归,防风,寄生
白芍,川芎,黄芪,当归,地黄,甘草
明矾,白凤仙花,陈米醋,蛇床子,丹参,枯矾
红花,当归,樟脑,肉桂,干姜,花椒
赤芍,益母草,丹参,当归,川芎,苍术
桂枝,木瓜,丹参,当归,川芎,干地龙
赤芍,伸筋草,归尾,片姜黄,续断,松节
赤芍,红花,没药,夏枯草,乳香,丹皮
透骨草,红花,归尾,防己,续断,三七
地龙,蜈蚣,川断,桃仁,山甲,天南星
刘寄奴,红花,钩藤,当归,没药,紫草
没药,丹参,当归,乳香
没药,丹参,当归,乳香
地龙,天南星,没药,草乌,乳香,川乌
赤芍,红花,防风,丹皮,木香,酒归尾
刘寄奴,赤芍,当归,川芎,生地,枳壳
威灵仙,桃仁,伸筋草,红花,当归,川芎
茜草,刘寄奴,伸筋草,透骨草,松节,昆布
桂枝,当归,防风,桔梗,干姜,黄芩
桃仁,赤芍,当归,柴胡,生地,蝉蜕
木瓜,桔梗,槟榔,紫苏,生姜,茱萸
煅瓦楞,金铃子,白芍,吴萸,香缘皮,元胡
威灵仙,桃仁,白芍,天麻,牛膝,当归
橘络,透骨草,片姜黄,丹参,当归,白芥子
天麻,羌活,防风,官桂,枣仁,羚羊角
天麻,天南星,川芎,当归,羌活,防风
茜草,艾叶,丹参,当归,川芎,两头尖
桂枝,丹参,阿胶,干姜,何首乌,丹皮
白芍,当归,柴胡,桔梗,黄芩,白芷
蜈蚣,杭白芍,黄连,全蝎,黄芩,金银花
桃仁,益母草,川芎,当归,炒芥穗,炙草
党参,牛膝,三棱,莪术,甘草,茯苓
威灵仙,山楂,防风,薏仁,豹皮樟,吊子风
鹿角霜,桃仁,赤芍,白芥子,熟地,麻黄
鸡血藤,蜈蚣,钩藤,天麻,牛膝,全蝎
威灵仙,地龙,五灵脂,木瓜,赤小豆,乌药
红花,白芍,丹参,牛膝,朱砂,生地
木瓜,锁阳,远志,当归,羌活,牛膝
木瓜,白芍,锁阳,当归,羌活,黄耆
瓜蒌根,防己,羌活,防风,柴胡,肉桂
威灵仙,当归,续断,牛膝,海桐皮,西秦艽
赤芍,党参,黄耆,丹参,郁金,黄精
地龙,乌梢蛇,白花蛇,蜂房,全虫
地龙,五灵脂,草乌,木鳖子,乳香,枫香脂
鹿角霜,木瓜,当归,羌活,续断,牛膝
桃仁,当归,乌药,青皮,陈皮
赤芍,红花,丹参,黄连,生地,栀子
木瓜,白芍,续断,当归,川芎,牛膝
茜草,王不留行,木瓜,丹参,牛膝,黄柏
白芍,大力子,当归,川芎,羌活,荆芥
地龙,川芎,牛膝,玉米须,地骨皮,夏枯草
鹿角霜,水蛭,甲珠,牛膝,熟地,天丁
党参,白芍,丹参,当归,山药,香附
乌头,天南星,木香,黑附子
桂枝,蜈蚣,乌梢蛇,川芎,全蝎,草乌
威灵仙,桂枝,白芍,丹参,当归,秦艽
威灵仙,白芍,当归,川芎,秦艽,葛根
党参,枣仁,干姜,茱萸,半夏,甘草
威灵仙,鸡血藤,桂枝,橘络,蜈蚣,赤芍
威灵仙,五灵脂,木瓜,天麻,当归,松节
川芎,当归,羌活,乌药,防风,香附
桃仁,红花,白芍,当归,川芎,黄连
桂枝,赤芍,桃仁,郁金,穿山甲,百部
桃仁,赤芍,红花,白芍,当归,川芎
桃仁,红花,牛膝,乌药,柴胡,穿山甲
牛子,桃仁,赤芍,红花,白芍,天麻
蜈蚣,木瓜,赤芍,川芎,全蝎,乌蛇
柿霜饼,真辽人参,防风,麝香,僵蚕,石膏
野芋头等量,天南星,草乌,川乌,半夏
党参,牛膝,三棱,莪术,甘草,茯苓
白酒,赤芍,红花,天南星,羌活,樟脑
赤芍,蒲公英,红花,薄荷,蝉蜕,白蒺藜
蜈蚣,党参,白芍,当归,羌活,川芎
鸡血藤,白酒,木瓜,五加皮,寄生,海风藤
黄芪,当归,牛膝,防风
赤芍,大豆,防己,干地龙,牛膝,黄柏
威灵仙,桂枝,元胡,桃仁,红花,防己
赤芍,红花,当归,川芎,牛膝,熟地
桃仁,红花,丹参,没药,延胡索,乳香
五灵脂,丹参,三七,九香虫,延胡索,香附
橘络,蒲公英,全瓜蒌,橘叶,丝瓜络,通草
木瓜,透骨草,红花,续断,当归,羌活
鸡血藤,白芍,丹参,当归,牛膝,没药
蝎梢,黄耆,天麻,藁本,当归,川芎
天麻,当归,羌活,牛膝,萆薢,独活
赤芍,金铃子,丹参,砂仁,延胡索,炒九香虫
地龙,鸡血藤,蜈蚣,赤芍,丹参,当归
鸡血藤,乌梢蛇,防己,眼镜蛇,豨草,钻地风
乌梢蛇,酒
桃仁,赤芍,红花,丝瓜络,当归,川芎
威灵仙,地龙,刘寄奴,丹参,川芎,紫草
桃仁,生地,淡竹沥60毫升,生赤芍,丹皮,生姜汁2滴
桂枝,丹参,川芎,三七,山楂,黄芪
蚯蚓,天南星,川芎,当归,羌活,苍术
桂枝,木瓜,赤芍,甲珠,没药,秦艽
九头狮子草,老君髯,二郎箭,白花草
晚蚕沙,赤小豆,防己,薏仁,山栀,杏仁
地龙,桂枝,五灵脂,赤芍,当归,川芎
鸡血藤,党参,赤芍,当归,牛膝,没药
鹿角霜,水蛭,锁阳,甲珠,片子姜黄,熟地
党参,桃仁,阿胶,栀子,地鳖虫,玉米须
桂枝,益母草,丹参,川芎,五味子,生地
川芎,当归,芍药,桔梗,枳壳,人参
夜交藤,白糖,粳米,枣仁
木瓜,白芍,当归,熟地,防风,阿胶
地龙,天南星,天麻,羌活,川芎,没药
赤芍,山楂,五味子,佛手,黄精,淮山
5条,30克,30克,30克,30克,当归
没药,当归,乳香,厚朴,陈皮,白术
桃仁,赤芍,红花,黄耆,山甲,皂刺
地龙,威灵仙,片姜黄,赤芍,寄生,三七
威灵仙,地龙,鸡血藤,蜈蚣,木瓜,伸筋草
