川芎,藁本,当归,防风,芍药,地黄
蝎梢,天南星,天麻,川芎,防风,白僵蚕
威灵仙,刘寄奴,红花,白芥子,羌活,当归
地龙,五灵脂,桃仁,红花,牛膝,羌活
山萸,橘核,煨三棱,煨莪术,荔枝核,酒炒破故纸
王不留行,黄耆,通草,川芎,当归,熟地
75,酒精,破故纸
地龙,桃仁,归尾,红花,赤芍,川芎
鹿角霜,伸筋草,党参,山楂,川断,羌活
桂枝,粳米,石膏,知母,甘草
樟丹,枯矾,冰片,龙骨,麝香
蜈蚣,没药,皂刺,山甲,乳香,花粉
桂枝,木瓜,蜈蚣,防己,川断,牛膝
桂枝,通草,当归,芍药,枣仁,茱萸
白酒,大豆,麻子仁,乌蛇
地龙,白酒,乌芋
地龙,桃仁,元胡,当归,川断,乌药
蜈蚣,淡干姜,熟地,生地,川乌,细辛
地龙,没药,乳香,肉桂,丁香,木鳖子
江米酒,川芎,丹参,杜仲
鸡血藤,橘核,白芥子,丝瓜络,金银花藤,丹参
鸡血藤,蒲公英,石斛,川断,苍术,板蓝根
鸡血藤,党参,黄芪,北沙参,生地,紫草
红花,红花,打箭菊,朱砂,龙骨,草乌
木瓜,红花,草乌,麻黄,川乌,乌梅
芎劳,防己,防风,独活,秦艽,干姜
桂枝,防己,甘草
蜈蚣,钩藤,赤芍,白芍,丹参,当归
鸡血藤,赤小豆,赤芍,防己,牛膝,当归
瓜蒌根,桃仁,红花,当归,穿山甲,柴胡
威灵仙,桂枝,荆芥,没药,防风,五加皮
刘寄奴,王不留行,荆芥,金银花藤,宽筋藤,钩藤
鸡血藤,金银花,白木槿,白鱼鲄,臭梧桐,比茎藤
桂枝,芍药,防风,麻黄,生姜,知母
桂枝,红花,归尾,赤芍,防风,独活
桂枝,赤芍,当归,枣仁,生姜,甘草
桂枝,赤芍,当归,枣仁,生姜,甘草
地龙,威灵仙,当归,白僵蚕,漏芦,芎藭
茜草,五灵脂,远志,山楂,丹参,干地龙
红花,赤芍,川芎,丹参,降香
桂枝,党参,白芍,牛膝,黄耆,寄生
桂枝,片姜黄,白芍,当归,薏仁,防风
黄芪,白芍,川芎,当归,地黄,甘草
明矾,白凤仙花,蛇床子,陈米醋,丹参,枯矾
红花,樟脑,当归,花椒,干姜,肉桂
黄芪,赤芍,益母草,当归,丹参,川芎
桂枝,木瓜,丹参,当归,川芎,干地龙
片姜黄,伸筋草,赤芍,归尾,松节,续断
红花,赤芍,没药,酒归尾,乳香,夏枯草
红花,透骨草,归尾,防己,三七,牛膝
地龙,蜈蚣,桃仁,川断,山甲,天南星
刘寄奴,红花,钩藤,当归,没药,生地
没药,丹参,当归,乳香
没药,丹参,当归,乳香
地龙,天南星,没药,草乌,川乌,乳香
红花,赤芍,防风,酒归尾,丹皮,木香
刘寄奴,赤芍,川芎,当归,生地,苏木
