藁本,川芎,当归,防风,芍药,地黄,前胡
蝎梢,天南星,天麻,白僵蚕,川芎,防风,白花蛇
威灵仙,刘寄奴,红花,当归,羌活,白芥子,川芎
地龙,五灵脂,桃仁,红花,当归,羌活,牛膝
山萸,酒炒破故纸,荔枝核,煨三棱,煨莪术,橘核,通草
王不留行,黄耆,川芎,当归,通草,熟地,枸杞
酒精,75,破故纸
地龙,归尾,赤芍,桃仁,红花,川芎,黄耆
鹿角霜,党参,伸筋草,川断,当归,羌活,黄芪
桂枝,粳米,石膏,知母,甘草
樟丹,枯矾,龙骨,冰片,麝香
蜈蚣,山甲,没药,皂刺,乳香,花粉,知母
桂枝,蜈蚣,木瓜,防己,川断,当归,干地龙
桂枝,当归,通草,芍药,枣仁,生姜,茱萸
白酒,麻子仁,大豆,乌蛇
地龙,白酒,乌芋
地龙,桃仁,元胡,川断,当归,乌药,黄柏
蜈蚣,熟地,淡干姜,生地,川乌,细辛,甘草
地龙,没药,木鳖子,肉桂,乳香,丹皮,无名异
江米酒,川芎,丹参,杜仲
鸡血藤,橘核,丝瓜络,丹参,金银花藤,白芥子,生地
鸡血藤,蒲公英,川断,石斛,苍术,黄柏,大青叶
鸡血藤,党参,黄芪,紫草,生地,丹皮,北沙参
红花,红花,诃子,朱砂,草乌,龙骨,珍珠
木瓜,红花,草乌,麻黄,川乌,乌梅,甘草
芎劳,防己,防风,独活,秦艽,干姜,杏仁
桂枝,防己,甘草
蜈蚣,赤芍,白芍,钩藤,丹参,当归,川芎
鸡血藤,赤芍,赤小豆,防己,当归,牛膝,金银花
桃仁,瓜蒌根,红花,当归,穿山甲,柴胡,大黄
威灵仙,桂枝,没药,荆芥,防风,五加皮,乳香
王不留行,刘寄奴,钩藤,宽筋藤,金银花藤,荆芥,防风
鸡血藤,白木槿,白毛草,苏木子,比茎藤,金银花,五月红
桂枝,防风,芍药,麻黄,生姜,知母,黑附子
桂枝,归尾,赤芍,红花,防风,生地,枳壳
桂枝,赤芍,当归,枣仁,生姜,甘草
桂枝,赤芍,当归,枣仁,生姜,甘草
威灵仙,地龙,当归,白僵蚕,漏芦,芎藭,桂心
茜草,五灵脂,远志,丹参,干地龙,山楂,琥珀末
赤芍,红花,川芎,丹参,降香
桂枝,党参,白芍,黄耆,牛膝,熟地,寄生
桂枝,白芍,片姜黄,当归,防风,寄生,薏仁
白芍,川芎,黄芪,当归,地黄,甘草
明矾,白凤仙花,陈米醋,蛇床子,丹参,枯矾,朱砂
红花,当归,樟脑,肉桂,干姜,花椒,细辛
赤芍,益母草,丹参,当归,川芎,苍术,黄芪
桂枝,木瓜,丹参,当归,川芎,干地龙,防风
赤芍,伸筋草,归尾,片姜黄,续断,松节,防风
赤芍,红花,没药,夏枯草,乳香,丹皮,木香
透骨草,红花,归尾,防己,续断,三七,牛膝
地龙,蜈蚣,川断,桃仁,山甲,天南星,木鳖子
刘寄奴,红花,钩藤,当归,没药,紫草,生地
没药,丹参,当归,乳香
没药,丹参,当归,乳香
地龙,天南星,没药,草乌,乳香,川乌
赤芍,红花,防风,丹皮,木香,酒归尾
刘寄奴,赤芍,当归,川芎,生地,枳壳,血竭
威灵仙,桃仁,伸筋草,红花,当归,川芎,续断
茜草,刘寄奴,伸筋草,透骨草,松节,昆布,紫草根
桂枝,当归,防风,桔梗,干姜,黄芩,矾石
桃仁,赤芍,当归,柴胡,生地,蝉蜕,桔梗
木瓜,桔梗,槟榔,紫苏,生姜,茱萸,陈皮
煅瓦楞,金铃子,白芍,吴萸,香缘皮,元胡,黄连
威灵仙,桃仁,白芍,天麻,牛膝,当归,羌活
橘络,透骨草,片姜黄,丹参,当归,白芥子,鸡血藤膏
天麻,羌活,防风,官桂,枣仁,羚羊角,黑附子
天麻,天南星,川芎,当归,羌活,防风,肉桂
茜草,艾叶,丹参,当归,川芎,两头尖,凌霄花
桂枝,丹参,阿胶,干姜,何首乌,丹皮,甘草
白芍,当归,柴胡,桔梗,黄芩,白芷,半夏
蜈蚣,杭白芍,黄连,全蝎,黄芩,金银花,葛根
桃仁,益母草,川芎,当归,炒芥穗,炙草,干姜
党参,牛膝,三棱,莪术,甘草,茯苓,白术
威灵仙,山楂,防风,薏仁,豹皮樟,吊子风,布渣叶
鹿角霜,桃仁,赤芍,白芥子,熟地,麻黄,玄胡
鸡血藤,蜈蚣,钩藤,天麻,牛膝,全蝎,寄生
威灵仙,地龙,五灵脂,木瓜,赤小豆,乌药,苍术
红花,白芍,丹参,牛膝,朱砂,生地,旱莲
木瓜,锁阳,远志,当归,羌活,牛膝,续断
木瓜,白芍,锁阳,当归,羌活,黄耆,牛膝
瓜蒌根,防己,羌活,防风,柴胡,肉桂,川乌
威灵仙,当归,续断,牛膝,海桐皮,西秦艽,广地龙
赤芍,党参,黄耆,丹参,郁金,黄精
地龙,乌梢蛇,白花蛇,蜂房,全虫
地龙,五灵脂,草乌,木鳖子,乳香,枫香脂
鹿角霜,木瓜,当归,羌活,续断,牛膝,黄耆
桃仁,当归,乌药,青皮,陈皮
赤芍,红花,丹参,黄连,生地,栀子,香附
木瓜,白芍,续断,当归,川芎,牛膝,苍术
茜草,王不留行,木瓜,丹参,牛膝,黄柏,地鳖
白芍,大力子,当归,川芎,羌活,荆芥,防风
地龙,川芎,牛膝,玉米须,地骨皮,夏枯草,菊花
