藁本,当归,川芎,防风,芍药,地黄,前胡
蝎梢,天麻,天南星,川芎,白僵蚕,防风,石膏,白花蛇
威灵仙,刘寄奴,红花,白芥子,当归,川芎,羌活,胆南星
地龙,五灵脂,桃仁,红花,当归,没药,牛膝,羌活
橘核,山萸,煨三棱,煨莪术,荔枝核,酒炒破故纸,通草,青盐
王不留行,黄耆,通草,当归,川芎,熟地,枸杞,人参
75,酒精,破故纸
地龙,赤芍,归尾,桃仁,红花,川芎,黄耆
鹿角霜,党参,伸筋草,川断,当归,黄芪,羌活,山楂
桂枝,粳米,石膏,知母,甘草
樟丹,枯矾,冰片,龙骨,麝香
蜈蚣,山甲,皂刺,没药,乳香,花粉,知母
木瓜,桂枝,蜈蚣,川断,防己,当归,干地龙,牛膝
桂枝,通草,当归,芍药,枣仁,生姜,细辛,茱萸
白酒,大豆,麻子仁,乌蛇
地龙,白酒,乌芋
地龙,桃仁,元胡,川断,当归,乌药,黄柏,麻黄
蜈蚣,淡干姜,熟地,生地,川乌,细辛,白术,甘草
地龙,没药,木鳖子,乳香,自然铜,肉桂,无名异,丁香
江米酒,丹参,川芎,杜仲
鸡血藤,橘核,丹参,白芥子,丝瓜络,金银花藤,生地,熟地
鸡血藤,石斛,蒲公英,川断,苍术,板蓝根,大青叶,双花
鸡血藤,党参,黄芪,生地,紫草,北沙参,络石藤,丹皮
红花,红花,草乌,诃子,龙骨,朱砂,珍珠,青金石
木瓜,红花,草乌,麻黄,川乌,乌梅,甘草
芎劳,防己,防风,独活,秦艽,干姜,麻黄,杏仁
桂枝,防己,甘草
赤芍,蜈蚣,钩藤,白芍,丹参,当归,川芎,全蝎
鸡血藤,赤芍,赤小豆,防己,当归,牛膝,金银花,连翘
瓜蒌根,桃仁,红花,当归,穿山甲,柴胡,大黄,甘草
威灵仙,桂枝,没药,荆芥,防风,乳香,五加皮,细辛
王不留行,刘寄奴,钩藤,荆芥,宽筋藤,金银花藤,防风,大黄
鸡血藤,金银花,白毛草,白木槿,比茎藤,白鱼鲄,苏木子,乌麻根
桂枝,防风,芍药,麻黄,生姜,知母,黑附子,甘草
桂枝,赤芍,归尾,红花,防风,生地,香附,独活
桂枝,赤芍,当归,枣仁,生姜,甘草
桂枝,赤芍,当归,枣仁,生姜,甘草
地龙,威灵仙,当归,白僵蚕,漏芦,芎藭,木香,桂心
茜草,五灵脂,丹参,远志,干地龙,山楂,薤白,琥珀末
赤芍,红花,丹参,川芎,降香
桂枝,党参,白芍,寄生,黄耆,牛膝,生地,熟地
桂枝,白芍,片姜黄,寄生,当归,薏仁,防风,生地
黄芪,白芍,当归,川芎,地黄,甘草
明矾,陈米醋,白凤仙花,蛇床子,丹参,枯矾,朱砂,白鲜皮
红花,当归,樟脑,花椒,肉桂,干姜,细辛
赤芍,丹参,益母草,苍术,当归,黄芪,川芎,熟地
木瓜,桂枝,丹参,当归,川芎,干地龙,防风,茺蔚子
赤芍,伸筋草,片姜黄,归尾,路路通,续断,松节,防风
赤芍,红花,没药,酒归尾,乳香,夏枯草,丹皮,木香
透骨草,红花,三七,防己,归尾,没药,续断,牛膝
地龙,蜈蚣,川断,桃仁,山甲,木鳖子,天南星,当归
刘寄奴,红花,钩藤,当归,没药,生地,白药子,梅片
丹参,当归,没药,乳香
丹参,当归,没药,乳香
地龙,天南星,没药,草乌,乳香,川乌
赤芍,红花,防风,酒归尾,丹皮,木香
刘寄奴,赤芍,当归,川芎,生地,苏木,血竭,枳壳
威灵仙,桃仁,红花,伸筋草,寄生,当归,川芎,续断
茜草,刘寄奴,透骨草,伸筋草,松节,昆布,紫草根,香油
桂枝,当归,防风,桔梗,干姜,黄芩,芎藭,牡蛎
赤芍,桃仁,当归,生地,柴胡,蝉蜕,桔梗,枣仁
木瓜,桔梗,槟榔,生姜,紫苏,茱萸,陈皮
金铃子,元胡,香缘皮,吴萸,煅瓦楞,白芍,黄连,香附
威灵仙,桃仁,白芍,天麻,当归,牛膝,羌活,海风藤
橘络,透骨草,片姜黄,丹参,鸡血藤膏,白芥子,当归,苏梗
天麻,官桂,羌活,防风,枣仁,羚羊角,黑附子,甘草
天麻,天南星,当归,川芎,羌活,防风,肉桂,枣仁
茜草,丹参,艾叶,当归,凌霄花,川芎,两头尖,延胡索
桂枝,丹参,阿胶,干姜,何首乌,丹皮,甘草,茯苓
白芍,当归,柴胡,桔梗,黄芩,白芷,半夏,甘草
杭白芍,蜈蚣,黄连,全蝎,金银花,葛根,石膏,黄芩
桃仁,炒芥穗,益母草,当归,川芎,炙草,干姜
党参,牛膝,莪术,三棱,甘草,茯苓,白术
威灵仙,山楂,防风,薏仁,海风藤,山药,吊子风,布渣叶
鹿角霜,赤芍,桃仁,白芥子,熟地,麻黄,油桂,玄胡
鸡血藤,蜈蚣,天麻,钩藤,寄生,牛膝,全蝎,僵蚕
地龙,威灵仙,木瓜,五灵脂,赤小豆,乌药,木鳖子,苍术
红花,白芍,丹参,龟板,牛膝,朱砂,生地,旱莲
木瓜,锁阳,当归,牛膝,羌活,续断,远志,防风
木瓜,白芍,锁阳,当归,牛膝,羌活,续断,黄耆
