川芎,藁本,当归,防风,芍药,地黄,前胡
蝎梢,天南星,天麻,川芎,防风,白僵蚕,白花蛇,石膏
威灵仙,刘寄奴,红花,白芥子,羌活,当归,川芎,桑枝
地龙,五灵脂,桃仁,红花,牛膝,羌活,当归,没药
山萸,橘核,煨三棱,煨莪术,荔枝核,酒炒破故纸,通草,青盐
王不留行,黄耆,通草,川芎,当归,熟地,枸杞,人参
75,酒精,破故纸
地龙,桃仁,归尾,红花,赤芍,川芎,黄耆
鹿角霜,伸筋草,党参,山楂,川断,羌活,当归,黄芪
桂枝,粳米,石膏,知母,甘草
樟丹,枯矾,冰片,龙骨,麝香
蜈蚣,没药,皂刺,山甲,乳香,花粉,知母
桂枝,木瓜,蜈蚣,防己,川断,牛膝,当归,干地龙
桂枝,通草,当归,芍药,枣仁,茱萸,细辛,生姜
白酒,大豆,麻子仁,乌蛇
地龙,白酒,乌芋
地龙,桃仁,元胡,当归,川断,乌药,黄柏,麻黄
蜈蚣,淡干姜,熟地,生地,川乌,细辛,甘草,白术
地龙,没药,乳香,肉桂,丁香,木鳖子,无名异,自然铜
江米酒,川芎,丹参,杜仲
鸡血藤,橘核,白芥子,丝瓜络,金银花藤,丹参,熟地,生地
鸡血藤,蒲公英,石斛,川断,苍术,板蓝根,大青叶,黄柏
鸡血藤,党参,黄芪,北沙参,生地,紫草,络石藤,丹皮
红花,红花,打箭菊,朱砂,龙骨,草乌,诃子,禹粮土
木瓜,红花,草乌,麻黄,川乌,乌梅,甘草
芎劳,防己,防风,独活,秦艽,干姜,麻黄,杏仁
桂枝,防己,甘草
蜈蚣,钩藤,赤芍,白芍,丹参,当归,川芎,全蝎
鸡血藤,赤小豆,赤芍,防己,牛膝,当归,金银花,4瓶
瓜蒌根,桃仁,红花,当归,穿山甲,柴胡,大黄,甘草
威灵仙,桂枝,荆芥,没药,防风,五加皮,乳香,细辛
刘寄奴,王不留行,荆芥,金银花藤,宽筋藤,钩藤,防风,大黄
鸡血藤,金银花,白木槿,白鱼鲄,臭梧桐,比茎藤,苏木子,乌麻根
桂枝,芍药,防风,麻黄,生姜,知母,黑附子,甘草
桂枝,红花,归尾,赤芍,防风,独活,生地,香附
桂枝,赤芍,当归,枣仁,生姜,甘草
桂枝,赤芍,当归,枣仁,生姜,甘草
地龙,威灵仙,当归,白僵蚕,漏芦,芎藭,桂心,木香
茜草,五灵脂,远志,山楂,丹参,干地龙,琥珀末,薤白
红花,赤芍,川芎,丹参,降香
桂枝,党参,白芍,牛膝,黄耆,寄生,熟地,独活
桂枝,片姜黄,白芍,当归,薏仁,防风,寄生,秦艽
黄芪,白芍,川芎,当归,地黄,甘草
明矾,白凤仙花,蛇床子,陈米醋,丹参,枯矾,朱砂,五倍子
红花,樟脑,当归,花椒,干姜,肉桂,细辛
黄芪,赤芍,益母草,当归,丹参,川芎,苍术,熟地
桂枝,木瓜,丹参,当归,川芎,干地龙,防风,代赭石
片姜黄,伸筋草,赤芍,归尾,松节,续断,防风,路路通
红花,赤芍,没药,酒归尾,乳香,夏枯草,丹皮,木香
红花,透骨草,归尾,防己,三七,牛膝,没药,续断
地龙,蜈蚣,桃仁,川断,山甲,天南星,羌活,申姜
刘寄奴,红花,钩藤,当归,没药,生地,紫草,露蜂房
没药,丹参,当归,乳香
没药,丹参,当归,乳香
地龙,天南星,没药,草乌,川乌,乳香
红花,赤芍,防风,酒归尾,丹皮,木香
刘寄奴,赤芍,川芎,当归,生地,苏木,枳壳,血竭
威灵仙,桃仁,红花,伸筋草,当归,川芎,续断,寄生
刘寄奴,茜草,透骨草,伸筋草,松节,昆布,紫草根,香油
桂枝,当归,防风,干姜,黄芩,桔梗,芎藭,矾石
桃仁,赤芍,当归,枳壳,枣仁,柴胡,生地,蝉蜕
木瓜,槟榔,桔梗,茱萸,紫苏,生姜,陈皮
金铃子,元胡,白芍,香缘皮,吴萸,煅瓦楞,良姜,黄连
威灵仙,桃仁,海风藤,白芍,牛膝,当归,羌活,天麻
白芥子,透骨草,片姜黄,橘络,鸡血藤膏,当归,丹参,苏梗
天麻,官桂,羌活,防风,枣仁,羚羊角,黑附子,甘草
天麻,当归,天南星,羌活,川芎,防风,枣仁,肉桂
茜草,艾叶,凌霄花,当归,两头尖,丹参,川芎,延胡索
桂枝,丹参,阿胶,干姜,何首乌,丹皮,甘草,茯苓
白芍,当归,柴胡,黄芩,桔梗,白芷,半夏,茯苓
蜈蚣,杭白芍,全蝎,黄连,金银花,葛根,黄芩,石膏
桃仁,益母草,川芎,当归,炒芥穗,炙草,干姜
党参,牛膝,三棱,莪术,甘草,茯苓,白术
威灵仙,山楂,薏仁,防风,海风藤,吊子风,山药,豹皮樟
鹿角霜,桃仁,白芥子,赤芍,熟地,麻黄,油桂,玄胡
鸡血藤,蜈蚣,天麻,牛膝,钩藤,全蝎,寄生,僵蚕
地龙,威灵仙,五灵脂,木瓜,赤小豆,苍术,乌药,五加皮
红花,白芍,旋复花,牛膝,丹参,朱砂,生地,旱莲
木瓜,龟版,牛膝,羌活,当归,锁阳,远志,续断
木瓜,白芍,龟版,牛膝,羌活,当归,锁阳,续断
瓜蒌根,防己,羌活,防风,柴胡,川乌,肉桂,苦参
威灵仙,牛膝,当归,续断,海桐皮,杜仲,西秦艽,大独活
黄精,赤芍,党参,黄耆,丹参,郁金
地龙,乌梢蛇,白花蛇,全虫,蜂房
地龙,五灵脂,草乌,乳香,木鳖子,枫香脂
鹿角霜,木瓜,牛膝,羌活,当归,川芎,续断,黄耆
桃仁,当归,乌药,青皮,陈皮
红花,赤芍,丹参,黄连,生地,玫瑰花,栀子,香附
木瓜,白芍,牛膝,续断,当归,川芎,苍术,黑木耳
茜草,木瓜,王不留行,牛膝,丹参,清风藤,黄柏,薏米仁
大力子,白芍,当归,荆芥,羌活,川芎,防风,秦艽
地龙,川芎,牛膝,玉米须,地骨皮,夏枯草,菊花
鹿角霜,甲珠,水蛭,牛膝,野南瓜,天丁,大伸筋,熟地
党参,白芍,丹参,当归,何首乌,山药,香附,麦芽
乌头,天南星,木香,黑附子
桂枝,乌梢蛇,蜈蚣,川芎,全蝎,草乌,川乌,僵蚕
威灵仙,桂枝,白芍,当归,丹参,秦艽,葛根,米仁
威灵仙,白芍,川芎,当归,秦艽,葛根,细辛,白芷
党参,枣仁,干姜,茱萸,甘草,半夏,陈皮
威灵仙,鸡血藤,桂枝,橘络,蜈蚣,赤芍,白芍,当归
威灵仙,五灵脂,木瓜,天麻,牛膝,松节,当归,防风
川芎,当归,乌药,羌活,防风,香附,麻黄,细辛
桃仁,红花,白芍,川芎,当归,黄连,柴胡,枳壳
桂枝,桃仁,赤芍,郁金,穿山甲,百部,路路通,皂角刺
桃仁,红花,赤芍,白芍,当归,川芎,熟地,柴胡
桃仁,红花,牛膝,穿山甲,乌药,柴胡,杜仲,玄胡素
桃仁,白芥子,牛子,红花,赤芍,白芍,天麻,当归
木瓜,蜈蚣,赤芍,川芎,全蝎,乌蛇,黑木耳,葛根
