藁本,当归,川芎,防风,地黄,前胡,芍药
蝎梢,天麻,天南星,白僵蚕,川芎,防风,石膏,白花蛇
威灵仙,刘寄奴,红花,白芥子,羌活,当归,川芎,胆南星
地龙,五灵脂,桃仁,红花,牛膝,当归,羌活,没药
橘核,煨三棱,山萸,荔枝核,煨莪术,酒炒破故纸,通草,青盐
王不留行,黄耆,当归,通草,川芎,熟地,枸杞,人参
75,酒精,破故纸
地龙,桃仁,归尾,赤芍,红花,黄耆,川芎
鹿角霜,党参,川断,伸筋草,山楂,当归,羌活,黄芪
桂枝,粳米,石膏,知母,甘草
樟丹,枯矾,冰片,龙骨,麝香
蜈蚣,山甲,皂刺,没药,乳香,花粉,知母
木瓜,桂枝,蜈蚣,防己,干地龙,川断,牛膝,当归
桂枝,当归,通草,枣仁,生姜,芍药,茱萸,细辛
白酒,大豆,麻子仁,乌蛇
地龙,白酒,乌芋
地龙,桃仁,元胡,川断,当归,乌药,麻黄,黄柏
蜈蚣,淡干姜,熟地,川乌,生地,细辛,白术,甘草
地龙,没药,木鳖子,丹皮,乳香,无名异,肉桂,自然铜
江米酒,丹参,川芎,杜仲
鸡血藤,橘核,白芥子,丹参,丝瓜络,金银花藤,熟地,生地
鸡血藤,蒲公英,石斛,川断,苍术,大青叶,双花,板蓝根
鸡血藤,党参,黄芪,丹皮,生地,紫草,络石藤,北沙参
红花,红花,诃子,草乌,龙骨,朱砂,珍珠,麝香
木瓜,红花,草乌,川乌,麻黄,乌梅,甘草
芎劳,防己,独活,秦艽,防风,麻黄,石膏,干姜
桂枝,防己,甘草
赤芍,蜈蚣,白芍,钩藤,丹参,当归,全蝎,川芎
鸡血藤,赤小豆,赤芍,防己,牛膝,当归,金银花,云南白药1瓶
桃仁,瓜蒌根,红花,穿山甲,当归,柴胡,大黄,甘草
威灵仙,桂枝,没药,荆芥,五加皮,防风,乳香,细辛
刘寄奴,王不留行,钩藤,金银花藤,宽筋藤,荆芥,防风,大黄
鸡血藤,金银花,五月红,白毛草,乌麻根,白鱼鲄,白木槿,苏木子
桂枝,防风,麻黄,生姜,芍药,黑附子,知母,白术
桂枝,归尾,赤芍,红花,防风,独活,生地,香附
桂枝,赤芍,当归,枣仁,生姜,甘草
桂枝,赤芍,当归,枣仁,生姜,甘草
地龙,威灵仙,当归,白僵蚕,桂心,漏芦,芎藭,木香
茜草,五灵脂,远志,丹参,山楂,干地龙,薤白,琥珀末
赤芍,红花,丹参,川芎,降香
桂枝,党参,白芍,寄生,牛膝,黄耆,熟地,生地
桂枝,片姜黄,白芍,寄生,当归,秦艽,防风,熟地
白芍,黄芪,当归,川芎,地黄,甘草
白凤仙花,明矾,陈米醋,蛇床子,丹参,枯矾,五倍子,白鲜皮
红花,当归,樟脑,干姜,肉桂,花椒,细辛
赤芍,益母草,丹参,黄芪,苍术,当归,川芎,熟地
木瓜,桂枝,丹参,干地龙,当归,川芎,防风,茺蔚子
赤芍,路路通,伸筋草,片姜黄,归尾,续断,松节,海桐皮
赤芍,红花,没药,酒归尾,乳香,夏枯草,丹皮,木香
透骨草,红花,归尾,三七,防己,牛膝,没药,续断
地龙,桃仁,蜈蚣,川断,山甲,天南星,木鳖子,羌活
刘寄奴,红花,钩藤,当归,没药,梅片,丹皮,生地
丹参,没药,当归,乳香
丹参,没药,当归,乳香
地龙,天南星,没药,草乌,川乌,乳香
赤芍,红花,酒归尾,防风,丹皮,木香
刘寄奴,赤芍,当归,川芎,生地,苏木,血竭,枳壳
威灵仙,桃仁,伸筋草,红花,寄生,当归,续断,川芎
刘寄奴,茜草,透骨草,伸筋草,松节,昆布,紫草根,香油
桂枝,当归,桔梗,防风,矾石,干姜,黄芩,芎藭
桃仁,赤芍,当归,枣仁,桔梗,蝉蜕,元参,生地
木瓜,桔梗,槟榔,生姜,紫苏,茱萸,陈皮
白芍,元胡,煅瓦楞,金铃子,香缘皮,吴萸,良姜,黄连
威灵仙,桃仁,牛膝,白芍,天麻,羌活,当归,双花
透骨草,橘络,白芥子,片姜黄,丹参,鸡血藤膏,当归,苏梗
天麻,官桂,羌活,枣仁,防风,羚羊角,黑附子,甘草
天麻,天南星,当归,羌活,川芎,枣仁,防风,肉桂
茜草,丹参,艾叶,两头尖,凌霄花,当归,川芎,延胡索
