丹参,川芎,甘草,莲子心,当归
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,槟榔
白酒,羌活,鲜仙人掌,杏仁
乳香,黄柏,地龙,黄连,大黄
椒目,艾曲,细辛,桂,干姜
油,葱,苎麻根,活鲤鱼,糯米
香油,冰片面,白蜡,黄柏,铜绿面
大戟,没药,葶苈,甘遂,黑牵牛
辅料,白花败酱草,丛枝蓼
车前子,青粱米
粳米,车前子
赤小豆,葱,辣椒,活鲤鱼1尾,鸡汤
大腹子,人参,紫苏,桑白皮,五味子
没药,蟾酥,枯矾,血竭,硼砂
没药,蟾酥,枯矾,铜绿,胆矾
花椒,铜绿,青盐,李仁,菊花
粳米,白糖,茶叶
冰片,没药,川军,赤芍,乳香
葶苈,紫苏,琥珀,郁李仁,沉香
续随子,甘遂,黑牵牛,全蝎,白牵牛
板蓝根,连翘,白花蛇舌草,射干,贝母
白胶香,蓖麻子仁
橘核,酒炒破故纸,煨莪术,荔枝核,煨三棱
冰片,枯矾,龙衣,麝香5厘,胭脂
西瓜霜,西丹参,西月石,濂珠,飞青黛
大梅片,真熊胆,瓜制枪消,珍珠,关犀黄
西月石,玄明粉,炒僵蚕,飞辰砂,梅冰
冰片,硼砂,明矾丹参,山豆根,皮硝
硼砂,青鱼胆,人指甲,人中白,马勃
大梅片,真熊胆,珍珠,瓜制枪消,直僵蚕
紫荆皮,赤豆,白芷,菖蒲,独活
木蜡,川紫荆皮,白芷,独活,芍药
白芷,苍耳子,液状石腊,冰片粉,辛夷
蒲公英,自然铜,土鳖虫,三七,赤芍
没药,五倍子,自然铜,赤芍,乳香
乳香,苍术,北细辛,甘草
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,火消,朱砂,皂矾
蓖麻子
油,油,黄丹,白蜡,商陆根
没药,乳香,白蜡,铅粉,密陀僧
冰片,白蜡,乳香,樟脑,轻粉
冰片,樟脑,石膏,轻粉,红粉
冰片,熊胆,炉甘石,硇砂,珍珠
李子树胶,阿飞勇,白锡粉,可铁刺
