丹参,莲子心,川芎,甘草,当归
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,黄连
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,地龙,黄连,大黄
艾曲,椒目,黑附子,细辛,干姜
油,葱,苎麻根,活鲤鱼,姜
香油,白蜡,冰片面,生马钱子,煅蛤粉
大戟,没药,葶苈,甘遂,乳香
辅料,白花败酱草,丛枝蓼
车前子,青粱米
粳米,车前子
赤小豆,葱,活鲤鱼1尾,辣椒,鸡汤
大腹子,紫苏,桑白皮,人参,茯苓
没药,枯矾,蟾酥,血竭,铜绿
没药,蟾酥,枯矾,铜绿,乳香
花椒,铜绿,青盐,李仁,蕤仁
粳米,白糖,茶叶
冰片,没药,川军,乳香,白芷
葶苈,紫苏,茯苓,琥珀,郁李仁
甘遂,续随子,全蝎,黑牵牛,白牵牛
板蓝根,连翘,贝母,射干,葛根
白胶香,蓖麻子仁
橘核,青盐,煨三棱,酒炒破故纸,煨莪术
冰片,枯矾,龙衣,胭脂,麝香5厘
西瓜霜,西月石,西丹参,濂珠,老式大泥冰
大梅片,真熊胆,瓜制枪消,枣仁,关犀黄
西月石,梅冰,炒僵蚕,飞辰砂,玄明粉
冰片,硼砂,青黛,明矾丹参,山豆根
贝母,硼砂,人中白,青鱼胆,马勃
大梅片,瓜制枪消,真熊胆,明硼砂,直僵蚕
赤豆,白芷,紫荆皮,菖蒲,独活
木蜡,白芷,川紫荆皮,独活,芍药
白芷,辛夷,液状石腊,薄荷,冰片粉
蒲公英,赤芍,三七,透骨草,黄柏
没药,五倍子,乳香,赤芍,无名异
乳香,北细辛,苍术,甘草
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,火消,皂矾,白矾
蓖麻子
油,油,白蜡,黄丹,商陆根
没药,乳香,铅粉,白蜡,密陀僧
冰片,乳香,白蜡,樟脑,轻粉
冰片,轻粉,樟脑,石膏,红粉
冰片,炉甘石,硇砂,熊胆,麝香
阿飞勇,可铁刺,李子树胶,白锡粉
紫苏,木瓜,羌活,陈皮,槟榔
