丹参,菊花,石膏,川芎,甘草
白糖,粳米,牛蒡
乳香,绿豆粉
连翘,桔梗,薄荷,木香,栀子
白酒,羌活,杏仁,鲜仙人掌
乳香,黄连,黄柏,黄芩,地龙
艾曲,椒目,桂,干姜,细辛
油,苎麻根,葱,活鲤鱼,姜
香油,冰片面,白蜡,生地,当归
葶苈,大戟,乳香,没药,陈皮
辅料,丛枝蓼,白花败酱草
青粱米,车前子
粳米,车前子
葱,赤小豆,陈皮,辣椒,鸡汤
大腹子,人参,紫苏,桑白皮,五味子
蟾酥,枯矾,没药,血竭,乳香
蟾酥,蜗牛,枯矾,没药,乳香
花椒,铜绿,李仁,黄连,青盐
白糖,粳米,茶叶
冰片,甘草,没药,乳香,川军
葶苈,紫苏,陈皮,沉香,琥珀
续随子,甘遂,黑牵牛,陈皮,全蝎
板蓝根,柴胡,连翘,葛根,白花蛇舌草
白胶香,蓖麻子仁
橘核,青盐,煨三棱,酒炒破故纸,山萸
冰片,陈皮,枯矾,麝香5厘,龙衣
西月石,西瓜霜,飞青黛,老式大泥冰,西丹参
大梅片,真熊胆,枣仁,瓜制枪消,关犀黄
西月石,梅冰,玄明粉,炒僵蚕,飞辰砂
冰片,明矾丹参,皮硝,青黛,硼砂
人中白,硼砂,青鱼胆,人指甲,马勃
大梅片,真熊胆,瓜制枪消,明硼砂,直僵蚕
紫荆皮,赤豆,白芷,菖蒲,独活
木蜡,川紫荆皮,白芷,芍药,独活
辛夷,白芷,液状石腊,冰片粉,薄荷
蒲公英,黄连,赤芍,生地,三七
五倍子,没药,乳香,赤芍,川芎
乳香,苍术,北细辛,甘草
鲜败酱草
蓖麻子
黑丑,香附,五灵脂
鲫鱼,巴豆
食盐,硼砂,白矾,火消,皂矾
蓖麻子
油,油,胡粉,白蜡,黄丹
没药,乳香,铅粉,白蜡,密陀僧
冰片,官粉,白蜡,乳香,轻粉
冰片,石膏,轻粉,樟脑,红粉
冰片,螵蛸,炉甘石,石决明,硇砂
白锡粉,可铁刺,阿飞勇,李子树胶
紫苏,木瓜,香附,木香,大腹皮
没药,乳香,黄蜡,孩儿茶,雄黄
板蓝根,菠萝香精油,糖粉,淀粉
黄蘖,寒水石,石膏,甘草
没药,乳香,铜绿,白蜡,松香
香油,血竭,没药,巴豆,木鳖子
金银花,木鳖子,赤芍,苍术,白蔹
赤小豆,黄丹,半夏,白芷,蒲黄
芙蓉叶,甘草,赤芍,五倍子,赤小豆
冰片,巴豆,斑蝥,乳香,没药
寒水石,黄柏,石膏,甘草
木鳖子,无名异,黄柏,花粉,牡蛎
一点红,九里明,射干,甘草
乳香,黄丹,白矾,密陀僧,麝香
大戟,甘遂,土狗,芫花,大黄
冰片,黄连,白矾,黄柏,玄明粉
冰片,明矾,黄连,黄柏,玄明粉
冰片,制僵蚕,胆矾,雄黄,苦瓜霜
冰片,硼砂,玄明粉,朱砂
冰片,黄油,鸡蛋
冰片,黄连,螵蛸,青鱼胆,西丹参
硼砂,炉甘石,梅片,丹参,琥珀
冰片,全蝎,乳香,文蛤,雄黄
冬瓜皮,生地,车前子,柏子仁,白茅根
冰片,茶油清,金不换,没药,血竭
冰片,东丹,香油,三七,没药
三七,乳香,赤芍,血竭,枳实
马钱子,麻黄,川芎,没药,血竭
三七,乳香,赤芍,血竭,枳实
没药,乳香,知母,山甲,花粉
银花,当归,没药,豨莶草,乳香
芥菜花1味
葡萄糖粉,麻黄素,辛夷花,鹅不食草
核桃仁
核桃仁
没药,乳香,木鳖子肉,蓖麻子仁,白芷
乳香,白胶香,白蔹,白芷,定粉
白芷,地榆,独活,当归,矾石
一十,地黄,十,木通,栀子
紫苏,麦门冬,木瓜,白术,砂仁
芙蓉叶,紫金皮,白芷,天南星,独活
