丹参,川芎,薄荷,甘草,莲子心
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,黄连
白酒,鲜仙人掌,杏仁,羌活
乳香,黄柏,黄连,大黄,地龙
椒目,艾曲,干姜,细辛,桂
葱,油,苎麻根,活鲤鱼,糯米
香油,白蜡,冰片面,防风,待温浓时再兑
葶苈,没药,大戟,乳香,甘遂
辅料,丛枝蓼,白花败酱草
车前子,青粱米
粳米,车前子
葱,赤小豆,鸡汤,活鲤鱼1尾,辣椒
大腹子,人参,紫苏,桑白皮,五味子
蟾酥,血竭,硼砂,乳香,枯矾
蟾酥,乳香,没药,枯矾,朱砂
花椒,铜绿,青盐,李仁,防风
粳米,白糖,茶叶
冰片,赤芍,没药,川军,乳香
葶苈,紫苏,茯苓,郁李仁,琥珀
续随子,黑牵牛,萝卜子,全蝎,甘遂
板蓝根,连翘,贝母,白花蛇舌草,射干
蓖麻子仁,白胶香
橘核,青盐,荔枝核,煨莪术,酒炒破故纸
冰片,枯矾,龙衣,胭脂,麝香5厘
西瓜霜,西月石,西丹参,老式大泥冰,濂珠
大梅片,真熊胆,瓜制枪消,珍珠,关犀黄
西月石,玄明粉,梅冰,飞辰砂,炒僵蚕
冰片,硼砂,青黛,明矾丹参,皮硝
硼砂,人指甲,人中白,青鱼胆,梅片5厘
大梅片,真熊胆,珍珠,瓜制枪消,白玄明粉
紫荆皮,赤豆,白芷,菖蒲,独活
木蜡,川紫荆皮,白芷,独活,芍药
苍耳子,冰片粉,麻油,辛夷,液状石腊
蒲公英,赤芍,三七,透骨草,土鳖虫
没药,五倍子,乳香,赤芍,自然铜
乳香,北细辛,苍术,甘草
鲜败酱草
蓖麻子
黑丑,香附,五灵脂
鲫鱼,巴豆
食盐,硼砂,火消,朱砂,皂矾
蓖麻子
黄丹,油,油,白蜡,柳白皮
没药,乳香,白蜡,铅粉,密陀僧
冰片,乳香,白蜡,轻粉,樟脑
冰片,石膏,轻粉,樟脑,红粉
冰片,炉甘石,硇砂,熊胆,珍珠
白锡粉,可铁刺,阿飞勇,李子树胶
