丹参,菊花,赤芍,川芎,甘草,当归
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,当归,桔梗,栀子,黄连
白酒,杏仁,鲜仙人掌,羌活
乳香,黄柏,黄连,地龙,大黄,黄芩
椒目,艾曲,干姜,细辛,黑附子,桂
油,葱,盐,苎麻根,活鲤鱼,糯米
香油,冰片面,当归,白蜡,将白蜡兑入溶化,红粉面
葶苈,大戟,没药,乳香,陈皮,甘遂
白花败酱草,丛枝蓼,辅料
青粱米,车前子
粳米,车前子
葱,赤小豆,陈皮,鸡汤,辣椒,活鲤鱼1尾
大腹子,紫苏,人参,桑白皮,五味子,陈皮
蟾酥,乳香,血竭,没药,枯矾,硼砂
蟾酥,乳香,没药,枯矾,轻扮,铜绿
花椒,铜绿,当归,青盐,李仁,黄连
粳米,白糖,茶叶
冰片,甘草,没药,川军,乳香,赤芍
葶苈,紫苏,沉香,琥珀,郁李仁,陈皮
续随子,甘遂,沉香,全蝎,黑牵牛,白牵牛
板蓝根,连翘,柴胡,射干,贝母,荆芥
白胶香,蓖麻子仁
橘核,煨三棱,茴香,青盐,荔枝核,酒炒破故纸
冰片,枯矾,陈皮,龙衣,胭脂,麝香5厘
西瓜霜,西月石,西丹参,濂珠,飞青黛,老式大泥冰
大梅片,瓜制枪消,真熊胆,枣仁,关犀黄,珍珠
西月石,梅冰,飞辰砂,炒僵蚕,玄明粉
冰片,皮硝,硼砂,青黛,明矾丹参,山豆根
硼砂,人中白,马勃,贝母,丹参,人指甲
大梅片,瓜制枪消,真熊胆,明硼砂,直僵蚕,白玄明粉
紫荆皮,白芷,赤豆,菖蒲,独活
川紫荆皮,木蜡,白芷,芍药,独活
辛夷,白芷,麻油,液状石腊,冰片粉,苍耳子
蒲公英,黄连,土鳖虫,三七,赤芍,自然铜
没药,乳香,五倍子,赤芍,自然铜,川芎
乳香,苍术,北细辛,甘草
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,白矾,火消,皂矾,朱砂
蓖麻子
油,油,胡粉,白蜡,黄丹,柳白皮
