丹参,川芎,莲子心,甘草,薄荷,当归
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,黄连,槟榔
白酒,羌活,鲜仙人掌,杏仁
乳香,黄柏,地龙,大黄,黄连,黄芩
艾曲,椒目,桂,黑附子,干姜,细辛
油,葱,苎麻根,活鲤鱼,姜,糯米
香油,白蜡,冰片面,将白蜡兑入溶化,青黛面,红粉面
大戟,没药,葶苈,甘遂,乳香,黑牵牛
白花败酱草,丛枝蓼,辅料
车前子,青粱米
粳米,车前子
葱,赤小豆,鸡汤,辣椒,活鲤鱼1尾,姜
大腹子,紫苏,人参,桑白皮,五味子,甘草
枯矾,蟾酥,没药,血竭,铜绿,硼砂
枯矾,蟾酥,没药,铜绿,乳香,蜗牛
花椒,铜绿,青盐,李仁,白矾,蕤仁
粳米,白糖,茶叶
冰片,没药,川军,赤芍,乳香,白芷
葶苈,紫苏,琥珀,郁李仁,沉香,防己
续随子,甘遂,全蝎,黑牵牛,萝卜子,白牵牛
板蓝根,连翘,贝母,白花蛇舌草,射干,荆芥
白胶香,蓖麻子仁
橘核,煨三棱,酒炒破故纸,荔枝核,煨莪术,青盐
冰片,枯矾,龙衣,胭脂,麝香5厘,陈皮
西月石,西丹参,西瓜霜,飞青黛,濂珠,老式大泥冰
大梅片,真熊胆,瓜制枪消,关犀黄,珍珠,枣仁
西月石,飞辰砂,玄明粉,炒僵蚕,梅冰
冰片,硼砂,明矾丹参,山豆根,青黛,皮硝
硼砂,人中白,贝母,人指甲,马勃,青鱼胆
大梅片,瓜制枪消,真熊胆,明硼砂,白玄明粉,明雄精
紫荆皮,赤豆,白芷,菖蒲,独活
川紫荆皮,木蜡,白芷,独活,芍药
辛夷,白芷,薄荷,液状石腊,苍耳子,冰片粉
蒲公英,三七,赤芍,自然铜,土鳖虫,透骨草
没药,五倍子,赤芍,乳香,自然铜,无名异
乳香,北细辛,甘草,苍术
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,火消,皂矾,雄黄,朱砂
蓖麻子
