牛膝,五灵脂,地龙,巴戟,菟丝子
枸杞,五味子,天门冬,地黄,地黄
覆盆子,牛膝,菟丝子,白酒,麦冬
枇杷叶,白蔻壳,薏仁,苍术,川芎
牛膝,覆盆子,菟丝子,巴戟,麦冬
覆盆子,牛膝,菟丝子,川巴戟,枸杞
天仙藤,青蒿子,白芷,苍术,芍药
黑牵牛,枳壳,菖蒲,木贼,木香
枸杞,肉苁蓉,巴戟天,菊花
威灵仙,仙茅,狗脊,苍术,何首乌
川椒,苍术,茴香,甘草,川乌
苍术
苍术不拘多少
苍术
牛膝,菟丝子,蛇床子,肉苁蓉,破故纸
牛膝,菟丝子,鹿茸,苁蓉,黑附子
牛膝,覆盆子,菟丝子,山芋,肉苁蓉
菟丝子,磁石,雄黄,雄雀粪,牛酥
鹿茸,沉香,麝香
牛膝,菟丝子,韭子,肉苁蓉,枸杞
牛膝,巴戟,破故纸,石斛,茴香
菟丝子,破故纸,没药,胡桃肉,沉香
牛膝,龟版,锁阳,虎骨,白芍
覆盆子,枸杞,莲须,金樱子膏,菟丝饼
拣参,鼠苓,生芩,当归,枳壳
牛膝,破故纸,川椒,巴戟天,茴香
牛膝,蛇床子,肉苁蓉,川椒,芍药
牛膝,菟丝子,地骨皮,枳壳,远志
威灵仙,乌头,破故纸,高良姜,槟榔
威灵仙,乌头,芍药,苍术,巴戟天
牛膝,菟丝子,川巴戟,破故纸,鹿角胶
牛膝,地龙,枸杞,鹿茸,骨碎补
牛膝,萆薢,破故纸,狗脊,巴戟天
萆薢,荆三棱,当归,黑附子,厚朴
牛膝,萆薢,薏仁,菖蒲,天台乌药
牛膝,三七,肉苁蓉,破故纸,骨碎补
覆盆子,蛇床子,川椒,白芷,卷柏
牛膝,菟丝子,肉苁蓉,龟版,破故纸
牛膝,枸杞,生地,鹿角胶,五味子
菟丝子,鹿角胶,鹿角霜,柏子仁,地黄
蛇床子,乌头,马蔺子,草乌,莨菪子
代赭石,磁石,人中黄,没药,禹余粮
枸杞,破故纸,肉苁蓉,何首乌,茯苓
牛膝,枸杞,生地,杜仲,五加皮
牛膝,何首乌,败龟版,柏子仁,当归
代赭石,石中黄,伏火朱砂,真磁石,没药
木鳖子,独活,茴香,茴香,远志
牛膝,麦冬,肉苁蓉,枸杞,破故纸
三七,枸杞,破故纸,骨碎补,木瓜
破故纸,功劳叶,薏仁,骨碎补,虎骨
三七,枸杞,破故纸,骨碎补,木瓜
牛膝,蛇床子,木鳖子,麦冬,鹿茸
牛膝,巴戟,肉苁蓉,枸杞,茴香
苍术,甘草,厚朴,陈皮
牛膝,芍药,川芎,杜仲,羌活
牛膝,芍药,川芎,杜仲,白术
牛膝,芍药,川芎,杜仲,羌活
牛膝,巴戟,菟丝子,萆薢,鹿茸
五灵脂,细香墨,麝香净肉,金箔200箔,没药
小草,川椒,黄连,芍药,远志
大朱砂
面曲,糯米5斗,地黄
牛膝,五加皮,地黄
覆盆子,菟丝子,地龙,白酒,木鳖子
牛膝,覆盆子,地龙,木鳖子,萆薢
牛膝,萆薢,芍药,川芎,杜仲
乌头,黑附子
牛膝,菟丝子,肉苁蓉,破故纸,枸杞
麦冬,龟版,芍药,白术,当归
牛膝,菟丝子,破故纸,枸杞,苁蓉
磁石,硇砂
牛膝,何首乌
