牛膝,五灵脂,地龙,菟丝子,巴戟,安息香
枸杞,五味子,地黄,地黄,山药,天门冬
覆盆子,牛膝,菟丝子,白酒,麦冬,川椒
白蔻壳,枇杷叶,薏仁,苍术,官桂,川芎
覆盆子,牛膝,菟丝子,巴戟,麦冬,川椒
覆盆子,牛膝,菟丝子,拣参,川椒,枸杞
青蒿子,天仙藤,苍术,茴香,芍药,白芷
黑牵牛,菖蒲,枳壳,木贼,全蝎,木香
枸杞,肉苁蓉,巴戟天,菊花
威灵仙,苍术,狗脊,茯苓,白术,菖蒲
川椒,苍术,茴香,茯苓,甘草,川乌
苍术
苍术不拘多少
苍术
牛膝,菟丝子,蛇床子,肉苁蓉,破故纸,鹿茸
牛膝,菟丝子,鹿茸,苁蓉,黑附子
覆盆子,牛膝,菟丝子,山芋,地骨皮,枸杞
菟丝子,磁石,雄黄,牛酥,雄雀粪,桂心
鹿茸,沉香,麝香
牛膝,菟丝子,韭子,枸杞,肉苁蓉,破故纸
牛膝,巴戟,破故纸,茴香,石斛,沉香
菟丝子,破故纸,沉香,没药,胡桃肉,乳香
牛膝,龟版,虎骨,锁阳,地黄,白芍
覆盆子,枸杞,莲须,菟丝饼,金樱子膏,芡实米
生芩,拣参,鼠苓,茯苓,枳壳,当归
牛膝,川椒,破故纸,巴戟天,茴香,青盐
牛膝,蛇床子,川椒,肉苁蓉,芍药,五加皮
牛膝,菟丝子,地骨皮,枳壳,地黄,远志
威灵仙,乌头,破故纸,高良姜,茴香,葫芦巴
威灵仙,乌头,巴戟天,苍术,芍药
牛膝,菟丝子,破故纸,茴香,茯苓,杜仲
牛膝,地龙,枸杞,鹿茸,五加皮,杜仲
牛膝,萆薢,破故纸,巴戟天,狗脊,茴香
萆薢,当归,桂,荆三棱,厚朴,陈皮
牛膝,萆薢,薏仁,菖蒲,天台乌药
牛膝,三七,肉苁蓉,破故纸,杜仲,沉香
覆盆子,蛇床子,川椒,茯苓,白芷,菖蒲
牛膝,菟丝子,龟版,枸杞,肉苁蓉,破故纸
牛膝,枸杞,生地,茯苓,杜仲,五味子
菟丝子,柏子仁,地黄,鹿角胶,鹿角霜
乌头,蛇床子,马蔺子,草乌,防风,莨菪子
代赭石,磁石,人中黄,没药,禹余粮,乳香
枸杞,破故纸,肉苁蓉,茯苓,何首乌,人乳
牛膝,枸杞,生地,茯苓,五加皮,杜仲
牛膝,何首乌,柏子仁,败龟版,黄柏,知母
代赭石,石中黄,真磁石,伏火朱砂,没药,禹余粮
木鳖子,茴香,茴香,独活,地黄,地黄
牛膝,麦冬,虎骨,川椒,枸杞,苍术
三七,枸杞,破故纸,西洋参,川芎,骨碎补
虎骨,破故纸,功劳叶,薏仁,生地,骨碎补
三七,枸杞,破故纸,西洋参,川芎,骨碎补
牛膝,蛇床子,麦冬,木鳖子,鹿茸,生地
牛膝,巴戟,枸杞,肉苁蓉,茴香,杜仲
苍术,甘草,厚朴,陈皮
牛膝,芍药,白术,杜仲,防风,川芎
牛膝,芍药,白术,杜仲,防风,川芎
牛膝,芍药,白术,杜仲,防风,川芎
牛膝,菟丝子,巴戟,萆薢,鹿茸,芍药
五灵脂,细香墨,金箔200箔,麝香净肉,川乌,没药
小草,川椒,黄连,芍药,杏仁,远志
大朱砂
面曲,糯米5斗,地黄
牛膝,五加皮,地黄
覆盆子,菟丝子,地龙,白酒,川椒,木鳖子
覆盆子,牛膝,地龙,川椒,萆薢,肉苁蓉
牛膝,萆薢,芍药,白术,杜仲,防风
乌头,黑附子
牛膝,菟丝子,枸杞,肉苁蓉,破故纸,芍药
麦冬,龟版,芍药,白术,天冬,地黄
牛膝,菟丝子,枸杞,破故纸,苁蓉,芍药
磁石,硇砂
牛膝,何首乌
牛膝,地骨皮,萆薢,生地,枣仁,海桐皮
牛膝,肉苁蓉,虎胫骨,没药,天麻,木瓜
牛膝,萆薢,薏仁,五加皮,白术,杜仲
牛膝,川芎,木瓜,羌活,黑附子
覆盆子,枸杞,胡桃仁,杜仲,远志,柏子仁
牛膝,地骨皮,萆薢,苍术,茯苓,菖蒲
覆盆子,菟丝子,金樱子,淫羊藿,狗脊,锁阳
骨碎补10,7,地黄21,黑豆13,防己10,2
枸杞,地黄,山药,菊花
枸杞
覆盆子,菟丝子,枸杞,肉苁蓉,薯蓣,五味子
黄雌鸡,粳米,杏仁,地黄
牛膝,麦冬,萆薢,枸杞,苍术,生地
蒲公英,解盐,香附
牛膝,苍术,虎胫骨,防己,归梢,败龟板
糯米,曲,虎胫骨
牛膝,虎骨,萆薢,枸杞,淫羊藿,薏仁
牛膝,虎骨,萆薢,肉苁蓉,石斛,绵黄耆
牛膝,萆薢,薏仁,仙灵脾,虎胫骨,地黄
牛膝,虎骨,萆薢,枸杞,薏仁,破故纸
牛膝,狗脊,杜仲,防风,石斛,芎
威灵仙,地龙,川椒,萆薢,赤小豆,茴香
地龙,萆薢,川椒,茴香,川乌,川楝
牛膝,茴香,槟榔,石斛,芎藭,海桐皮
牛膝,菟丝子,龟版,枸杞,破故纸,杜仲
威灵仙,苍术,狗脊,草乌,一十,没药
威灵仙,苍术,狗脊,草乌,没药,香附
五灵脂,木鳖子,草乌,白胶香,川乌,好墨
牛膝,菖蒲,何首乌,天南星
牛膝,何首乌
牛膝,何首乌
牛膝,菖蒲,何首乌,天南星
牛膝,芍药,何首乌,地黄
牛膝,黑豆,何首乌,枣仁
鸡血藤
地龙,马蔺子,赤小豆,川椒,苍术,巴戟天
三七,金刚莲,捆仙绳,见血清,18厘米,马钱子霜
巴戟,黄连,牵牛头末,广荗,槟榔,枳壳
枸杞,地黄,菊花
五灵脂,白芷,草乌,川乌,骨碎补,荆芥
五灵脂,黑牵牛,破故纸,茴香,橘核,草
巴戟,川椒,茴香,川楝,山药
牛膝,菟丝子,巴戟,川椒,肉苁蓉,磁石
牛膝,白芷,白蔹,杏仁,川乌,白胶香
小雄鸡,黄榔刺树根,糯米饭1盏
牛膝,虎骨,五加皮,草乌,杜仲,红花
菟丝子,萆薢,肉苁蓉,巴戟天,杜仲,木瓜
牛膝,菟丝子,鹿茸,苁蓉,五味子,地黄
牛膝,菟丝子,拣参,枸杞,肉苁蓉,茴香
枸杞,苍术,茴香,仙茅,茯苓,柏子仁
牛膝,菟丝子,龟版,枸杞,锁阳,茯苓
牛膝,地黄,白芍,锁阳,羊肉,龟甲
川椒,栝楼,知母,白术,茯苓,防风
巴戟,蛇床子,肉苁蓉,鹿茸,茴香,续断
牛膝,女贞子,鸡血藤,淫羊藿,肉苁蓉,狗脊
川柏皮,苍术
地龙,萆薢,鹿茸,狗脊,茴香,杜仲
牛膝,鹿角
牛膝,肉苁蓉,鹿茸,五味子,杜仲,虎胫骨
牛膝,菟丝子,磁石,鹿茸,杜仲,石斛
鹿茸,侧柏叶,当归,地黄,续断,厚朴
牛膝,巴戟天,鹿茸,杜仲,石斛,远志
牛膝,破故纸,鹿茸,苁蓉,地黄,山药
覆盆子,菟丝子,蛇床子,巴戟,萆薢,肉苁蓉
牛膝,萆薢,杜仲,续断,木爪,故纸
菟丝子,丹参,天雄,雄雀儿,晚蚕沙半,远志
覆盆子,牛膝,菟丝子,蛇床子,山芋,枸杞
黑豆,破故纸,青盐,骨碎补,白蒺藜,白蒺藜
牛膝,木鳖子,狗脊,芍药,草乌,川乌
牛膝,萆薢,薏仁,苍术,石斛,防风
牛膝,巴戟,萆薢,茴香,狗脊,川乌
牛膝,川椒,肉苁蓉,巴戟天,青盐
威灵仙,草乌,红花,独活,寄生,老鹳草
覆盆子,牛膝,川椒,枸杞,肉苁蓉,破故纸
威灵仙,五灵脂,茴香,草乌,防风,牵牛子
威灵仙,五灵脂,萆薢,茴香,草乌,防风
牛膝,菟丝子,女贞子,金樱子,破故纸,桑叶
牛膝,防风,枣仁,没药,地黄,全蝎
牛膝,菟丝子,枸杞,肉苁蓉,巴戟天,芍药
牛膝,虎骨,苁蓉,木瓜,天麻,黑附子
牛膝,枸杞,萆薢,防风,虎胫骨,炙鳖甲
覆盆子,牛膝,菟丝子,肉苁蓉,薏仁,茯苓
牛膝,丹参,五加皮,白术,生姜,续断
青蒿子,天仙藤,苍术,茴香,芍药,白芷
覆盆子,菟丝子,白酒,五味子,枸妃子,车前子
覆盆子,蛇床子,川椒,茯苓,白芷,川芎
牛膝,菟丝子,白酒,金樱子,破故纸,巴戟天
白酒,仙灵脾
薏仁
细盐,羊骨左右,生姜葱白,粳米
牛膝,巴戟,菟丝子,蛇床子,肉苁蓉,破故纸
牛膝,菟丝子,女贞子,生地,桑叶,杜仲
覆盆子,牛膝,菟丝子,地骨皮,枸杞,巴戟天
白酒,没石子,莲子蕊,五加皮,地黄,地黄
