糯米,胡椒末,山药,白糖
人参,半夏,白芥子,诃黎勒,肉桂
人参,紫苏,大腹皮,冬葵子,天仙藤
当归,地黄,麦冬,续断,杜仲
枳壳,人参,青皮,蓬术,香附
甘草,干葛,茯苓,白术
甘草,半夏,藿香,陈皮,厚朴
槟榔,枳壳,全蝎,半夏,丁香
知母,牛膝,麦冬,天冬,覆盆子
当归,人参,牛膝,杜仲,肉苁蓉
生地,菖蒲,地骨皮,远志,川椒
胡椒,姜,草果,陈皮,盐
甘草,当归,黄芩,阿胶,地黄
赤小豆
甘草,人参,柴胡,陈皮,草豆蔻
甘草,桔梗,生姜,茯苓,草果仁
甘草,升麻,枳壳,川芎,半夏
地榆,苍术
甘草,川椒,芍药,破故纸,云苓
茯芩,苍术
茯苓,苍术
苍术
肉苁蓉,生姜,粳米2茎,精羊肉
肉苁蓉,精羊肉
甘草,干姜,破故纸,禹余粮,赤石脂
甘草,通草,茯苓,莲子,白术炭
甘草,人参,五味子,黄耆,藿香
天南星,槟榔,枳壳,菖蒲,干姜
黄芩,柴胡,猪苓,泽泻,茯苓
甘草,人参,石斛,茯苓,白豆蔻
甘草,知母,柴胡,麦冬,贝母
槟榔,大黄,枳壳,黑附子,鳖甲
当归,黄连,干姜,川椒,黑附子
朱砂,槟榔,黑附子,半夏,蓬莪术
甘草,当归,生地,黄柏,川芎
甘草,干姜,人参,白芍,木香
当归,续断,紫石英,乌贼骨,女贞子
甘草,阿胶,覆盆子,杜仲,寄生
当归,阿胶,巴戟天,续断,杜仲
生地,麦门冬,人参,枸杞,茯苓
生地,麦门冬,人参,枸杞,茯苓
乳香,甘草,没药,黑附子,沉香
甘草,何首乌,茯苓,青盐,大黑豆
甘草,枣仁,云苓,木香,蔻仁
甘草,当归,升麻,桔梗,广皮
木通,人参,紫苏,大腹皮,木瓜
甘草,茯苓,陈皮,芡实,山楂
苡米,小白菜
花粉,牛膝,茯苓,白豆蔻,薏仁
干柿不拘多少
上好片术
绵白糖,白术
槟榔,生姜,白术
