糯米,胡椒末,山药,白糖
人参,半夏,白芥子,诃黎勒,益智,肉桂
人参,紫苏,大腹皮,冬葵子,天仙藤,砂仁未
当归,地黄,麦冬,续断,条芩,杜仲
人参,枳壳,青皮,蓬术,香附,三棱
甘草,干葛,茯苓,白术
甘草,半夏,藿香,陈皮,厚朴,苍术
槟榔,枳壳,全蝎,半夏,丁香,术香
牛膝,麦冬,知母,覆盆子,天冬,枸杞
当归,牛膝,人参,杜仲,肉苁蓉,枸杞
生地,菖蒲,远志,牛膝,地骨皮,麦冬
姜,胡椒,草果,陈皮,盐,辣椒
甘草,黄芩,当归,阿胶,地黄,芍药
赤小豆
甘草,人参,柴胡,陈皮,草豆蔻,白术
甘草,升麻,川芎,枳壳,白芷,半夏
地榆,苍术
甘草,川椒,芍药,破故纸,茴香,云苓
茯芩,苍术
茯苓,苍术
苍术
肉苁蓉,生姜,粳米2茎,精羊肉
肉苁蓉,精羊肉
甘草,干姜,禹余粮,赤石脂,破故纸,肉桂
甘草,通草,莲子,茯苓,厚朴,白术炭
甘草,人参,黄耆,五味子,藿香,生姜
使君子
菖蒲,天南星,槟榔,干姜,人参,枳壳
乳香,菊花,麝香,鹿茸,黑附子,人参
黄芩,柴胡,泽泻,猪苓,茯苓,白术
甘草,人参,石斛,茯苓,白豆蔻,陈皮
甘草,贝母,知母,柴胡,麦冬,干葛
大黄,槟榔,黑附子,鳖甲,桂,枳壳
当归,黄连,桂心,黑附子,干姜,人参
朱砂,槟榔,黑附子,半夏,青皮,硇砂
甘草,生地,当归,黄柏,川芎,牛膝
甘草,干姜,人参,白芍,木香,莲肉
当归,紫石英,续断,女贞子,乌贼骨,菟丝子
甘草,阿胶,覆盆子,杜仲,寄生,菟丝子
当归,阿胶,巴戟天,续断,枸杞,杜仲
生地,麦门冬,人参,枸杞,茯苓,陈皮
生地,麦门冬,人参,枸杞,茯苓,陈皮
甘草,乳香,没药,黑附子,牛膝,桂
