赤芍,黄芩,雄黄,栀子,菊花,大黄
牛蒡,白糖,粳米
绿豆粉,乳香
芍药,木香,黄芩,当归,槟榔,栀子
杏仁,羌活,鲜仙人掌,白酒
黄芩,大黄,黄连,地龙,黄柏,乳香
干姜,桂,细辛,黑附子,艾曲,椒目
盐,姜,糯米,活鲤鱼,苎麻根,葱
当归,防风,大黄,甘草,生地,川椒
芍药,陈皮,泽泻,槟榔,威灵仙,黑牵牛
辅料,白花败酱草,丛枝蓼
青粱米,车前子
车前子,粳米
陈皮,草果,胡椒,盐,姜,辣椒
茯苓,陈皮,五味子,人参,甘草,桑白皮
轻粉,枯矾,腰黄,朱砂,炒绿矾,煅寒水石
枯矾,朱砂,轻扮,雄黄,麝香,胆矾
当归,防风,皮硝,黄连,杏仁,白矾
茶叶,白糖,粳米
甘草,元连,雄黄,绿豆面,花粉,贝母
茯苓,陈皮,泽泻,沉香,防己,杏仁
陈皮,丁香,槟榔,青皮,沉香,胡椒
葛根,柴胡,白花蛇舌草,荆芥,射干,贝母
白胶香,蓖麻子仁
茴香,甘草,川楝,山萸,通草,青盐
陈皮,枯矾,麝香5厘,胭脂,龙衣,冰片
西丹参,飞青黛,老式大泥冰,濂珠,西月石,西瓜霜
枣仁,珍珠,关犀黄,真熊胆,瓜制枪消,大梅片
炒僵蚕,飞辰砂,梅冰,玄明粉,西月石
皮硝,青黛,山豆根,明矾丹参,硼砂,冰片
丹参,人指甲,珍珠,梅片5厘,人中白,青鱼胆
珍珠,明雄精,直僵蚕,白玄明粉,明硼砂,真熊胆
独活,菖蒲,赤豆,白芷,紫荆皮
芍药,独活,白芷,木蜡,川紫荆皮
麻油,薄荷,苍耳子,冰片粉,辛夷,白芷
黄芩,防风,大黄,甘草,丹皮,黄连
当归,续断,川芎,五加皮,红花,威灵仙
苍术,甘草,北细辛,乳香
鲜败酱草
蓖麻子
香附,五灵脂,黑丑
巴豆,鲫鱼
白矾,水银,朱砂,火消,皂矾,雄黄
蓖麻子
胡粉,柳白皮,商陆根,黄丹,白蜡,油
象皮,轻粉,黄蜡,密陀僧,铅粉,乳香
轻粉,官粉,樟脑,乳香,白蜡,冰片
轻粉,红粉,石膏,樟脑,冰片
螵蛸,石决明,珍珠,麝香,熊胆,炉甘石
李子树胶,可铁刺,白锡粉,阿飞勇
木香,陈皮,槟榔,香附,大腹皮,木瓜
轻粉,黄蜡,官粉,孩儿茶,雄黄,乳香
淀粉,菠萝香精油,糖粉,板蓝根
甘草,石膏,寒水石,黄蘖
黄蜡,百草霜,麻油,松香,铜绿,乳香
巴豆,山栀,象皮,穿山甲,木鳖子,硼砂
当归,黄芩,苍术,大黄,白蔹,黄连
半夏,蒲黄,白芷,黄丹,赤小豆
大黄,甘草,贝母,黄柏,白芷,赤小豆
巴豆,前胡,玄参,斑蝥,犀黄,麝香
黄芩,大黄,牡蛎,无名异,花粉,木鳖子
甘草,射干,九里明,一点红
白矾,白垩,密陀僧,轻粉,麝香,黄丹
大黄,土狗,芫花,大戟,甘遂
甘草,黄连,白矾,鹿角霜,煅硼砂,麝香
甘草,黄连,明矾,炒硼砂,鹿角霜,麝香
朱砂,苦瓜霜,制僵蚕,雄黄,胆矾,麝香
朱砂,硼砂,玄明粉,冰片
黄油,鸡蛋,冰片
螵蛸,黄连,青鱼胆,珠粉,荸荠粉,蕤仁霜
丹参,珠子,麝香,琥珀,硼砂,炉甘石
全蝎,蜈蚣,朱砂,炙穿山甲,雄黄,文蛤
柏子仁,生地,女贞子,陈葫芦,旱莲草,鸡内金
茶油清,金不换,东丹,樟脑,乳香,没药
东丹,樟脑,三七,乳香,没药,香油
当归,防风,续断,白芍,丹皮,枳实
当归,川芎,麻黄,自然铜,土鳖虫,乳香
当归,防风,续断,丹皮,枳实,甘草
知母,皂刺,蜈蚣,花粉,山甲,乳香
当归,防己,皂角刺,海桐皮,天南星,豨莶草
芥菜花1味
辛夷花,鹅不食草,麻黄素,葡萄糖粉
核桃仁
核桃仁
大黄,独活,木鳖子肉,老葱,白芷,蓖麻子仁
白蔹,定粉,白胶香,白芷,乳香
茯苓,芍药,大黄,地黄,栀子,滑石
茯苓,白术,木香,陈皮,泽泻,槟榔
独活,紫金皮,天南星,白芷,芙蓉叶
当归,丁香,防风,白芍,川芎,升麻
大黄,皮硝,桃仁,牡丹,瓜子
大黄,皮硝,桃仁,牡丹,瓜子
大黄,莽草,木通,葶苈
陈皮,当归,大黄,甘草,全蝎,蛇蜕
乌蛇,大豆,麻子仁,白酒
牛膝,防风,丹参,独活,地骨皮,生地
甘草,地丁,黑山栀,草河车,半枝莲,野菊花
黄芩,黄连,石斛,白蒺藜,生地,石决明
茯苓,芍药,黄芩,当归,防风,枳壳
牛胆,蝈蝈,核桃仁,香油
天南星,贝母
诃子,月石,胖大海,海浮石
苍术,山药,苦参,白蒺藜,槐花,荆芥
芍药,防风,羚羊角,细辛,丹参,芎
茯苓,粳米
茯苓,白术,当归,泽泻,厚朴,地黄
大黄,皮硝,榆面,芙蓉叶
黄芩,大黄,黄连,泽兰叶,黄柏,冰片
大黄,黄连,番泻叶,黄柏,冰片,芙蓉叶
蝉蜕,夏枯草,蔓荆子,荆芥,泽兰,白芷
蝉蜕,夏枯草,蔓荆子,荆芥,泽兰,白芷
川芎,三棱,皂角刺,红花,莪术,桃仁
黄芩,甘草,丹皮,大青叶,赤芍,蒲公英
薄荷,薄荷,肿节风浸膏
大黄,皮硝,丹皮,甘草,桃仁,三颗针
红花,苏木,50,食用乙醇,两背针,高粱酒
牛膝,当归,防己,鸡血藤,活血止痛散1,4瓶
茯苓,泽泻,五加皮,党参,猪苓,车前子
陈皮,青皮,甘草3寸半,连翘
抱鸡蛋壳
甘草,防己,葶苈
甘草,瓜蒌,白酒
玉米须,西瓜皮,白茅根,赤小豆,冬瓜皮
丹参,黄连,珍珠,麝香,琥珀,硼砂
青皮,胡椒,三棱,荜澄茄,桃仁,莪术
黄芩,大黄,甘草,黄连,青黛,山豆根
陈皮,黄芩,柴胡,甘草,青皮,栀子
当归,甘草,栝楼,乳香,没药
生姜,甘草,栝楼,牛蒡
黄芩,当归,槟榔,阿胶,枳壳,白芍
牛膝,金钱风,毛冬青,山芝麻,岗梅
丹参,三棱,桃仁,莪术,赤芍
甘草,滑石,雄黄,朱砂面,冰片
苦参,乌梅,归尾,胆矾,甘石,新针
当归,防风,柴胡,甘草,黄连,皂刺
丁香,半夏,川乌,肉桂,天南星,炒甘松
朴消,白矾,葱白,小麦,五倍子
黄芩,当归,防风,大黄,甘草,黄连
大黄,白蔹,黄连,杏仁,马牙消,麒麟竭
黄芩,防风,葛根,柴胡,川芎,甘草
黄芩,当归,大黄,川芎,甘草,黄连
鲜黄花菜,食盐
枣仁,黄芪,白糖,茯苓皮,生姜皮,冬瓜皮
黄耆,芍药,防风,地黄,芎,天麻
黄耆,陈皮,陈皮,陈曲,麦蘖,大戟
丹参,白附子,白鲜皮,明矾,百部,轻粉
龙骨,轻粉,红粉,元连,甘石,儿茶
黑附子,穿山甲,马钱子
黄耆,芍药,当归,大黄,藿香,甘草
陈葫芦粉,粳米
