苡仁,板蓝根,大青叶,牡蛎粉,败酱草
浙贝,板蓝根,连翘,荆芥,射干
甘草,野菊花,紫地丁,白芍,黄芩
连翘,蝉蜕,木通,牛蒡子,黄芩
甘草,生地,连翘,玄参,薄荷
野菊花,白头翁,臭牡丹,七叶一枝花,白花蛇舌草
甘草,野菊花,半枝莲,草河车,地丁
连翘,甘草,白芍,川芎,黄芩
桔梗,冬瓜子,连翘,苇根,薏苡仁
虎杖,半枝莲,桔梗,鱼腥草,黄芩
马齿苋,蜂房,大青叶,生苡仁
丹皮,大黄,薏仁,甘草,红藤
苡仁,连翘,香附,木贼,板蓝根
茵陈,香附,陈皮,板蓝根,玄参
板蓝根,连翘,大青叶,拳参
茵陈,陈皮,虎杖,板蓝根,蒲公英
玄参,薏苡仁,生地,当归,板蓝根
蚤休,野菊花,蒲公英,花粉,大青叶
川军,犀黄丸,冬瓜子,土贝母,败酱草
焦山栀,板蓝根,连翘,生山栀,射干
甘草,连翘,马勃,射干,大青叶
龙胆草,六一散,丹皮,黄芩,连翘
白蔻,黄芩,茵陈,山栀,藿香
甘草,板蓝根,生苡仁,土茯芩,马齿苋
冬瓜仁,川楝子,木香,大黄,连翘
绿豆,白糖
甘草,连翘,大青叶,升麻,黄芩
马齿苋,酸枣仁,黄连,煅龙牡,大青叶
马齿苋,绿豆
蒲公英,粳米
蒲公英
蒲公英,虎杖,北败酱,半枝莲
茵陈,生首乌,半枝莲,丹皮,板蓝根
金樱根,菝葜,羊开口,金沙藤,积雪草
白花蛇舌草,鹿衔草,车前子,苍术,鱼腥草
半枝莲,白花蛇舌草,蚤休,山豆根,金银花
黄芩,白花蛇舌草,地肤子,车前草,苦参
茵陈,蒲公英,白糖
女贞子,甘草,小蓟,生地,蒲公英
甘草,茵陈,酒大黄,板蓝根,泽兰
