败酱草,赤芍,夏枯草,板蓝根,牡蛎粉
甘草,连翘,生苡米,滑石块,金银花
冰片,软石膏,辰砂,胡黄连
铜绿,枯矾,胆矾,轻扮,蟾酥
山豆根,青黛,明矾牛黄,冰片,芒消
野菊花,苦参,臭牡丹,七叶一枝花,三颗针
甘草,金银花,黑山栀,草河车,蒲公英
山豆根,苦参,黄连,连翘,黄柏
黄柏,泽兰叶,黄连,大黄,黄芩
黄连,五倍子
大黄,桃仁,丹皮,败酱草,地丁
金银花,玄参,甘草,当归,紫花地丁
夏枯草,丹参,金银花,鸡血藤,玄参
丹皮,山豆根,地丁,当归,芦根
蒲公英,黄芩,虎杖,小蓟,鸭跖草
黄连,山楂,秦皮,金银花,仙鹤草
射干,甘草,山豆根,牛蒡子,连翘
甘草,侧柏叶,丹参,丹皮,羚羊角
芒硝,射干,山豆根,青黛,鲜狗胆
熊胆,儿茶,京墨,胡黄连,冰片
牡蛎,甘草,板蓝根,紫草,红花
连翘,桃仁,大黄,冬瓜仁,蒲公英
黄连,黄柏,泽泻,牡丹皮,败酱草
蒲公英,粳米
蒲公英
野菊花,蒲公英,黄芩,四季青
青黛,轻粉,石膏,蛤粉,生黄柏
梅花片,牛黄,真豆粉,大朱砂,甘草节
决明子,蒲公英,黄精,薄荷,赤芍
虎杖,蒲公英,半枝莲,北败酱
漏芦,蒲公英,连翘,夏枯草,昆布
黄连,泽兰叶,黄芩,黄柏,芙蓉叶
天竺黄,安息香,檀香,麝香,红花
小檗皮,牛黄,金腰草,红花,节裂角茴香
海螵蛸,吴茱萸,冰片,硫黄
甘草,连翘,犀角,防风,鼠粘子
海金沙,地肤子,石苇,败酱草,黄芩
蔓荆子茎及叶,藤苦参,苦冬瓜,羊耳菊根,箭根薯
45,蒲公英,丹参,香附,双花
地丁,犀角,连翘,金银花,丹皮
连翘,山豆根,紫草,鼠粘子,甘草
