#889#,温中行气,活血止痛,中焦积寒,脘腹疼痛,呕逆清水,自汗短气
#1435#,活血止痛,打扑闪损,腰痛不可忍
#6831#,活血止痛,拔毒透脓,去腐生新,痈疽发背,瘰疬马刀,乳痈乳癌,流火流注,毒疖,横痃,痔漏
#6834#,清热散风,活血止痛,目赤肿痛,昏暗羞明,隐涩疼痛,风痒头重,脑鼻酸痛,翳膜胬肉,眵泪稠粘,卷毛倒睫
#7058#,散风活血止痛,风湿流注,半身不遂,筋骨麻木,跌打损伤,积聚痞块,小儿疳积,女人症瘕
#9593#,去毒消肿,活血止痛,诸毒疮疡,无名肿毒,坚硬无头,焮热疼痛
#11608#,活血止痛,舒筋活络,由跌打外伤引起之筋骨扭伤,瘀血积聚,红肿疼痛,闪腰岔气症
#17428#,祛风除湿,活血止痛,风寒湿痹,手足麻木,腰腿酸痛,跌仆损伤
#20794#,清热利湿,活血止痛,湿热下注膀胱,尿频涩痛,短赤浑浊
#21175#,祛风除湿,活血止痛,风寒湿痹,手足麻木,腰褪酸痛,跌扑损伤
#21504#,祛风散寒,活血止痛,损伤后期及骨刺疼痛
#21505#,补肝益肾,填精益髓,活血止痛,肝肾不足,血脉瘀阻
#21506#,祛风散寒,活血止痛,损伤后期及骨刺疼痛
#22630#,祛风散寒,活血止痛,风寒湿邪,气滞血瘀引起的四肢麻木,腰腿疼痛,筋脉拘挛,跌打损伤,闪腰贫气,脘腹冷痛,行经腹痛,湿寒带下,积聚痞块
#23089#,祛风通络,活血止痛,风邪走注疼痛
#28168#,祛瘀生新,活血止痛,跌打损伤,筋骨瘀痛
#29083#,解毒消肿,活血止痛
#29118#,活血止痛,跌打损伤
#29119#,祛风散寒,活血止痛,扭伤,挫伤,风湿骨痛,腰背酸痛
#29120#,活血止痛,化痰通络,腰痛
#29121#,活血止痛,损伤瘀血,红肿疼痛
#29123#,活血止痛,跌打损伤
#29125#,活血止痛,打扑损伤,落马坠车,一切疼痛
#29126#,活血止痛,赤丝附睛,两眼大小眦发生赤丝,侵至风轮,睑内生红泡如米,常觉隐涩羞明,见光流泪
#29144#,活血止痛,疹子或出不快,痘疹血虚血热,已出未尽,烦躁不宁,腹痛
#29415#,凉血止血,清热解毒,活血止痛,逐淤消痔,血热毒火内盛,瘀血浊气下注
#29804#,温经回阳,活血止痛,一切阴证疮疡,阴疽发背,痰湿流注,鼓椎风,伤损久痛,风湿冷痹
#29887#,接骨,活血止痛,跌打损伤,闪腰岔气,血瘀疼痛
#30092#,活血止痛,跌扑伤损,（跌打损伤）
#31687#,逐寒祛湿,活血止痛,风寒湿痹,骨节疼痛,历节痛风,痿痹麻木,鹤膝风,漏肩风,并跌扑闪挫,阴证无名肿毒未破者
#31945#,行气疏肝,活血止痛,热厥心痛,肝气郁热之胃脘,胸胁痛,疝气疼痛,妇女经行腹痛,其痛时发时止,口苦,舌红苔黄,脉弦数,或作或止,久不愈者,二维病,肝气郁滞
#32842#,清热解毒,活血止痛,瘀血阻滞,日久化热
#33577#,调和营卫,活血止痛,正气不足,营卫失和,感受外在的风寒湿邪,袭于经脉,留而不去而致
#34630#,疏肝泻火,活血止痛,肝火内郁,心痛甚剧,苦不欲生,彻夜呼号者
#35512#,去湿解毒,活血止痛,臁疮腐烂臭秽,痛痒不时,顽疮,结毒溃烂,久不收口
#35569#,行气活血止痛,跌打损伤,红肿不消,阵阵作痛
#38811#,活血止痛,跌打损伤,坠车落马,伤筋动骨,青肿疼痛
#39749#,祛风散寒,活血止痛,风寒湿痹,四肢麻木,关节疼痛,脘腹冷痛
#41739#,舒筋活络,袪风除湿,活血止痛,风湿麻木,筋骨不舒,手足疼痛,皮内作痒
#42092#,清热明目,活血止痛,外障眼病,胬肉布睛,目赤肿痛,暴发火眼,云翳障目
#42997#,散风祛湿,活血止痛,风寒湿痹,腰腿疼痛,手足麻木,偏正头痛
#45218#,强筋壮骨,祛湿通络,活血止痛,四肢麻木拘挛,骨节疼痛,腰腿酸软
#45591#,祛腐生肌,活血止痛,滋阴凉血,阴虚津亏,热结肠燥
#45640#,健脾益气,活血止痛,制酸止血,脾胃虚弱,气滞血瘀
#45811#,活血止痛,跌打损伤
#46324#,润燥生肌,活血止痛,手足皴涩,皮肤裂开疼痛,不能迎风者
#46502#,体虚为风,湿,寒,暑进袭,四气相搏,半身不遂,手足顽麻,骨节烦疼,足胫浮肿,恶寒发热,渐成脚气,肝肾不足,四肢挛急,遍身攻注,或闪肭打扑,内伤筋骨,男子疝气,妇人经脉不调,常服活血止痛,补虚,壮筋骨
#46503#,活血止痛,强壮筋骨,体虚为风湿寒暑进袭,半身不遂,手足顽麻,骨节烦疼,足胫浮肿,恶寒发热,渐成脚气,肝肾不足,四肢挛急,遍身攻疰,或闪肭打扑,内伤筋骨,男子疝气,妇人经脉不调
#46505#,除湿化痰,活血止痛,痛风,遍身骨节疼痛,或腿膝痛
#46675#,舒气健脾,活血止痛,肝郁气滞,两胁刺痛,饮食无味,消化不良,呕吐酸水,呃逆嘈杂,周身串痛
#46702#,活血止痛,跌打损伤
#46705#,补肾壮腰,活血止痛,肾虚腰痛
#46837#,清热解毒,消肿溃坚,活血止痛,疮疡肿毒初起,赤肿焮痛,或身热微恶寒,舌苔薄白或微黄,脉数有力,属于阳证者
#46924#,祛风散寒,活血止痛,风寒湿痹,筋脉不舒,四肢麻木,腰腿疼痛,跌打损伤,瘀血作痛
#46972#,生肌长肉,活血止痛,疮疡溃后,久不收口
#47165#,疏肝通络,活血止痛,瘀血内阻,（男子性交疼痛）
#47169#,疏肝解郁,活血止痛,郁气不宣,又加风邪袭于少阳经,遂致半边头风,或痛在右,或痛在左,其痛时轻时重,遇顺境则痛轻,遇逆境则痛重,遇拂抑之事而更加风寒之天,则大痛而不能出户
#47360#,清热解毒,活血止痛,脱骨疽,症生手足各指,或生指头,或生指节指缝,初生或白色痛极,或如粟米起一黄疱,其皮或如煮熟红枣,黑色不退,久则溃烂,节节脱落,延至手足背腐烂黑陷,痛不可忍,现血栓闭塞性脉管炎,动脉栓塞性坏疽症,栓塞性大静脉炎属于热毒型或湿热型者
#47578#,祛风湿,活血止痛,风湿性关节炎,肌肉疼痛,关节肿痛
#47640#,凉血清热,解毒利湿,活血止痛,湿热
#48289#,搜风祛邪,活血止痛,强筋壮骨,肢体瘫痪,行动不利
#48305#,祛风除湿,舒筋通络,活血止痛,肝肾不足,风湿瘀阻,肢体拘挛,手足麻木,腰腿酸痛
#48615#,清热解毒,活血止痛,痈毒初起
#49147#,补肝益肾,活血止痛,肝肾不足,血凝气滞,腰腿疼痛
#49148#,活血止痛,泻热通便,尿血作痛
#49149#,活血止痛,血癖腹痛及血刺腰痛
#49171#,清热解毒,活血止痛,乳岩,横痃,瘰疬,痰核,流注,肺痈,小肠痈,现淋巴结炎,乳腺囊性增生,乳腺癌,多发性脓肿,骨髓炎见舌红,脉滑数者
#49713#,清热解毒,活血止痛,盆腔炎发热期
#50075#,祛风散热,活血止痛,肝经风火上攻,（头痛）
#50739#,滋养心阴,活血止痛,心阴不足,胸痹心痛,心悸,失眠,五心烦热,舌红少苔,脉细数,冠心病,心绞痛见上述证候者
#50829#,活血止痛,续筋接骨,外伤骨折
﻿#1#,杀虫止痒,蛲虫病,肛门瘙痒,入夜尤甚
#51#,开窍透毒,痧症窍闭
#101#,清热化痰,补气养血,镇惊安神,痫证,痰火内伏,气血两亏,肝风暗动,心神不安,不时发作者
#151#,妇人产前,产后一切血疾,血崩虚惫,气逆呕吐,冷血,冷气凝积,块硬刺痛,泄下青白,或下五色,腹中虚鸣,气满坚胀,沥血腰疼,口吐清水,频产血衰,颜色青黄,劳伤劣弱,月经不调,下血堕胎,血迷,血运,血瘕,时发疼痛,头目眩运,恶血上心,闷绝昏迷,恶露不干,体虚多汗,手足逆冷,并宜服之
#201#,诸般积聚,症瘕,痞块
#251#,理气补血,暖宫调经,子宫虚寒,月经不调,经来腹痛,腰酸带下
#351#,妊娠胎动下血,心烦闷乱
#401#,诸虫
#451#,血虚有火,曾三个月堕胎
#501#,胎前动红
#551#,翻胃
#601#,血虚,心神不安,惊悸怔忡,不寐
#651#,安神定志,益气养血,心脏衰弱,惊悸失眠,精神恍惚
#701#,吐清痰者
#751#,产后1-2日,肚腹绞痛,瘀血凝滞
#801#,筋骨疼痛,手足麻木,瘰疬结核,无名肿毒
#851#,脾胃壅热,肝膈气充胞睑内,蠧肉壅起,烂湿眵粘,胞肉胶凝
#901#,心经客热,小便不通,口燥烦渴
#951#,迎风赤烂症（溃疡性睑缘炎）
#1001#,肠痈
#1051#,妊娠冷热气痛,连腹不可忍
#1101#,腹内诸气,胀满喘促
#1151#,补益,轻身延年
#1201#,产后胎衣不下,血闷冲心,经行少腹结痛,产后恶露不行
#1251#,伤寒内热不解,心烦恍惚,小便赤色,烦渴
#1351#,肝经积热,上攻眼目,逆顺生翳,血灌瞳仁,羞明多泪
#1401#,热毒眼晕,白翳复瞳
#1451#,凉血消风,鼻生渣疱
#1551#,妊娠恶阻,心胸烦闷,头晕恶心,四肢昏倦,呕吐痰水,恶闻食气
#1601#,膈气壅滞攻心,胸中连肩背痛,日夜不止
#1701#,血虚腹胁（疒丂）痛
#1751#,收敛固脱,涩肠止泻,久泻,久痢,肠滑不能收摄者
#1801#,水泻,心腹（疒丂）痛,四肢逆冷,不纳饮食
#1901#,风热攻心,烦闷不已
#1951#,清热解毒,消肿定痛,热毒内蕴,致患疔疮,发背,脑疽,乳痈,附骨疽,臀腿疽及一切恶疮
#2001#,小儿五疳,手足于瘦,腹胀筋起,鼻痒,昏沉多睡
#2051#,目疾发翳
#2101#,瘰疬已破
#2151#,伤寒初觉1-2日,头项腰脊痛,恶寒
#2201#,养血安胎,妊娠胎动不安,腹痛者
#2251#,痈疽疮疡,初肿将溃者
#2301#,耳中痛,脓血出
#2351#,上焦受于风热,气毒攻冲,眼目暴赤,碜涩羞明,肿痛多眵,迎风有泪,翳膜攀睛,僜肉隐痛,并皆之
#2401#,妊娠心腹胀满,脾胃气虚,不下食饮
#2451#,七疝,四肢寒冷,脐下妨痛,不欲饮食
#2501#,疟疾,寒多热少,手足厥冷,遍身浮肿,肚腹疼痛
#2551#,身痒风瘙,或生瘾疹
#2601#,清热化湿,湿热发热
#2651#,打扑损伤,皮不破,浮肿者
#2701#,脱营,虚劳耗竭,形体日减,气虚时惊
#2751#,肾脏虚冷,腰膝无力,小便不禁,或溺白色
#2801#,耳病
#2851#,伤折筋骨
#2951#,骨鲠在喉中不出
#3051#,开胃消痰,散壅思食,通顺气血,肝气郁结,脾失健运,胸脘痞闷,心腹胀满,恶心呕吐,食欲不振,妇女月经不调,少腹胀痛
#3101#,安和五脏,化痰利膈,止逆进食,三焦虚痞,心胸刺痛
#3151#,补脾元,消酒食
#3201#,寒疝,小腹坚满,攻作不定,时发疼痛,肾虚受邪肿胀,及脏寒气弱,脐常痛
#3251#,五膈五噎,痞满呕吐,心腹刺痛,胁肋胀拒
#3301#,膨胀,诸食,诸积,诸痛及肝脾疝痛初起
#3351#,上气,胸满腹胀,精神倦怠
#3401#,小儿泻血不定
#3451#,脏毒肠风,缘荣卫虚弱,风气进袭,因热乘之,便血性流散,积热壅遏,血渗肠间,故大便下血
#3501#,伤寒发热,遍身大汗不解
#3551#,伤寒过经,潮热不解,或时作寒如疟状
#3601#,下焦热,大小便不通
#3651#,呕吐不下食,头痛身热
#3701#,清肝泻火,小儿肝疳,证见面目爪甲皆青,眼生眵泪,隐涩难睁,摇头揉目,合面睡卧,耳疮流脓,腹大青筋,身体羸瘦,燥渴烦急,粪青如苔
#3751#,中蛊,额焦口腥,神昏性躁,目见邪鬼形,耳闻邪鬼声,如犯大罪,如见恶役持练锁至,如有刀兵,健卒追赶,常思自尽
#3801#,肺壅热,上膈昏滞,头面及鼻内生疮,精神不爽,胸中烦渴
#3851#,痘疮表里俱实
#3901#,肝脏风热,眼中生疮肿痛
#3951#,妊娠伤寒,壮热,心烦头痛
#4001#,疟疾,寒多热少者
#4051#,久疟热未退,口干唇焦
#4101#,产后儿枕腹痛
#4151#,皮肤风热,搔痒甚重
#4201#,疮疡皮肉不生,久不合口
#4301#,头风掣痛
#4351#,疟病,手足苦烦,发热渴燥,通身悉黄,小便不利
#4401#,疟疾,连绵积日不愈
#4451#,诸风上攻,头目昏重,偏正头疼,言语声重
#4501#,风盛膈壅,鼻塞清涕,热气攻眼,下泪多眵,齿间紧急,作偏头疼
#4551#,痔漏
#4601#,托里排脓,内消止痛,痈疽漫肿,不变色者,附骨疽
#4651#,痔疾
#4701#,通关开窍,单,双乳蛾,喉闭牙紧,一切气闭
#4751#,两耳出脓
#4801#,咽喉肿痛,单双乳蛾,喉痹,缠喉
#4851#,清热除湿,活血化瘀,痈疡之症,似溃非溃,介于半阴半阳者
#4901#,妊娠欲产,痛阵尚疏,难产经2-3日不生,胎死腹中,或产母气乏萎顿,产道干涩
#4951#,催乳,乳汁不通
#5001#,痘疮之出未出,陷伏不起,或隐在皮肤之间
